address,amount
0x66fc17b2a83108e920bed6aa91459f5ca9222a1c,245
0x367c19613790c1d0174c20cdf5bf7a7adc9820c8,96.8
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,3.8
0x5547e93858325b7f1635187246761df3fb7c5ca6,738.8
0x5eba2b8add723543a4da85cb2606f0553df6ae8f,3.8
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,10
0xa0ed53f726f9374275287e57144317764eafef54,3.8
0x2b3d820cab9970dcadbbbb667e012b927608d17c,323
0xa7568a767cc138114341a454dac6e03e2ff968fc,3.8
0xc6ab45541006d53d31e25b41c7d245c5ad99bf71,245
0x522a57a9267b6a54dde2f9a89863304cd0391827,173
0x4f0b06adf758b8022ff80dcbeaa5523205fd690e,3.8
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,3.8
0xdc61e516d02204e27509fc8cbb135da2439a3967,220
0x36e729b3107762e51dde266e11803dca28bef030,3.8
0xa981e5da41492afa1a22151ab19789c310cdae21,30
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,765
0x70b02d35d731bb8db768053e1f40c3036afdfaba,245
0x332bf9a3cfe7d67da15cc774e69697b71d01fa66,3.8
0x8ed479b0f19763b5006515c9cd405c8401d9ec05,318
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,128
0x590cb961aff1c2fa489467e81af2bb08b802a402,961
0xfa65e65a6321c37486972d71b3f50400bd43f974,3.8
0xff193f888b6f86d5df20dc12aa517fe948ee47c9,23
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,250
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,92
0xa5135394d563e323e83b5c1b097acdd7a053b40c,3.8
0x52332ec46bbd2d600dc00825583576b9483eaae9,265
0x28b460e553ce81ea5ea5407ece30bba3903af23d,584
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,232
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,46
0x18301ac19cd1b9390400c6d0a6d800bdd68240ec,58
