address,amount,
0x49f356c16365dbdb9729993a2e9b2e84c379f668,255,
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,239.7,
0xf636db1bd6ecd737ace20c67c731ae329d8f6a6e,29.75,
0x4343cb66095d1d12d299517ce9f38ea65c6d535c,31.45,
0x009f6b54d8b44d84ab63f09ca5f2ab27b2ed0ed1,29.75,
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,189.55,
0x615b0eef65886284025dabe36007d6ad27332a94,188.7,
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,80.75,
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,29.75,
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,29.75,
0x99840482cbaee5da4a707993fbf0c3aa75afd1ac,255,
0x2b3d820cab9970dcadbbbb667e012b927608d17c,252.45,
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,637.91,
0xbf5b608d7f98bd924e69462ffa722667dc23398b,11.9,
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,29.75,
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,29.75,
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,29.75,
0x3a86e924c68c8156178330fb73b50759c7222943,33.25,
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,29.75,
0xe9f659172d39c54ecae31c5f2161115c95a557d9,29.75,
0x76924624c548f66b54621bb2d113ec2a9bb21478,552.5,
0xe7a97a841876c9ec8c38fee297680aacefd121a2,29.75,
0xe596f45d86c834a1f3d8c9514b95e652a53c52ea,29.75,
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,29.75,
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,29.75,
0xfdeec1d7649769e20b5b226c709480885acc9f1f,23.8,
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,29.75,
0x522a57a9267b6a54dde2f9a89863304cd0391827,51,
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,125.8,
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,17,
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,29.75,
0x3dd2f96a2a0a9f257c864fdbab6c1cd267d89ca1,125.8,
0x1744b94fcc98f514dcf242e7b03a719aa162e246,29.75,
0x9964a001f3fd643d51244f305f425d2f85e6d06b,92.65,
0xdc61e516d02204e27509fc8cbb135da2439a3967,80.75,
0x909c592080a8ee273f5c6648d874e78c7ea94a56,51,
0x7a6e64e49b02ff6b57ed63d28917c0e0d43778ab,29.75,
0xe3829ea06ebe16fd68a0fdfc61464a767bce9447,80.75,
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,29.75,
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,62.9,
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,29.75,
0xfcc2700209359d8a08ff267a1d34c4c21d80fe97,21.25,
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,29.75,
0x1607c4dd0ac36bf7759553f07af76bec44976247,29.75,
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,188.7,
0x3956396472c96e04925b7a416f0996ce5ed30645,94.35,
0xb364eb3d6c8e02ccbd5966d23ad9437fa8a040da,29.75,
0xb5158273888ea2372ca4b7206c7854e221045ece,80.75,
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,82.45,
0x59297f10bad6919d66c7da787d0bcdc542575c17,1190,
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,29.75,
0xe6fa027868ac1b4dd2780b0027769b0d8feec41e,29.75,
0x6354bf26a61fb2d59a14813e436e8f1c42ef63b9,62.9,
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,62.9,
0xc4baa22875102821bd01f572d63679f5f1cd8046,188.7,
0x13225fe0942ea23d62536dce84bd208fafdce10a,119,
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,394.4,
0x5136d9d074a180def91b118d954eb950419ae1ba,29.75,
0xcca385be21b94fa1254c8b5d7045cc568a520586,377.4,
0xb14a8a00da10b45d81c589f591e7fcb4587e5e70,29.75,
0xaae4075721c029a70ef8f19a31d0b708d94446cb,29.75,
0xa5135394d563e323e83b5c1b097acdd7a053b40c,80.75,
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,437.75,
0x52332ec46bbd2d600dc00825583576b9483eaae9,80.75,
0xe8abd18f97bb13fdce53dce0090a3c7acf383fb0,29.75,
0x8c2053b0ab55018b826cd6a912aa13365ba456cc,29.75,
0x8c0a4f4e6c63854f2b360bed46f64cc86c891801,29.75,
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,25.5,
0x4691fb5560bdf4fe6292e72e1928c9116e2a574e,51,
0x14456194ae93e6ee45b7bb69c46c32d7a4358faa,29.75,
0x42ab6a8813a00af942714870327b4bcb71c3d871,29.75,
0x5e870b8c04f2bc246c71340bb3f7dc3ae95becfa,29.75,
0x011305a6fb1e6cc7c9f5b0ec1bd13308445c23bb,29.75,
0xd41baee497423d54204cb0e8f65ee581b513b153,29.75,
0x4ee0b5dceebf3eb0a97f476f3658f158df63e53a,29.75,
0x213d9c4fb38329af0d63d8982a7c54258df727aa,29.75,
0xb65934bc345c5372d1dfddfc67b1206cf11bfbdd,29.75,
0x679eabf28e6189a153c85f358cb1df254e1c443d,29.75,
0x8c582af92d80e7da919f02e2ace7e805d64206e0,35.7,
0xc8a4e7379168d19d76aefe081714f3605c8dbc9c,218.45,
0xe99ec2bfd1293d7df747d086b3a286c6ab2f5220,140.6,
0x0d60f9da37ac046d521d823eff4fe3e42ac0e600,109.65,
0x8e66693187f274889b518e145a09efcbc5dd4d32,51,
0x8bdc56275424aac6524e533424f818a9ea716223,62.9,
0x3603576f910ac545006eadbfee5798202ed07a45,29.75,
0x00b6652630e49d741db460e2757bed6d97dd021c,125.8,
0x0f48f968372c5f081b97c1d7b5e85b4d4b74a33e,29.75,
0x048054f6e13bb29c6453a12337999faaf8ebd72f,34,
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,407.15,
0xbf335421b8d5898a126e32676fc93d969dfa7cf6,29.75,
0x97fe6f5350bbb578a36dea4bf48482edc4970e91,29.75,
0xa79c6dd93bb7e14a862e5739560188595939c1f4,29.75,
0x11129c98a269742177141de456733e9f977f81d4,29.75,
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,29.75,
