address,amount
0x54b41ad641de25eca20e1dbc797de6740506448a,20
0x16e70864f9f80a94ee367427f61028deb2b55f81,20
0xa9246678855b64be286a36c37fba1198a97cc82e,20
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,8.5
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,90
0xeb42994c18dc36ffb529fd849c94441da3832c08,340
0x13d2a02530e987f68b9df14aacef417525547410,30
0x99840482cbaee5da4a707993fbf0c3aa75afd1ac,25
0x2b3d820cab9970dcadbbbb667e012b927608d17c,137.5
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,70
0xea5f4e97373eea3386025804630d04316011e814,17
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,167.5
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,20
0x62240ed3da5a4eaf22d1ae84472634f247474551,32.5
0x522a57a9267b6a54dde2f9a89863304cd0391827,12.5
0xa885c5ced05658736659a7e525dce52975a8d62b,85
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,80.75
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,20
0x9964a001f3fd643d51244f305f425d2f85e6d06b,82.5
0xdc61e516d02204e27509fc8cbb135da2439a3967,87.5
0x909c592080a8ee273f5c6648d874e78c7ea94a56,50
0x8ce09fbb2439a63043c91b1e1bbdd31a47763b6f,19.125
0xfcc2700209359d8a08ff267a1d34c4c21d80fe97,10.625
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,17
0xc99115860ef1f43bfd4cc852a59fcb1110a1e9e1,10
0xa6e96dbb6b7d2c12062e70d3dec87c4fe23f961f,60
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,20
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,102
0x608fe5dd6ee360ede7d4e5d9d0859e0327af82fe,106.25
0xbf58f6060b8df94406e411c4e7e55013209a4107,17
0x06f6750938f7fb8d42202bcfa432a358c63cb8e2,20
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,127.5
0xcca385be21b94fa1254c8b5d7045cc568a520586,70
0xa5135394d563e323e83b5c1b097acdd7a053b40c,170
0x32feb01ee4387a18cf4051f2ef7c943bee51e2c5,17
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,55
0x52332ec46bbd2d600dc00825583576b9483eaae9,80
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,62.5
0x97cda72236dcaeb5c5d37ad1dede1865d9b5c7d4,17
0x2376bc6f5f1dc4395d0fff93bcbb20fcf6789568,97.75
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,12.5
0xc518b077ac4fd41bcd85c4564ab79db2f0d417ea,20
0xa4439dfd3afefd23c6b75f80e67fac472a105e46,17
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,47.5
0x542825ff7372a297dbac8570370bae9a05fcde28,40
0x048054f6e13bb29c6453a12337999faaf8ebd72f,95
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,75
0x83c08f0ebc2ddcc25c2e6e74fa1aa34ba78f8086,17
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,20
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,20
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,37.5
0xd894b25119f39aea58d786329619f0f564a99a5a,20
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,20
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,82.5
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,10
0x38c271c9fc3a0e244a752b25a31d93a63767d567,250
0xad78de00f02940fa1bc52ee7356501cb3f12363d,10.625
0x0aeb6f16906380ec324ed099c1b840160061a2f9,17
0xf811c7cda02d03012577d45d9cbfad4358d5390d,17
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,102.5
0x693790ef7a20e805a24ce9da6dd608b57194392a,20
0xb955db051bf09a645c26730752e28f5e3776088f,17
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,82.5
0xd60d90acd08d2343064d0828d4fdbd1a9391a19d,20
0x2211deae839844f79d68b384b01fe03e40c5e655,50
0x3bafc6d98050c380bfa1302bfbcb25313598ff8f,32.5
0xa2dca4ad21fd58e4ecfb4b507cd25c0b3c71dff4,92.5
0x63dd876da0fd1642065f93f29243584c22ec1248,19.125
0x09f213953d92f865b949b3e39b9dcfae687d4966,19
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,50
0x4abd7276c53279b3abfff2b5d8a47c0afc84833b,157.5
0xde59dde7c5428ba29c7461338f4a6f45637c792d,37.5
0x49fdba7584cdd272e4e98a714c86a90e46e062db,17
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,160
0xd938b623ba89ddb2e17d8c673ea48939ad7dd7de,127.5
0x153421a5ec98702238c5baa8a18b4a53fc059d41,20
0xcd9fd480bec6fc5fa0af9f0eb984ab8a2eee92f3,20
0x04ffd5fc488d533525873ac42c08541d723d1df5,20
0xb46ce02ba9bfc4da27da8a7e770b4ba616ce55e1,67.5
0x4a735c710c34b2e55a3adf107947071228e84e66,31.875
0xb512db75dc47bd45bfab223399d6a65010f24ba8,31.875
0xdebdb6d731d9e4bc3aead5358ea09ffeea2fdba4,20
0xa30ff788ebac2878dc36ec379e55deb02c44049a,167.5
0xdd8804e408a21dc344e2a480dd207dea38f325ce,25
0x7a718254f46d6b3ed82c287570ba655c10bb1acd,20
0xf2c38389029df15bac7d81c9959b67787218202d,20
0x1b4d07c5388129ece609e69a701ae4007ec0d660,20
0x5e453461a7a9d7bbd08af3d6027ae82f7297f516,20
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,12.5
0x4206889ed08c6cc6ab0550a5eb6dddd5b8678f66,17
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,77.5
0x06068b2bab7087e4224ee18b8e9df68c002067f1,17
0xbe14fe7706ff387848d42c9d63ed580f4272f338,10
0xc2933176a9be2116721a2681e042111ad22f8266,152.5
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,150
0x9ebf66df497230c64847a38d51bbc921efa6bdf6,20
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,82.5
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,29.75
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,20
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,87.5
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,72
0x28ad3b90c7bb3d07d7703fee1b310c260b7914e0,8.5
0xb302819e70180c339ced97de9fbbc7a1e71fcb96,10
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,57.5
0x5b6374158552480655ca082e4ea1135f87d3bf47,20
0x334f03ebaa3b292b4caba803f10e515c5165725b,50
0xcd4e2a95ef38a5f10bf66d512059778e8af8bc6f,20
0x10716aaffd2097228c78fb8a7d844eabc85497f5,60
0x2282ecc111b7acabe470053d4a09472bc07b8d00,40
0x67d23446aff47ed9a0eac389cce3ef5f12102edb,20
0x42125fff09877c491afff394e545bd9419f610dc,20
0x303dc8a76e9e49d10ff76e46875225ad83dd6299,17
0x4abbc8e0a12e36eff26d8a1afb71520297145a9f,20
0x49f47d08ccff91010bfe5978b011c21472b4aee9,35.625
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,72.5
0x1d9acff964a69add961389b3ca161ec3732e11af,70.125
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,40
0xb3defa6c737de1414a86bcedfe42d4b5121c2168,20
0x68775481972601d5ac3e62ab529afdbbd758a66e,8.5
0xebc69508b0ff631852e64c42ec21c1095d9ae1af,21.25
0x5769cb1ed566d63530c10637db1f2f5c8017c982,8.5
0xbb6b5c612b1715bdeae2a1931cc7fefbb4d02bf7,70
0x4b1705b1170795d56a1fa9adb2cc643008d1ef78,17
0xb200ac08b491345da6663441cbe1732cb6268bf7,20
0x19410cdc1e3b3409d172ddc819a70e1b8b7136b6,40
0x173edb144dd9f156c419751a1d4eb2346915cdcc,17
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,12.5
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,150
0x85b0397e11a50673919c2fe04bab65db4353a165,20
0xfb40932271fc9db9dbf048e80697e2da4aa57250,160
0xa0350d547d28f88e443fc835816d6a58a5199b2e,20
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,10
0x5fb5e0bb3d45e0b532c414adb54e22ca87530cc3,17
0x67b271e10dc48754863723981cc97afa3a034170,10
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,10
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,20
0x83f12a8dbbf4886c97741c1de9e09f7a16d30a3a,20
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,70
0xd586faa55f787518b0feeff12788f40ca7d01f74,140
0x5eb43e9df9b7576d43fc5906eeb6364b9a122cea,17
0x03b371e360515047689ba468b530353dfaf7c9d0,20
0x1bca9310fb4c211651824293e401c3ba75f9141d,17
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,30
0xf09f18ab187a0c559d60ed2852a2f7018dcbc2e0,17
0x4f4407a4c08d027c8a4fa272c614e1c1d81f891b,20
0x3eb4b506a839b33a4e5d8719a4150e478083d550,37.5
0x8028e1230aa686bef019558fdadba0ed3608a6c2,17
0x9f77f69848852c1a2fc529d2663b05af30559ad3,55
0x49a545e6ddf6fdac01f1ae60d8476a7928850ce2,20
0x32cb961fa8337b7e328b508adc539044292ad323,21.25
0x2e4727d277b2aa345d5d10bb9738b1f625a0afe8,17
0xe2dc61b52e20814bfaa464934d98a9fd1bc05c86,17
0x4054964fed1763cb0226dabd832ee3bdf4d367cd,20
0x3afa1ed97101f2b66452feec97b7fb20a146bfa0,10
0xa3793a73718726f12a8183000ae0d85697a07732,57.375
0x1c61443e98a6f8aae5f7c7799d7eb0c19d8a1ffc,17
0xb59dd68978a319e466fda096dde495300365c686,20
0xd45d1b5da77939929a3791913ceac8682917073f,8.5
0xb6fea65c7a5f2e1686f356eab179b77b4f1d0468,17
0x2e8e4fcec14ad7537e3c04f8a3727d0e756bcd9c,17
0xf58f7f1af2614d64103961e53ab6cd65e9fb87f6,20
0x3e4b6c64430bdd00ca1b9863dab95140978e8105,20
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,115
0xfb5959e3f9401033273ce1009099df6f0f972030,22.5
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,40
0xbc627254fa9e73117cb70e1d4eed610ba0a9de0d,40
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,190
0x66515b1cea61a77104ef9046b6ea9acdca82285a,17
0xf9ec5f4b6ca21d43cab8f7c6e805894453b3da9f,20
0xaa22a8c84cdfe40c5f888fc1f84ac33451b2b111,40
0x9401b701541aefb1da78fc158f9c39613b24a815,20
0xa2f3dee310133fec376f2061b6bbf2bc9fd8e9d1,105
0xf2325e101eaca833670ab75d846406dd482e3078,390
0xee2fae2146b9460ba51133a0de2e04ca59c35d36,40
0x4dbd495a11e749c470ad9c9520039fd41f90a09d,42.5
0xef4491e9047c039eba2c82d1389e14a184352b78,8.5
0xa8ce3a37c0994e9cf674e7c0fe7984f711ab9128,20
0x3e251de1982d4dded19673cdf3c9f25e599b65cf,60
0xe93abab35e2ffad48d3e1baa2e014aa265911f33,20
0x2c25a6cd94fe71002ca711874a54e9becb786d10,57.5
0x2e480c494d92e40b1296ecdf331a190f42a9daa6,17
0xffea3f7ef8789cb73dfcb0f51191c4a29463916f,20
0xb338f7a6595f5eab1864d8139455196638699d13,17
0x1330355f5181e5a865b35063427648a5aba9096e,33
0x7df67073c591dfe102295a8492dde45f9b0a112f,20
0xe5ac17daa14b3677374e7ef69dec67faa5ca06df,20
0x3854297df5a53154d97034a7d4d54a78039e6d0e,17
0x527e5c08d360f2b2a1c426245297dd2876c53a8b,82.5
0x8cddbbf2a1517bd263ae9d9ad47b3c94753d1bf8,17
0xb2d1c6dede88695beab115afefa8e21425dda153,20
0xd7f36df68b51abbe760505cdae225082c087a33e,10
0xb54ee650c89bd7a36d8088016915e0c66af98898,17
0x323058872bd595e85e4593af01eac75c48af2e93,17
0xa5ec0fe36ff49727ada0b1b365be8f91a6b9bdfb,87.5
0x2aee7e9bf7e37fefe748a6ab667af81fbf64ee0d,17
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,60
0x4e50d1dd6d5477b0e2d859e0423364f2e7ee4ebc,20
0xfb959c714d1ed3e8b4c92e361f1818f31c01a0fd,20
0x8cc4d17651f4ffc38faabfef2434c2735114dbbc,20
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,87.5
0xec752c57711bd7c652dafb1a430e310a5010c29a,20
0x4ec77a0cb90072e886fb76f176df922cb65be32c,100
0x64edf4228e9aae1d3e9bfa9ea3a92a59c8f487bb,85
0xdb2bc9afe9d38ea587302f09ed440c09cc6b27d3,17
0xd5af1f64d3dda90ad0e1c29821b49fa2656cfb85,40
0xc04df29424ee49395e962858eb0babd29b2c14e9,42.5
0x85a0282e76cf7012b15f8d51965f486cd344687b,32.5
0x6b8933789610141ac92114524ac3eccf0aa0393e,80.75
0xe4b4c657a579ad25924b55ffd040de4c5ed0472f,17
0xce99e81912fee351b1058e822b1aa41745aa55f5,75
0xf228c411a169cb0f1f47b6010447f42e95b7062f,12.5
0xbb088b60f8acbd24051cd982584e3af06b58596b,10
0xbb287b63978370776321e2280bf072b4b8a59f90,80
0xd9a4b65bee578932da76554418b903ff9631aee8,17
0xc9ebf591174da3be0fb8289392fd02cafdc48dda,17
0x0d6e94d085a597f316be1833649e05a45103e873,17
0x6728f76d65d79519db10953ee539d05fa5e474a4,20
0xcdc53504411fbbabe0a882ae35c5e43982e5752d,17
0xadef07f21f632003bd8362280688e099f56423e1,35
0x6ee6997795eba8ed16781fd3132601376a146ab7,17
0x58ba9a3b4b5a7b57603f034adae23e963f3d594b,30
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,60
0xb02e5f89fdaba28772982cfd6910695f1b835a67,127.5
0xb75478a93937c04cb4cbc5794c3e879c873a4ccc,17
0x2ed6d86a118576aaae6dfbbde7aac51df6220c06,17
0x8ca01fbf10121fbb9311b6482ca5683807616d3d,17
0x4883c91cc7c617980a8d7842a7ddd19f783e46bf,17
0xc3c386ac22da5ec1790ea579b731d7b8fc310cde,20
0xc0159855ec8bfb4d60f9dfca4899f04a43f85c6f,20
0xc356ac859538c9f33c750642ed4dda0ae31b17ef,57.5
0x5e914f52c830e817ef4b2b9914c08ee312121d6f,65
0xcd5e0538631e7a187bbb20a2eb21439e8d631095,17
0x8343c1f21360a660caa2816c4f90a7186a9dd74a,17
0x0f4b3172cb6d80401f44e4770615ed7d2cd941d6,17
0xb741f13e1470497b71d5b5f6d5c957636ad30fa9,20
0x646f820c56ee5ac290c000c2fedec462f7d367ce,17
0xb1343ac919431a36a5c129bfb4abb52a2eee4584,17
0xa136e8f1e5a8e13cbec3d5d04ea494a86d6c257b,20
0x99b10dafe7ff24e2122aae01b447d74788c6087b,17
0x57800362a0f50d36604a55b360c33635c7a744a1,140
0x972978353e8054e4cff24dd7348ea2b2ec768d55,305
0xcc6f0c43fdfd6aee9e301db1a291e725fd0aecb0,65
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,117.5
0x14c78df591cc60d8a0b5d5f62593523456ad6c18,307.5
0x7494403ae167f51d1444787a31f8ff819c3528b9,17
0x49430592ad2e46b9d373a9fe0fbcefae85171013,20
0x64f1fa65180dd3546623b041ec1897fdd07fdfeb,10
0x7f118598b8d441e2aa7a4debd0ed8e4c6a3ba270,20
0x0841e10d57e16ba6cb8ad950b1e3a922d618a0fd,17
0x4a3af7e06c514ca612baaaecda8819e72275347c,20
0x4c6065648578df58138f45a9d48f9dced902b76c,20
0x0c384f273c3b3fb3188eabc63863421a66583478,60
0xe8a718296edcd56132a2de6045965ddda8f7176b,42.5
0xe2faa637bc3742f97e98d002044bdb3b35383162,12.5
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,210
0x0026542fdee6120b1ca0407ce6087369a198467a,70
0xb077cb4454786ab5d80ddde605c4d34b2789c011,50
0x14cf01598ed303240d73365ced552d7fa0314807,30
0xa749fc182fdad5706140aabb4ea5a8fb85a44aa2,20
0xb989d5b95a4434b77388ea944427ec82adef319a,42.5
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,75
0xa0a88fa459c98c7da96b02205a9c673b15c2405c,31.875
0x711523c5fff943ddddab2e1ae03b857b7f832b4b,20
0x0d40fb7648ec5c04a3ea834ff7a010db062eeb93,20.5
0xc1c2e59cfd5f1409c6c6ae876b492d6cd71881d1,20
0x0c4bdfe0aebf69de4975a957a2d4fe72633bbc1a,20
0xcff253930778f3cfc606a79565b46a79b215f7e4,178.5
