address,amount
0x54b41ad641de25eca20e1dbc797de6740506448a,51
0x49f356c16365dbdb9729993a2e9b2e84c379f668,850
0x756e68f85226e17c2ad9a36f5f3c81f88a01b20d,51
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,340
0x16e70864f9f80a94ee367427f61028deb2b55f81,51
0xbd96ba9c43d5ed5e54d2e0732f1ff52c0fe4d80f,340
0xef6103de90208f3dface661eadb120cf8075f9d2,51
0x2f07a60e2a1d709cfead13d48f8c51fd49019d4f,51
0x7f7d19f522ac2673a82322725b2fee35ed0f0b82,51
0xeea498052a14a38cebf107d0f0f0ef30cc674f7b,51
0xa9246678855b64be286a36c37fba1198a97cc82e,51
0xbbb5c971fa8debb9d0e1d1f0181bcd35a3187fed,51
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,391
0x5eba2b8add723543a4da85cb2606f0553df6ae8f,51
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,2890
0xc2c3f13246a6e04bd4c1e0cf58bcc31e0bcef12b,51
0x96e95a1f40cf5a50178053740ade18046815362d,3187.5
0x13d2a02530e987f68b9df14aacef417525547410,2375
0x1e4c331d8dc510622f997b55520d877349741256,51
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,51
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,51
0x99840482cbaee5da4a707993fbf0c3aa75afd1ac,1275
0xa0ed53f726f9374275287e57144317764eafef54,51
0x2b3d820cab9970dcadbbbb667e012b927608d17c,391
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,437
0x9844dcb06e9b49018cbfe8bea31bc6fd97d96d74,51
0x57703925eb53638e7860dbf524bf86e99549a971,51
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,3876
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,51
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,5278.5
0x5999f61c2c7d26811b5f019cde0831e98c6a61f2,51
0x7e9d8a0be535173a18515bb463963e5c8272eb04,51
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,6920.75
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,3876
0x8d85ada666325e3d657d4355df4c7066edbd7ab2,51
0xfe6c17e467329740a12db926a2bcca732f1cad7f,51
0xe7a97a841876c9ec8c38fee297680aacefd121a2,51
