address,amount
0x9765dd2d1aff54d722f6775a0b30f69041b4834e,380
0x4a78f58d703ef5b34edd7d5a8d1f0a0913145caa,340
0x59cb74bf4d08ca18710a193812a62abfcefcfbeb,340
0x5a5ab07b1740aecdc45aeafef7f1d48ed2ab3b4f,340
0x6abf339ebd0f06a825e47c97d9e22e852bd53744,340
0x9791e3a1216351cc56bd1f50fb25bd53f2dea62f,340
0x531826b270327ac70dc58b6a88c22d98f3a02b99,340
0x7cea6612d62d82f9558355133e9a648f09234d1c,340
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,380
0xbf747c64fbe3f23e66704a0a89300ff3220822ff,340
0x02709df42141d7dcb3e63423ef147b494382aeda,340
0x9b9977d825bdb0db5e1e31e897d3839a6aeaa5a6,340
0xfa4e7035b34294407e5df1603215983d65e5a773,340
0x8b190a162e643760d91a02fb35dcec858c4e51dc,380
0xb764113ac0c2d8e1a99bb2a69149503d9bf4f614,340
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,380
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,340
0xa42a317e1d9ad2a29ef0047b5dc307ee5988b0a8,340
0xbb287b63978370776321e2280bf072b4b8a59f90,380
0x1430d679b872a94dab5e4e0f1049675e471cd02e,380
0xc96f70172d16326395525e154c7c868f98e00e5c,340
0xfb5959e3f9401033273ce1009099df6f0f972030,380
0x1d0ef5158ea4914ebf909b53dceacd3dde8476c1,340
0x98e285c641ae0626d41ce2f0f8368475a6d6bce8,340
0x6ea35bb7b426a1bb4788c4d73d3c8b73adf0b9d3,340
0xe643905624879b401672802036043ce2c954268a,380
0x6d4793ecab20bc68e13f776fa2add2f0dc69d8c1,380
0x972978353e8054e4cff24dd7348ea2b2ec768d55,380
0x5c06181645941012fc42c3ba662f77c195eef0e5,364
0x6da8e2a4f09d920ab5404d5ee1c55a8577abbeaa,380
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,380
0xd52e3dfadc762edc526480791434165a0d58ffc6,340
0x9e8734eadfd21b16f2ef7c970ca139e565ba6b66,340
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,380
0xdd8804e408a21dc344e2a480dd207dea38f325ce,380
0x2aacd59b6721c6873129976a2b45aa32b161bbdd,380
0xcca385be21b94fa1254c8b5d7045cc568a520586,380
0xb989d5b95a4434b77388ea944427ec82adef319a,340
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,340
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,380
