address,amount
0x45291103Ee841992f23031f305d66ADccdFb486D,117.86
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,235.72
0xac9fba9971227cefa9590e133cabde96ee1b2bf5,1.7
0xef6103de90208f3dface661eadb120cf8075f9d2,1
0x543ea9e8bbe1a2bbf0dceefd6783abf708789dde,34.85
0x38abfbb94263000355ac94895ac1cbe67a9f018a,2.55
0x9b84a235c3826a931fb791b82b59bb7b7ac7e122,0.85
0x2b3d820cab9970dcadbbbb667e012b927608d17c,15
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,42
0xccfa164a9c283eb60ce0d742c59545b5eead4d31,32.3
0xc334cae02cd1cfa088f04fc74387c3c7d6fb6bfd,3.4
0xbf5b608d7f98bd924e69462ffa722667dc23398b,0.85
0x569725633a7a0c824eb7e6480b6b2eeb61a39912,0.85
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,28
0x1f2c5bf8ca3c52d8456ea5292a867242344d96f8,0.85
0x58bbe0580b4834504027f27a2c36d83cba53fa40,11.9
0x66488e395ddffc29e7c7eb81dd14c6d5ab0222a1,12.75
0xa6311ddf73a94780e2b6bb5dfef516719877588c,0.85
0x209e8354341e8d862cd715f780728e362844a41a,0.85
0x522a57a9267b6a54dde2f9a89863304cd0391827,4
0xffaa59f2a5fe3b7564809e1b2d9ef45ab6e6016c,5.95
0x3458de0096ffd750eef057347d02cc695dde2673,7.65
0x9964a001f3fd643d51244f305f425d2f85e6d06b,2
0xdc61e516d02204e27509fc8cbb135da2439a3967,15
0x909c592080a8ee273f5c6648d874e78c7ea94a56,15
0xd50ae9846769731c418655ecda7cda6bf0f3ba5b,0.85
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,38.25
0x725f266a8844df35d87a33d5ed0525ee5783bac1,0.85
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,15
0xb5158273888ea2372ca4b7206c7854e221045ece,0.85
0xc99115860ef1f43bfd4cc852a59fcb1110a1e9e1,3
0xa6e96dbb6b7d2c12062e70d3dec87c4fe23f961f,15
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,11
