address,amount
0x9c8a316bc4d1e18a222bede1edc4899462e14ec6,119
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,170
0x13d2a02530e987f68b9df14aacef417525547410,170
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,170
0x522a57a9267b6a54dde2f9a89863304cd0391827,138.55
0xe3829ea06ebe16fd68a0fdfc61464a767bce9447,4.25
0x107bdb48ac4401be6cbbd7dca364d13184222bae,4.25
0x70b02d35d731bb8db768053e1f40c3036afdfaba,13.6
0xf12a6c891d413f87915657b9ae383bf0c2be0010,127.5
0xc4baa22875102821bd01f572d63679f5f1cd8046,104.55
0x9dea99c445a7c12f33c6418a47cebd894fdf7332,340
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,170
0xa5135394d563e323e83b5c1b097acdd7a053b40c,174.25
0x4b0b415ea01924be143a22e60829195f984e1966,1035.3
0xc5576e7c082271c761762966c90ac2ab0ee35f25,5.1
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,170
0x36bdc3927ee7ecca1ac5a309513289f315cc5a2f,680
0x26be30e807985ac821e752ab8baafb9e24ff5bf8,44.2
0x066fb187404feee6ee7f6cde21697cea1a89ec23,82.45
0x2434a3896ce832932672e9c0f7c35f0f34e04206,170
0x56b4bb41f248f2fecace8c56df3878216b5536d4,170
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,170
0x7df0399faba363fb96f6b0435653b48d1b268162,35.7
0x55be777df5aeeb9375516e6a28a723034e09f399,4.25
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,68.85
0xc2933176a9be2116721a2681e042111ad22f8266,170
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,142.8
0x7dd385432be1c700b3455ec00d3c1c288cb99687,4.25
0x9e6020e4e81c8aa4793e48309038a601238a8142,340
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,170
0x5c216d7f402b3f41eab91df35732c8994348536f,4.25
0x10bfee19a33c1bfe9c546eb39aa1dd6375e2d447,170
0x49ff3cae1cc3a3408f95d6773d5a60950fafc24b,4.25
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,170
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,4.25
0x2020b2cddffdbdb6411bbc6052463c9a687db434,850
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,170
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,344.25
0x6799c066e1933347f9cfaaa5877b843797c30acb,2.55
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,114
0x45713cca0f932cd705241c1ef708363155f88a0c,340
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,20.4
0x23d344a3fe9450753324523425eac8bb6754eb8e,286.45
0xe20254111032f19fff333fc59faf2b0d4dd79d41,176.8
0xd586faa55f787518b0feeff12788f40ca7d01f74,170
0x3eb4b506a839b33a4e5d8719a4150e478083d550,4.25
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,174.25
0x7de09dd2ad9cdfe1143aabfd94106b7c1e4cb8cd,4.25
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,340
0x5bf54a3e37eb1974b64e7257241d6a53faad2354,4.25
0x99301683f8e308338de01f1bae59a00b2d43d40d,4.25
0xf2f0f4401805f8ad619d20ceb096f61149458abb,127.5
0x7cc27a1b317e68801cf0280aed43fed50aed326d,170
0x52372cbcebd0d5f5238a6501c50f77ce71df202a,680
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,285.12
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,4.25
0x8d2c3acf878993aba3a746d3547c5c2f387d8da2,1.7
0xf9f7357c3d62e14da35c0f3a98f95b44ea54ece0,340
0xb91a1b314c7de3feed21c20bd9f20f9ff50197d9,363.8
0xdd2219525fb9a157bcacc6034c5b4b136244b59e,2894.25
0xde09e0518fe1ef0685ce031a6e4e1880ee026dbe,214.2
0xb8426f7ae6fec58e4cf06bc269420c9bdd800e49,340
0x804c2052c4a4ea2141f9d52c068def7f8502a171,17
0xf93400f2196771ad6c22a3e4dbcf736b2e9753f2,61.2
0xd71b477d5dea0a95b11ed8df997f3b2f6e3cd4dc,4.25
0x7be111f85420128b9bbf3edc5baded4866f6328e,510
0xa4ec20c0751d78777274606d0d71304d1c191f96,977.5
0xe9dd8b36c7d843e811601360b836bb73aced82cf,127.5
0x60d4922a1d66f661f042df43fbc20a4e2ab6dab8,106.25
0xfa6a8be47ab4327b6294b5218870985296ad85c3,4.25
0x061125184d535691b87a9560db30902b12989370,4.25
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,130.24
0xa3a5df7a23a2d17dc5fde6bba4f1f4a62a7b156b,340
0x2d22e095b05c5c87947f1d8fe258238fc43bc14c,170
0x1f235a06d30d30f59a17fb0244937158e9ed721e,854.25
0x7886dbcc7df67665c4a89807d8794d91dc5d59aa,4.25
0x40c9caf4bbb3ffdac6492da01c94758edeb8bf3c,131.75
0x25ae330057508edaec2dcc51c721d712f6067036,41.65
0x4ec77a0cb90072e886fb76f176df922cb65be32c,286.45
0xbdf0c6d0721428da6ca74a1727c54122497caf65,170
0x2fba30393d3ce59a499ad9cb07e467541df5b0bd,27.2
0xc5eda879df93e0dbe671b1e4db8f503def7ba06c,99.45
0xe1c6b8e343895916b072d9fcf6e5116fc137fead,85.85
0x8bd7fc8852c3cc72f23484139350f7fb1d284a15,5.95
0x0d6e94d085a597f316be1833649e05a45103e873,175.1
0xc52a5285315239b0dfa150e63053d9c614026edd,192.95
0x64ae6414a42207aba882663d57a4d6a45f993d73,7.65
0xcb8c97649640d7a45ae45767a64d1dcca6dc0948,130.9
0xc778dad3dd2fe4fc18575c69cc9e80b41e36b37e,170
0xc887f4b275da0331aba1f1a209e5e603e8a572da,127.5
0x8d8d491ec4301cedb07d003c8b620e02e34415b8,190
0x55517bc1ed2c655a7ba72c41313c30bcb3cacf7a,55.25
0x972978353e8054e4cff24dd7348ea2b2ec768d55,139.4
0xf11a0235d927f4db2297c54d15c22af41f256eaa,27.2
0xe244a25f037b8ae19ae396f645f1aed3e47671d2,34
0x1372e067823dd985ebb63571c34da0eeb80105c7,34
0xfaab9425366cf3137c19967a7446860d2b5034b4,4.25
0xe2faa637bc3742f97e98d002044bdb3b35383162,75.65
0x2b6561e955965db87f48963e1573f819c31cdaf0,247
0xb2770db3baf1097f6a273c48a5a2ff5701fe17be,294.1
0xb989d5b95a4434b77388ea944427ec82adef319a,397.8
0x5338c01b8c7f07c0bd10d2aeccd9644694960511,41.65
0x584213211706148abc3bfa6c5ad6424c43411461,108.8
0xec08eec7b51ef562999565d148b636802fb9217a,71.4
0x767bf481fab2bb3c21220643f210f4f4f1e216a2,4.25
0x85cdba196ef80995e9e6bdf74c453115026871ce,4.25
0x3c148f5b9efa720f7501f39fdf02b3cdc9658bc4,192.95
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,76.56
0x023e2d565b02f851772cc5417700e7b4d30f2907,170
0x47eecf53020a5996f803794b4290ed05f526fec4,4.25
0xdca7fb8f2be5439da80610f5fbe51bb76ff43822,1190
0x215df5814453093cd10cf7b87792c4398bcda5b2,24.65
0x9bdbeb5f6e59dd471bc296b97266d3ee634b7c7e,33.15
0xa85d365cb5c1dd187f3b52ac2ee60a8b77b510da,127.5
0x7df618c193bffd172b2194a0b66f1c726f069d1e,90.1
0x69f7de589cfbb8dcab258a7c130aaa4ef5c8ee53,850
0x72bb9cebc8b9f5117d40dea16297c20c3c98d8ee,76.5
0x54804cbd6db2362656f743e4c4306dd4f98e6580,6.8
0x345fde546325162b4b53409c895fbde6af02bf2d,259.25
0x652debcb39aefc7b9551ee6e87d48aca5bc49546,127.5
0x28811ed447c5b9f95efd1b52990b6de570a34241,170
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,6.8
0xee0b6b7047fd4aaf23e66cffd5261f3a7fb4ab29,4.25
0xaf8f064436eeb530625e1dbbf731f4490666a284,170
0x821101f0704cedf3a32194fddd1a9c401495d59b,170
0x8a15e42672c1161479939ec6c1299ab1e481055f,4.25
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,170
0x59fb03b0b8407916ef31382e0d9bf6a3d5a0b71f,1.7
0x534ee86ac52faf1f213d01dece2772fc868b9f38,30.6
0x2e62b7a20a53cbcdbce71f709f785aaf95a8a565,340
0x34aa402530aedc9b846ca903e7e379313f0d727e,175.95
0x03e67cfaf0c107844a02fa4233052afad4bd9272,2044.25
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,129.2
0xcfd8f8cfece4cc48eb0b512cb7878d6728732f12,212.5
0x4c99f7b818a8a8ef54c07c5b29fcd6e07f355f5b,170
0x40351ff8be3f601fb8c3ecf00bf4a69ab5935f12,62.9
0x04dc948863fe21b097b8752b115a1318a2a1952c,340
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,173.4
0x8db196e246de3137d5c02bd2018709b1f3b8e123,170
0x2cc8a2cb8b8261df1b03766e4461a3ee90a916f4,650.25
0x2ff169c11d442307d72fb047beff812b5b7ae887,170
0xb85e8cc49b10738d12a21698976167659077adf5,67.15
0x1911f0e835da0706b783dde62274280ce91f1f61,684.25
0x2b30efba367d669c9cd7723587346a79b67a42db,1062.5
0x8051d1f2c9f4ffff3c1104337aab6cb1c315a910,194.75
0xc96f70172d16326395525e154c7c868f98e00e5c,174.25
0xef0bf7f798cce7cc538c7c6e264ed3a482fc3066,177.65
0xd371c5b95a9b731aba614fed4a93edcee60df3ff,106.25
0xfbeb21d0746fc92c9a3650eced0a82c540a1ad78,127.5
0xa452c67089d9ef0a49317c91d8d657c7c7124df3,170
0xd193466c05aae45f1c341447e8ee95bdbea8297e,28.9
0xc8392b7ee6da04f13b6f8f0af0916bc1a4ee52fa,850
0x83d99f07d266b4c756e7d96d0a4d2ac41c7c5aae,51
0x63876585a9f36b1d30551ae457463cdcb4c05af9,89.25
0xfbede12ee9f4f58ac0d47ec2fab53d8771c9c71a,174.25
0x1e5a52605857aa3645b4872caa9773c4e626d30b,170
0x23801f6e95ca594746af77204ce090144aeb6fe2,170
0x7fe33afe1109a52d7f6311cc0b8b8388d547ea5c,1186.6
0x75a4464658822a1ebd78b116ee0745325fd6ddea,680
0x667c5def22003b28fd1f172097e7ebbae4080753,200.45
0x4e470bedfb9543d67ca40da62795a6179a375595,127.5
0x1db345fe0e4e38b4b170a84163d12781dc4a94e9,170
0xac6f0af47bdd92320369bf0558a3043694993efa,173.4
0x86aabcd459587bc1a347ae1e2d15223856354ec9,136.8
0x2bdeF7d3d194d190B4A2dF5BCeb45a6d3b0029E3,4.55
0xd863012d69c7eaa647a48f4fdd4992a3b50a8412,14.45
0x9ab4056b1d71afb7b8595c74b5c366b377be473d,79.05
0x7782a4a51d977427155e8451e389c2d0a1b61fd0,113.9
0x7168ff48bd96479bceff667d865c2fa2ee6aaf02,149.6
0x96024648d238eae9c600cbc071a420d722212299,50.15
0x9bc2441467a44cc21b44cc53b209ecbc7665bfa3,510
0x4156f804a6869c4382ec14b9e60f634319b2839b,55.25
0x77f684b6e0359210527046cc592a24d60cbd8f5a,850
0x9c7ce786bd2b31f62c1adb52a65907ac077c1d8a,174.25
0x58e81116fcb89af7f87af7805d175ad7a79e1367,380.8
0xd45a7d7a9c7bb2e5c26a682a398af16ca6be4d95,131.75
0x4dd002594a6f85757d78c99c0f0c0122a94fe226,170
0xf33ea5b3f0ab05e39d1656d42f475b5a87ed21c6,4.25
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,127.5
0x15f76862162f4824e7620d9b258822390e13447f,170
0x8c693e92cfa1d10cacd0a9eb6fce7f1b7b7a5e54,112.2
0xab901f71988c64541932bba8d243bc23c3849561,127.5
0xb35b531649c5cdb52db1ed3f0eebfa3b37c76708,340
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,127.5
0x481474eb2ca5c56961af2d9cc35d675b72c2291c,12.75
0x173a85bb181ec518b98d64594e543a877e7a5d82,340
0x6a3f9fa682cdeb2b76db8ba24a3eed8cfcdaeb40,680
0xfb475e17d68b841017ead47c667f4dfc931879e7,7.65
0x13ee822e5d2bb509f85da118fb132e156e29c563,127.5
0xb9f831f19f94f09709cf75c757e5bd7a9a812819,170
0xad0b0585c79a83091e6f6a9726c21e21286baa15,1874.25
0x83079fbab34d68d2970e4e66225012b19d407977,340
0x21047cb23309603d1d39f72247513958453c76bc,170
0x999eaa01cb8c0f468bf1288370752900645e538f,24.65
0x774e2f5c083830e9b6c56fd10396e8b5f8bd5ebc,4.25
0x7fa992dda178b01701048c302273b484a4b4cb3d,170
0x6a58287992b072544a474174e68a2512bfd14751,3.4
0x2f2bf91b3e93d8fa7cc84be799c5b30f8dd014ac,123.25
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,170
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,138.55
0xfac4f8bc040c0349e7b65c9175580aea85406d4a,127.5
