address,amount
0x5e6616c3411d7674cf5f8e79650c44c4672d0b8c,138.55
0x9d0d8ad24f15dbc60368254e8d512e872f6f5014,1275
0x367c19613790c1d0174c20cdf5bf7a7adc9820c8,463.25
0x28f85e4d52979103e6d9dabd25cbe0bf54c1234f,37.4
0xb8267bc0f0fc9f149801ad7df057ba9ce0fb713e,1.7
0xd08f451b3442f2e106ad387d97b1183bd7afd431,1700
0x13d2a02530e987f68b9df14aacef417525547410,28.9
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,1.7
0x5863878063b862166b7bfe17dc3eb8a15852fb45,1227.4
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,2176
0x2b3d820cab9970dcadbbbb667e012b927608d17c,48.45
0x65db93f81e93838cee30e9d1ece095193be624e9,510
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,680
0x920e3013ea4ddc77d582159cca7d850701dee595,2550
0x3d238fa063bee0238cc0f102c9faed4d4571d36e,680
0x91707502a8dfdc523f7a6f2c218cc9a52777d5ad,680
0x522a57a9267b6a54dde2f9a89863304cd0391827,72.25
0x7a0adb8d368e44e0efaf479ee9c8d962816490b0,8.5
0xd236027b21c63c81ae6ae6d9507f1c8e192cd5e8,6.8
0xe922d1a69b8078332e526692a61c306d84eeb8fa,1.7
0x436b7fa4b94a3a24072bce97f92faee557005fa1,5.95
0xdc61e516d02204e27509fc8cbb135da2439a3967,29.75
0x63024c26854517257ff15e58c7b4cf5b4482b026,39.1
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,29.75
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,30.6
0x70b02d35d731bb8db768053e1f40c3036afdfaba,73.1
0xf12a6c891d413f87915657b9ae383bf0c2be0010,25.5
0x68eaec20871a7825539432f9447b9a341ee1d21b,3.4
0xd42441fb3e31a8235cb0b66bb4076022ea8391e5,11.9
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,188.7
0x10501fd47cc5f9733900b9de6beaa9e66c14ffe5,1700
0x9b488714b50e3881e00d8456656555826ecb098b,42.5
0x34ba228704864d4627b290edf32486d2da367fd1,18.7
0xfa2b2f7ca73fef1ab863c7fe236e522c081f8ff9,34
0x3e3bc6319c0cf1a830fa723604f991055f2a3850,8.5
0x740507eb37167b2615e4206116efaf03bcd529a2,1020
0x87309706791caeda53d108e7c4f62e26f613efc2,11.9
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,22.95
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,1.7
0xa5135394d563e323e83b5c1b097acdd7a053b40c,64.6
0x52332ec46bbd2d600dc00825583576b9483eaae9,38.25
0x28b460e553ce81ea5ea5407ece30bba3903af23d,122.4
0x27e12c5f1d315a75337190e23fc85d1590156d30,3.4
0x4691fb5560bdf4fe6292e72e1928c9116e2a574e,15.3
0x7323782438d68e885918c0f5d31cb26d148b8acd,680
0x2f92c213566c9f308ecec52cfc8224312106aab3,4254.25
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,731.85
0x4b0b415ea01924be143a22e60829195f984e1966,2776.1
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,8.5
0xb74bd596d01424e6c3b3697edecc1d5c09ec929a,1.7
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,1360
0x70c7629ff870badc799461427a0da2ff5be42b2c,14.45
0x3ae68f9cf0c789d42fa42b3fe93423cab3c342e4,42.5
0x048054f6e13bb29c6453a12337999faaf8ebd72f,1.7
0x213db7cc49efd2a183fea1ccb973ef5c66d54bcd,25.5
0x736cad48256680eb352c5e25d509c013375f0633,1.7
0xcd66d03a9a769599f22e811ac8cafc4ab08961ec,3.4
0xd894b25119f39aea58d786329619f0f564a99a5a,680
0x46c377168355daf22b0af21b7f4b45a5450983f9,850
0x10b81689c84823dd3a7fc4e0369f1a24cdbf7fd7,1.7
0x847dc0fe626150137b588fe0e3f889fa0bd2462c,42.5
0x6f1342bff21ac9111bff4ef9fd600a3a31f98aa8,102
0xb0f39fe7c3e21000ebabf5709127753cba670293,13.6
0x250f2176c24a2c979d51d6b89d7a440a88925c27,680
0xbf0c76ee0f726de3174dc40bc2fa39dc6260122e,705.5
0x2cbc78b7db97576674cc4e442d3f4d792b43a3a9,12.75
0xb955db051bf09a645c26730752e28f5e3776088f,6.8
0x4296afe4799f62f83ef00db325d4b18b0ac182bf,44.2
0x329f4435e0f22899b733756c71aa12c1004146b1,115.6
0xbfc2339444ed2f067968cc1b1429b38c2fc55fcd,850
0x066fb187404feee6ee7f6cde21697cea1a89ec23,51
0x3e6ce7a597a53bb9a15940d93c67f7405f49ae98,218.45
0x09f213953d92f865b949b3e39b9dcfae687d4966,85
0xd1661a288f25c52709336e641cebaab6f6123363,1700
