address,amount
0x5E6616C3411d7674Cf5F8E79650c44c4672D0B8c,106.5
0xC411161a8B24EDDC670A0064fAF2d88A64d73d91,319.5
0x2B3D820CaB9970dCaDbbBB667E012B927608D17C,324.5
0x6a12bcf76cEc6307cCEa6b97AceB9B8Eb34e4f5E,106.5
0xC6AB45541006D53D31E25b41c7d245c5Ad99BF71,784.8
0x7a0aDb8d368E44e0EFAF479Ee9c8d962816490B0,324.5
0x6647136A9b70B274B042e484846580343eBe8421,63.9
0x82A3529f832aCB41e51F27a0E9e109E42e243AA4,1083.4
0x590Cb961aff1c2FA489467e81AF2Bb08b802A402,426
0x21EA2c330f1FEeC12Aa8564793b3EBBbECecAa72,106.5
0xbADdc83e3c4d7CCFc1d7559696054aFeAa13D7C4,1194.4
0xCD2C3248E3ABa1948285a9e608e0BA2106bf1387,1493
0x0d0B7d8396AcA528D51A9aD85a5aE0E2903f1c94,426
0x7624CD50DcBC3Df045066aB578188a765324D61E,1194.4
0x9cDB491354086AB189Dbb17360C33970B7298d3f,213
0x066fb187404FEeE6EE7f6cde21697cea1A89ec23,42.6
0x2C2f838F0DAc3f4915F4A57f3cB63abcd806EE40,106.5
0x363c3116D796ED45871f2855111cAfA44788ba0B,106.5
0xdC67de8277d966bB26d8f5465006Ba7cbF7B52a1,213
0xe9237b25B212A9235b091dA148b40deaF4b7363c,42.6
0x5A62eAfa1E48374D30df1c1D030AC9B5D2bB3731,213
0xC2933176a9be2116721A2681e042111Ad22F8266,319.5
0x250027FeFEcBAA1d0a77D9a8ec934cbED9012690,63.9
0xDC922b6B33Ce36B02C44f3B09cf7EA6b613Ac939,319.5
0x5917444504Dc488b1C498533EF465f1bd8383022,63.9
0x8aE7AE32F0B4075265306917D22Fbb0eB053Ca8a,319.5
0xc23cB9B68FCf2017A98A028f2c451c9f45b95Db4,21.3
0x598B13Dc1d5FeeAC4Dd55d55aa8BBDEc23a2816E,63.9
0x91E65bD95Bc28DE865fDC4a33D99F18f43325dcb,1194.4
0x36D10badD98B60119c2c240ACa947535eF489c4F,106.5
0x7FD3Ada068eC8f213f6c7EFcD060b31EeBe4C3Cf,106.5
0xd025f432F3694C54036EED5C7D5B4a22210dF4fc,649
0xAD8EAE37db38b716be099fD74556E9C61C9699c9,426
0x2cb38b47164c74226da802e28ef40bd9c91086d6,127.8
0xb1520eF8a58CEa5EC7b88Dbe6E05E84477A291ff,1194.4
0xf871F1a8c4Dc66BeF60b02B1A848A131001f2134,63.9
0x104A020e542271002FF5FE14Ac21e71BF515A6b0,63.9
0xBB0868Dd2909b450612Cc2b64986BD868d018749,106.5
0xe9a6b65962eB32e021ce63212f174bFf1c925A1e,106.5
0xD3e4D8afe7b910Fd51C7Ae85e92cA75FA59BE605,298.6
0x37ef79efaeb515efc1fecca00d998ded73092141,426
0xd3FE56D107667781DcB58A881883172a03fb3b3c,42.6
0x10a181e6aa3fac77d2513b0948a535d979718f14,1791.6
0x461337d4F089ADF16455acb785415f6437da0c24,1186.5
0xBD250C4A15692118e017709b80Ddf5ed037899f6,532.5
0x769473FD0C9eBF1Ae68fE090FD07a926f1aca5Fb,63.9
0x9cbbC3a2D333ed26d5eDACDf737434A412375e85,6006.8
0x0Ba7a529FFc3a5fB6CB7900e6eB766030acD81db,597.2
0xcECCdE1c3E7517bc66fC9518B0E5E939520ddCD1,639
0xB9344FA4a0b21E572534c3E3c2923d9b39060ad8,1791.6
0x50db6F29C6A70aA6479E7ADFC4248d5DA900773e,973.5
0x460AfEA78A398F78476593D0bE4E95faD3795FbE,319.5
0xbDF0C6d0721428Da6ca74a1727C54122497Caf65,319.5
0x1539483142c4E960263d1c1dB9791bf17ed67A34,106.5
0xd84cD30cCEeA61e6D14D97BdAf22E0a8C55fcF1A,106.5
0xcE99E81912fee351b1058E822b1aA41745aa55F5,973.5
0x9CF659b042913C90A3Eee1374c9B6CA2Cf7C99FA,1404.5
0x06Dc0CBF44EED256C5975210095be703504a4541,213
0x988236e5A0a27c62124D131c2B8De67189532100,106.5
0xC38e638025e22A046c7FCe29e56F628906f9d040,1194.4
0x7049d10d42847397b0E52408F8F8c6C23f619b47,213
0x8B9B0d1Bc97c7b9101Af27150FA43268C109DAb1,42.6
