address,amount
0x5e6616c3411d7674cf5f8e79650c44c4672d0b8c,3672
0x49f356c16365dbdb9729993a2e9b2e84c379f668,947.75
0xe16628fa223a6c34e5190de9d11c649861436975,29.75
0xe2b4a562dbc8433124f9fdba191a1346f038144a,29.75
0x133ccc0078d467b5f92918f888f50b15b345de0a,29.75
0xe9422af02d562e92a275ac50d188ba7b789a0e84,29.75
0x6df77870086187a1af7bc7c666dcc4e4f57716c4,29.75
0x944150e796896bc2f2d96d16e0e197f72dbb6077,29.75
0xf7065f5fde571d296326aca303ebbd9ad3a13436,29.75
0x0472d7a590030584b4ba638398fb546810b39e37,29.75
0xa60cd48946b4e1d553ce668827a91499d23749f7,29.75
0x396107d5b59b53fdf8b6383513a7f6796a6db3bb,29.75
0xc37cb14050f66613cbe875d5d2ee5e7bb8120b22,29.75
0x13d2a02530e987f68b9df14aacef417525547410,510
0xe1cb2cbb2e01ce63d3e632d78a270a7336d9daf3,29.75
0xd533628282dc7cdc5a74fa6c5549bab2a6f8b081,29.75
0x94f6a09a0f848d9fb1acec90a4e7002d4b0e6e7d,29.75
0x52e7e4da7fa73f86305dfde3f90514cfc8dd6ec7,29.75
0x5863878063b862166b7bfe17dc3eb8a15852fb45,102
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,9996
0x2b3d820cab9970dcadbbbb667e012b927608d17c,2550
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,4109.75
0x28795768e675221c154ec38d37b21c0220aeaf64,29.75
0x546c55eea77624b1a9fd2cf4079b4bb053f67e9a,29.75
0x692af9853df5d7a8bb65a86dc42d977e51f5227d,29.75
0x88168f97f0a5c04a4a412ee97dc7b8e5e0d6fa26,29.75
0x0bbce858a43264efc48e155d0de7a35410006e8c,29.75
0x15ba6d9a409115aa07a3de3b97f88a071e7c6671,29.75
0x88f347a32667e6aeb1a19ae05b1a933686648349,29.75
0x8a80defe061f9f0aa4a0e7a3a23c7efdd5764616,29.75
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,6460
0x14ea0b11e5070cf21a7204351ac9426c042dbf5f,29.75
0x9100ec73f8f469e79f3870335d82ee4f8926f823,29.75
0xc53cbeb1e8a12e669928f4fe51591bb8e7671327,29.75
0xe433ec473e85ba742928a3d7f6ad61954a3dcb4e,29.75
0x1ca1ed8fbd471802b6332a2f1ea27ba33eb1c84f,29.75
0xa12fec75d2783aa5057731cd485e07e4445f96f0,29.75
0x7ebda53817c184d115b35789c8a9cf7b3a873b2b,29.75
0x3d238fa063bee0238cc0f102c9faed4d4571d36e,1700
0xcac1ed72655cb6543c66d1b0cc64123551c235e2,29.75
0x917de33385f72bfb72527898eb8dcca8cf9c3474,29.75
0x6f911c1040107a2fe8b74ec09005d6a677d789c9,29.75
0xf2390fa457e7ace70b87b3f2ea8e626bd3cb83a1,29.75
0xa9203de19148f1a8795fd8e420d48a625a20165b,29.75
0x668ddfbc129e5b6b51dc5f0e9dd71ae4d69db38a,29.75
0xb4577a4819f893c0a4020a10f87d134fcd6d8f35,29.75
0x4e97df850dab913f61de199277c1ce49f2370fce,29.75
0xff26b8cac275a6da63c0a4a97cfc0effa855d08f,29.75
0x961725911bdf4b436b0ac9af87c6bdc0434b28d6,29.75
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,335.75
0x522a57a9267b6a54dde2f9a89863304cd0391827,29.75
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,5100
0x1421bba806057800d64ca9f271b1eda006590169,29.75
0x8d7204b5f87e7650400da517140db6d43adc6ea1,29.75
0x5bc920e9e7ac4060763e32c92d43e68c667b039e,29.75
0xe07fb4244e605f3fe0e5dee921626458cc312601,29.75
0x0ba3e0bd8788b6466bc39f190db3c676d9f57a47,29.75
0x5c36a1db377446d32c29b07ebe578174156d316a,29.75
0x786668091f5b94335139ff1c869dab00df6d8275,29.75
0x8408bf11bc6612b0610622c0aa331e0c8ad29b5d,221
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,1564
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,2040
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,2477.75
0xb3a3598cf265f1bcec212ff901b22b1841f13fa0,29.75
0xce166c50ce6479287f057dd48082c8079a58a66d,29.75
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,10200
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,29.75
0x69276fada1552f650cd18bd9388287e22f16126c,29.75
