address,amount
0x10853887db3be4220c3e7515eed658128447364e,29.75
0xe563f098ec16ae380fe18b9bc52e9eaca38ec20f,29.75
0x68b4683475747e28a83596e94b58187d452099cf,11900
0xca64de1a0e940daebf538fc6739bb1f963940ffd,29.75
0x3237a6977879515a1bf54a265d32b8cdc3bbb8a8,29.75
0x19445b806190b4e0e6ae166efb2aa518c6076c82,29.75
0x406ab7cdb379a7008db1e750b9af7a4d9ee276ac,29.75
0x5146168abfc3497d0d1b4e65ea07dedfc96071fd,204
0x74fb60cde349bc5a5cf4b170496cdf9150ae414c,29.75
0x1957a588bbe2ca4503d6a1de05493b249d758dd5,29.75
0x7354cdd12c64d4f87a3377f79ebc02f637415dd3,29.75
0x709c44bc0f6221ba1759dd4a5255f0aa81e45f79,29.75
0x317373533b0f9333b21a5d77e662e1fe584d9a55,29.75
0x4ed3eb23846b3b2f7acb3b40a83e635a677d0e3b,29.75
0x78f6286ad8405c4251d404245a080df0b63ddbea,3366
0x2182d6a128e4bf158a031adc069ea15e96f221a3,29.75
0x7ac45d6e84625b356e83a6372298eec08bb3413e,29.75
0x03a09b6f17f932c424dae139f0f91a67f0c130c0,29.75
0xa26b500097f6ffd6d28966e33526b2aeafce1bfc,29.75
0x11597148b01bef632610893a7cac6609610698f2,29.75
0x52756eed0575b74bf995c4556593a6803bf87bfe,29.75
0xcae3832dd39a2cfec3a5a51108c6f3d0f2aeb180,29.75
0xc9e4c706e620d28bdb801521cab011c3b53288b2,29.75
0x0cb820aa9d387d4c36f61aad8383f27458699e9e,29.75
0xaa9310941a419c97c1e4c96ab22c5bd813f310b7,29.75
0x441408153ff3ad8d1860dc6bb65b6e0f98ec4d66,29.75
0x0359534c197bf3f724ed637a10321231a110f0df,29.75
0x227162b13a13a03e2a66f6925afe2f264e6586e6,29.75
0x0cd2581c6449062c8f33cde1679edc542cd8e710,29.75
0xa9e5b531005dc415c855fe3a246e868c329f2642,29.75
0x663e6c279b08141abe1e4c0f1f068274a96f4afa,29.75
0x097a61ef86d1d2fa3aa87d201cc03c7bc2c7c9ce,29.75
0xcf6ec82d7bca333b2c4a1a34af99ffcb6c98c364,29.75
0x152ad66f27959161e1df855f027f19f0dc35c57f,29.75
0xc4a554fc66ab22d7c93e28964f935cbfbe0e647d,29.75
0x7e9a52ce382be2fc505fb3a59ef183c176a4314d,29.75
0x35f2ca6f517ea189b0aa7567347d16130b401c8f,29.75
0x7cd9b4f0b077b21b4202a9fb65251af05415dd04,29.75
0xdb09e787482eb43f061a6c4c9736cae46e8ab464,29.75
0x7b0a9533deb3c8c589033cec5bd709d3e1699ab9,29.75
0xb254f7ffcb7905bb052f3d4edaf4edb934d19067,29.75
0xca98ab7c830463a271aab7d482a0b5f80b0a7741,29.75
0x56df2b6c671968bca5d43ce802a40da589c842cc,29.75
0xb7bdebad5afa6d7338a0c4e5e984bcfd09a7c369,29.75
0x20a21fb667b1d528adc3782991b1a9149b301db6,29.75
0x19381ba43da218677f315ca9700600f7270ca3a1,29.75
0xb3f22cfdc5ef1ecd55c9469e783435da53a54e9e,29.75
0xdb0fe203f8673b90da108483e7bbdcca46680127,29.75
0xabc29af5af393b1b986ba6067bd853aef51fad12,29.75
0xfe946077e1bea5da65b2fc7feb323ed4b535f020,29.75
0x0a3d2850d0ce446cf70597eef3aeedd4f9535d65,29.75
0x73492b3900ec1beae572d8bc8106d15474158cad,29.75
0x8314051938defb9d45bb01f138633195c53018ac,29.75
0xf8072e74770ed42197acb324a456059dc398c2b8,29.75
0xa03d1a7b06a3cd12cc6931aab237b3478267bc3c,29.75
0xcae7f2f6c7baa2e77c3412cad020783b599855d7,29.75
0x0a05c47e3c5039861716d265d6964cee3da55c5f,29.75
0xa73b9d60354b05e7b185abc9278e9915307f9337,29.75
0x6b1ea46f7ac201e7a4770cf73218f98e2f117fa8,29.75
0xe7a9663734153876e2e2ebe6934340d8514bedd9,29.75
0x278e7f486f660813a458388551a61b847095379a,29.75
0x3c8cba4907bcc9eef7d66c96c91eb6884a8f2f0d,29.75
0x3921466ef98f19c3b5c0bbd4a42776f1db40686b,29.75
0x9c37d1b6e6fa05d185b0e1d74ea803825e9bc94c,29.75
0x4667c4d12c15d5bede32fd317b2cd09a00a9f34e,29.75
0xf35d82d1efe68c09d6d32c5a674219cc8fe92b85,29.75
0x2622fd3016d0b3311a9d65961e6f864a34794735,29.75
0x04a62373d997d7884994301707d59e6385307af3,29.75
0x6ac006ffd9d36225010c40815b7a939d9910df62,29.75
0x4e4b4b9a316f6519c46539addb607925360eed02,29.75
0x87b926dc8e5782c54cdef1a9e9f39ae5d53de95b,29.75
0x667c5def22003b28fd1f172097e7ebbae4080753,2273.75
0x6438a354294627ce3abaf3aed80bae0b275fc8da,29.75
0x56299afc9e77e7fe6e2187f10b8e66e6d5d74b28,29.75
0xbefabf47b48083edf63bbf7fe7d572a61382bb53,29.75
0x6df5750c18e72f453a1d008073c62d8f30121904,29.75
0x82201663b3c1e3b92a78a192db24fec1bc717d06,29.75
0x52b2bf9935cc58547902a8ef6decce3e570b3ac5,29.75
0x63d7194340d67b015f0b9e1d66f840fc7d56572b,29.75
0xec02f5d7184adc6729da7a320d580e1f9ac33427,29.75
0x364eb02067e0ac5f7f698dd72a47a316049aca1c,29.75
0x58f96ce97ab3484711cf28f5aa4e54c5d85cc65e,29.75
0xe6d4770dc7946b48f4e12071aa7bdd99396a5dc7,29.75
0x3adacf00e7904eabfa1cf817860c7ff3e8c78444,29.75
0x9f41822fc7f4ad166c6875668927d18a084884f0,29.75
0x41fd99d0b2de11fe9a2c7ce6baaf6e8d8e57bea7,29.75
0x6714e1c968998d79ad76005d594b5018f5087117,29.75
0x4e470bedfb9543d67ca40da62795a6179a375595,816
0x77faa42b6bd16eb99a7321a4d2baf4e5bf55d2ce,29.75
0x0bafb03af4bfd7ed69e03ac3c28bcbb7f29f90d8,29.75
0xc4f2003666d269d85935aab2bffaca257770e640,29.75
0x4e7dfead8b9d4f9f670618ff451fe16be1303d55,29.75
0xbeb634256aecc73d47c27e4f5353d4b8be17a63a,29.75
0x024fd37531e23de060a804f549193ee88b090051,29.75
0xe1087568cf19145047fba64ba5112e054dc8df4a,29.75
0x675742cb12fabf33356f0cb9cfc69de80a129002,29.75
0x7d7600b4d49c96c8c7789c7ae47226eb1f9d8ac9,29.75
0xc04b56decdfa15105b5143a86dbcbe41d6b1a255,29.75
0x235479d2caf24fd8cf1c1d582e93d5416a41d453,29.75
0xbe3c61ae313e4139f9cac3ba2b84e1f1d15d1c09,29.75
