address,amount
0x13d2a02530e987f68b9df14aacef417525547410,292.60
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,7.60
0x7678b2401073f5e8f911cd4dfb2f09ff3f40b26b,170.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,102.60
0x52faa46ef2b180bb63558270f556284a5c8eeb5e,510.00
0x60f6d449f05d5f54471c90a5331345ca2d0c9ba9,170.00
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,261.80
0x0b33725a9ab440aece0a4c9cc3113fefbc332b5e,91.80
0xa5135394d563e323e83b5c1b097acdd7a053b40c,7.60
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,6.80
0xe49a11227c25cb5537138a90adb0415badfeacf8,3.40
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,95.00
0xca768c2323c7d04cb2afe8e1c9d602341508013a,6.80
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,577.60
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,6.80
0x42962a2ed76d952ddf11ad6bcfe0006e491c7ce7,862.60
0x818c39aaeee8e7e719921829508e033ddd01b3aa,7.60
0xa30ff788ebac2878dc36ec379e55deb02c44049a,6.80
0xdd8804e408a21dc344e2a480dd207dea38f325ce,862.60
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,6.80
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,340.00
0xe07673f8c895348fbde720dbea0a967eb1c72f60,261.80
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,95.00
0x334f03ebaa3b292b4caba803f10e515c5165725b,176.80
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,102.60
0xa27150be5bdd61ca992b3f5aaa4ee492c3960d63,6.80
0x42c975ddc7d7e9757f246ddae552f63a5b4429f7,176.80
0xa9740c509f10bdb4908507345cace1288875a7de,261.80
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,91.80
0xfb5959e3f9401033273ce1009099df6f0f972030,95.00
0xbb10a17ff7f0c245a4d18bd8ab78e15ab74f7f33,170.00
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,91.80
0x66515b1cea61a77104ef9046b6ea9acdca82285a,3.40
0xceedcebc8b17c641dcc5eabfbc9b53a1b2718265,346.80
0x00a9b763ff87ae5e9c6312779456144a06f6200f,176.80
0x14c0dc34f212a5a62e5a653d4edcc53b54b798b1,170.00
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,91.80
0x1330355f5181e5a865b35063427648a5aba9096e,170.00
0xc202a9c0443f160c02b66fc416277ba490b91978,6.80
0x1f235a06d30d30f59a17fb0244937158e9ed721e,595.00
0xf71754daaaf2d74291362a101cc0ff5b53bfaedc,680.00
0x79a7e791336b85d449c5013c9a06582804c47a55,85.00
0x9fe977dd0309cb30920a77c9a6d5f7b8a4b0a293,10.20
0x64edf4228e9aae1d3e9bfa9ea3a92a59c8f487bb,85.00
0x68a4cd0f8e9134951109355dd5481cb9c1012aa9,765.00
0x504fd9c664e2bb6cce9358d6174a5108dfa938e6,6.80
0xbb088b60f8acbd24051cd982584e3af06b58596b,6.80
0xc6109bc6a0d71e5c68d716759cc2fe1828e1fa6d,6.80
0x5025d03f23fc23c5f0f7dce1c5554b88a4706a05,6.80
0xe4fa6ced47bb2a8df5f63b0787538f088b4fd74f,6.80
0xa5442966da959820058b0c1952b0b5746b65d318,771.80
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,3.80
0xb989d5b95a4434b77388ea944427ec82adef319a,85.00
0xdb4060eb68c34fd085e3280fcab3da18d1a188dc,6.80
0x0d40fb7648ec5c04a3ea834ff7a010db062eeb93,17.00
0xbb9206be2ced850b7bb0632097ec7a82e246bf88,3.40
0x635fcfcf8ccb8099ca6e3a4d57692c2000043bb5,85.00
0xedcaa27960bd503ef68651c32922a567e87a3607,6.80
0x4c14dcabefc61333ff4ddac6a9d1edd87f163ab1,6.80
0x92ec8341987e57b5cf3b4d936764fe989d87bf0d,3.40
0x821101f0704cedf3a32194fddd1a9c401495d59b,957.60
0x8a15e42672c1161479939ec6c1299ab1e481055f,6.80
0x89f499dd5ecaf11201fd7ffabec1a4b0a2bcb99f,170.00
0x9306516710d956c068f98fcd3b54a54881fe2770,765.00
0xae2cc9bb80b8690bb09dffab17e02225127159d0,85.00
0xb6a101a1a827141deb9090c2fae24d62a8acc6c1,292.60
0x01fa44972f6b62ce546eb13fc753618a825d69d9,765.00
0xc6a265dfde65d5cab98375e75c5881354cd6566f,95.00
0x9c8c245c97b24cfd456896f9058bee64dd36661f,3.40
0x5293d6b249168223e141dfa71d43c84bd0653095,170.00
0x8332fe6a995c816f009523a34a0854959779dc29,3.80
0x0e8002b1e3e9a77cec5198b53eb7d5d2384b87f3,6.80
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,102.60
0x01c4d8979d929b91c6f5c528983fc36a794ae926,3.40
