address,amount
0x5547e93858325b7f1635187246761df3fb7c5ca6,500
0x13d2a02530e987f68b9df14aacef417525547410,1500
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,1000
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,500
0x1e816d953862e614fdf7e86220c34fb30a3ebd34,500
0xc6ab45541006d53d31e25b41c7d245c5ad99bf71,5500
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,500
0x8408bf11bc6612b0610622c0aa331e0c8ad29b5d,1000
0x70b02d35d731bb8db768053e1f40c3036afdfaba,500
0x6647136a9b70b274b042e484846580343ebe8421,1000
0x332bf9a3cfe7d67da15cc774e69697b71d01fa66,500
0x9fd6e064b03612ab4f33306e85ecb15334befe0f,500
0x69276fada1552f650cd18bd9388287e22f16126c,500
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,16000
0x3cfb2644b45209db81266db891792765e292ee6f,1500
0x590cb961aff1c2fa489467e81af2bb08b802a402,1000
0x52d0fc347560cc997f87984200f4a9344ecdc597,500
0xfa65e65a6321c37486972d71b3f50400bd43f974,500
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,500
0xfc9eeec3dbbc94255e527b48c5f8ba774ce77829,1000
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,500
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,500
0x2d812f34b6a421e9ac8fb75b5132fba9db65351c,500
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,1000
0xdd6f6b8fcf31ad777d4546e8940daa22c14a64f1,500
0x8062e69af89430d0749697cede9614cda80325e0,500
0x1d9df24553dde4c8fc0baa59d96d6b036dee7bbf,500
0x615d5ba85aa09c408501e1519bf18a0e72092c86,1000
0x1bc9b2bd6073b65ed19a49eef8f4ec50bd584b87,500
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,6500
0x4296afe4799f62f83ef00db325d4b18b0ac182bf,500
0x066fb187404feee6ee7f6cde21697cea1a89ec23,1000
0x4124942b468473552c44011655bb4fa8ab5e9840,500
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,1500
0xdd22d108a7d270da13aa1565faef5104128fe78e,500
0x363c3116d796ed45871f2855111cafa44788ba0b,1000
0xaa4e9ca01011ea77a70560633dc8a10b147367ca,500
0x3e9ef23b559812ad9613015d2e54180fa31192e8,500
0x679ab85568de50d8ce71d7fd4c327ad8625e3d5c,500
0x0a39baaa338f9f1f5f5b4e52f82095d0dd7c94d8,5000
0x75fb57291d1c90398ed85d37de829f06aacc7587,500
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,1000
0xc2933176a9be2116721a2681e042111ad22f8266,1000
0x82ca3ab63205b404d6a4116e9c2875814e6b0d9f,500
0x04e5f00835eacecba7a183d98c84626def54091b,500
0xb870f75ecef5dc08da432dde71c4691617f3d7ba,500
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,500
0x7b370171964beb5a97dd8a24bf35e46287daaef2,500
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,1000
0x698c5668434ac2c24fe9ab5470fb904cc308d5d6,500
0x737e5f0fbbafa9b98eb0251e9293c51221bb97c7,1500
0x5b7577ce90d39935204ec030909c2c0f8e19b866,500
0xd78576e1f671d1add3545b7ccf85f808a03a34de,500
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,1000
0x11975e743c096eb71abc425c8fffd65509b36fda,500
0xced952e0dbecef7e0b75713e9872de76b93f098f,500
0x4728dd8de712536fa82d9662972697b20c7e7fe1,500
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,1000
0xc5a6307cb75ea31dff6ee6a0feba91b78ad11cbc,1000
0xebc69508b0ff631852e64c42ec21c1095d9ae1af,1500
0x5769cb1ed566d63530c10637db1f2f5c8017c982,1500
0x8c9fb695c3336ed9507d738d7b229c34c29a84ff,500
0xf15d7a48df5395eba4b274124b50b34d57b96d3e,1000
0xeae66818cc2d0e09b1bb557121aed10d635f3013,500
0x85488513dcc04565b30e711bbb876f9ef9152e82,500
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,500
0x48d2b77582a04690581e22a8eaa6c02fe5c27676,500
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,500
0x1d968cc846cf4736689fcb9b527900d199f302d2,500
0x549b9489ca6146e4143b069ea6292905d411e325,5000
0x36d10badd98b60119c2c240aca947535ef489c4f,500
0xa833ca78fea03d05e57e2e1bd449fb1f5c4893c6,1000
0x8146b3fc673aad5ccb89aae1dc3368208b972b6f,500
0xa8eb1c849a558dd5a1f1e3229f6bd045c40cb156,5000
0x005c1ed2e9512a07bc83e0122c86d599f2384b8d,500
0x902a559e7512a541b5137f447dd7a43857c40695,500
0x2d60a5714fca4aee015478b5d3774843b415377c,500
0x61baf136e34d80b48eec37e17066846cb485c3f4,500
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,1000
0x6824761cfc26ede8c56f56521d61b8b566b3de5b,500
0x9a847c460b33608db0757dc1f2e4aee23ace8d77,500
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,500
0xad8eae37db38b716be099fd74556e9c61c9699c9,500
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,1000
0x893aacacaef1cb4e14e7f27eb7bdf2299569a6ef,6000
0xa58b3210b6f9626dfedb9ea232e8efc965873559,500
0x04f470507fedee5f2f2889982e5a2f81c9a63746,500
0x4fda2569ea0ef094b3a43ef553a8e1c3c1a15252,500
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,500
0x538d2ed7a8a8dea15f025edf28e806ff485a8ddb,1500
0xa8e29e32c57ec9288a8501814fea4c45a85d285d,500
0x53651887259a01dd92381c9a2963696392ba0ddf,500
0x6081172243ba9bbe33b88aae1a46a0ef2305a044,1000
0x113d4e608475b910b4e87feef51741fbd75176b0,500
0x37ef79efaeb515efc1fecca00d998ded73092141,500
0xc84c12e1fe81e9eec0d777899eb2a74b0a884587,500
0x54299e19477d005c907a363ee08e878b2a41d7d1,500
0x7eebe2b7966616d52d7777057b16360960d2e220,1500
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,500
0x1724c35003d1edebd6633be3ad61e9984096e70d,500
0x76dd2f01e1629fb3624f1c32954daae0fcdd46a1,500
0x372c4d929939fe133b98ed9f56533eac7c73014f,10000
0x9cbbc3a2d333ed26d5edacdf737434a412375e85,500
0xe09319ceb0c8cf2029e27f85e1bcb1159c63af8e,500
0x6c295f32199e975b2094501f611c23c9a19ce80c,500
0xe35bcdd3984d62520f30141bd5f436a0e8b26c4d,500
0x5c575cf420bf729588cc757c79023b2d4579c1de,5000
0x4fa5f41c3d90527cec19a6b3bb2084afb885baf1,10000
0x0a9e0c347917ec9c2722718b69b1f30279721453,500
0x76e059c6ff6bf9fffd5f33afdf4ab2fd511c9df4,500
0xceccde1c3e7517bc66fc9518b0e5e939520ddcd1,500
0x12e2498e0e81d4a3033003ece4cd0c5b1b7d736e,500
0x02b6730e308ac1a94c817f40abba901414b84386,500
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,1000
0x757ad4530ce9807941660d9e9897d42b86334900,500
0x6bc951bea388b9f305b957b4febc0f960812fac9,1000
0x5456d6e910383740a7a83869e548d300c1de82e7,1000
0x8e4be781da50b8586bbd5e2097347028df83c0eb,500
0xc04df29424ee49395e962858eb0babd29b2c14e9,500
0xc5eda879df93e0dbe671b1e4db8f503def7ba06c,1000
0xe7b7f5622c00fe6856b618f693c8eee261e7fa9f,500
0x33f6a722e3dfd7de8fda5b93fa6a3078f0b926cc,500
0xa12fbfc4e85f658cf4f2674c81b497e9213a9217,1000
0x6edd48a255aeec62fa83c3d0922cc90ab9c46d7d,1000
0x261ba726668e15b002271ed672548ef1b9dd96ee,500
0x37dbeaf8a6732af9a690bad1984113b0d5e08a92,500
0xb2c1ff61e775a048774a365cb6a43a514bc3ccb1,500
0x7049d10d42847397b0e52408f8f8c6c23f619b47,500
