address,amount
0xccb754f1a659ed518d55b708750d71fd72edd37b,500
0x0865ba3077e4a97db8e0ddfc31d3b7d4c428bf31,1000
0xbf3ba12109f47b1e4c1bfa822b479361c07f918a,500
0xc3c90e9ffc85041e8617a783f737a3466a18f639,500
0x9c1a0021aaa7f7d97709bf9ce6f1631e904eb9fe,500
0x1d284616f4f6d1f35c0f6db11252529077ade937,5000
0xfb7dc25626f7fd4dc61a0ea928e8e9fa40279aa4,500
0x8d0395a7089808b3f9a9bd080eea66deadbc9c99,500
0xdb630687349206932e066b4c9df15c6542add5ac,500
0x2a9b6f644b4632f4055129ae062ac6bf4a739795,500
0x27da4777b9a62598a973c5c4d593accac31718ab,500
0x02cda77cb40f086ced255786a3e589a2ddd8f620,500
0x51b4db24a408d021c8d0f21612a26c61db434d49,1500
0xdedb8b3a8a89c7a8b5057bddb6ced46f1ccba669,500
0xf2a51390e486956265466d4080a88c9bc38314eb,1000
0x9dd55bb2b6869f14e6c8fd40463ff0b8f8fa5a19,1000
0x5bd5d826e4275a2180e8c5fa3c80a66ca461a375,500
0x775ba1603f538f462a287c19efb77b9a616499e5,500
0x19bdd4def406ba1cb69da24a6a166fa9cfba126d,500
0x7e4a27655ec27b3f764e54226b326e08e8924a94,500
0xbe996e9cd5886add200861f4b57ae955a6a47636,1000
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,15495
