address,amount
0x768a1ef21af0377871b5ec451d3c86cf8891e35b,2
0x208A25b802f76Be54dC01d1D42Cd3f78fA217182,2
0x7078943ba34c0064f8E7EA40c368520E002a4575,194
0x6f6B9A91a78C2e23eA086e45a53111FfA61195aD,2
0x09B97e045Bb76BF33525DCBebFC401745eA9e020,30
0x5547e93858325b7F1635187246761Df3FB7c5cA6,138
0xAA6d995fE028FAE955133B7416fb8Ba22C8e6018,2
0x06001c77A65B861249D4d6A2BFCEa6Dc8325376C,384
0x2B3D820CaB9970dCaDbbBB667E012B927608D17C,7
0x5C10C47B2D848e06a5DffA45B3bc10860797cDAd,266
0x522A57A9267b6A54ddE2f9a89863304CD0391827,80
0x4F0b06Adf758B8022Ff80dCbEAa5523205fD690E,2
0x4fb6d8b172D0DFDeF0Dae56552045617456B2184,2
0xB7892cE888BF14f3259b0d9627aBe7FFEA158c7E,2
0xD236027b21c63c81Ae6Ae6D9507F1c8e192CD5e8,2
0x32B1Dc6A72eb673c539cEA9d0C029D92a6344D7a,55
0xDc61E516D02204e27509fC8Cbb135DA2439a3967,5
0x0cb434a1C66201928c8433074465837116d3be96,80
0xa981E5dA41492aFA1A22151ab19789C310cDAe21,5
0x70b02D35D731bb8Db768053E1F40c3036aFDFABa,106
0x147b58481d047d17dc774be993e70d2b6538dc63,7
0x332Bf9A3CFe7D67DA15Cc774E69697B71D01Fa66,2
0xeCd54bE30CDa9ca1F2DBd18E1ffB2331cD534e92,8
0x10F76BAD283b4f2638d9c688Abac220BfeCF4121,24
0x9fd6e064b03612ab4f33306e85ecb15334befe0f,8
0x69276Fada1552f650Cd18BD9388287E22f16126c,127
0x82A3529f832aCB41e51F27a0E9e109E42e243AA4,468
0xb4c91aB467C137E9D7C18e2a349b2F8555e95754,7
0x74389Bca806Df4276C0f1927fDA45154E4556922,53
0x590Cb961aff1c2FA489467e81AF2Bb08b802A402,100
0xD61EAC6eBC46C514050e2B957eCd9e020d9D3d5A,2
0x52d0Fc347560cC997f87984200F4a9344eCDC597,2
0xFA65e65a6321c37486972d71B3f50400bd43F974,2
0x740507eb37167b2615E4206116eFaF03bcD529A2,80
0x70912D44a60D099ECac3Ea568aEeB1dDCa2BA3A5,80
0x7c5DccAEE1e2f103585acfBF72dE8E19592c091C,42
0xFa1518304a7a6b86ffb3965C6a7e943F42Ad493B,2
0x52332eC46bbd2d600dc00825583576b9483EaaE9,5
0x087E1EA3Cc208DF6C72f727A015a18255E45927b,12
0xE5617bCd10eaA78ABB308920Fa97e3814484ca19,2
0x28B460E553cE81eA5ea5407eCe30bBA3903Af23d,270
0x9586aB7091C215E843B7860fD196299231185C80,38
0xF527E4fc7D90Dd8266d980D9ACc8B3F0d712911a,296
0x7323782438d68e885918c0f5D31Cb26d148B8ACd,80
0xd6B7031aEB8D0b0E75EF542871a27F49D4471Cc0,42
0x3ba654f6324b972ca042d785eb66997355411785,105
