address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,7636.4
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,12747.45
0xbbb5c971fa8debb9d0e1d1f0181bcd35a3187fed,2550
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,26752.05
0x13d2a02530e987f68b9df14aacef417525547410,16147.45
0x99840482cbaee5da4a707993fbf0c3aa75afd1ac,19091
0x2b3d820cab9970dcadbbbb667e012b927608d17c,3825
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,12747.45
0xbf5b608d7f98bd924e69462ffa722667dc23398b,12747.45
0xea5f4e97373eea3386025804630d04316011e814,2550
0x57703925eb53638e7860dbf524bf86e99549a971,2550
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,2550
0x5999f61c2c7d26811b5f019cde0831e98c6a61f2,2550
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,36495.6
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,2550
0xe7a97a841876c9ec8c38fee297680aacefd121a2,2550
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,2550
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,2550
0x62240ed3da5a4eaf22d1ae84472634f247474551,3400
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,2550
0x4145a5fd4943868f16697585f45b02deb740f2cc,2850
0x522a57a9267b6a54dde2f9a89863304cd0391827,19091
0xa885c5ced05658736659a7e525dce52975a8d62b,28020.25
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,2550
0xeb56dc6d1fd14172b38a777cba01302018585fc7,2550
0x1744b94fcc98f514dcf242e7b03a719aa162e246,2550
0x9964a001f3fd643d51244f305f425d2f85e6d06b,34388.45
0xdc61e516d02204e27509fc8cbb135da2439a3967,2550
0x909c592080a8ee273f5c6648d874e78c7ea94a56,19012.8
0x69af2bf7eabb13a3012b4132f9ef09af4b9c9a09,2550
0x8ce09fbb2439a63043c91b1e1bbdd31a47763b6f,16565.65
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,2550
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,2550
0xfcc2700209359d8a08ff267a1d34c4c21d80fe97,19091
0xc99115860ef1f43bfd4cc852a59fcb1110a1e9e1,12747.45
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,16147.45
0x7cab13dff89324aab2ef4ff47d2e51936793f9b5,6368.2
0x59297f10bad6919d66c7da787d0bcdc542575c17,50893.75
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,2550
0x4d4791e9dd3f58d767c3d4c43510a4ed0bab143c,2550
0x25631a17411d1cfd620e3ca58bcec0fb98e7ad7d,2550
0x83d363b18ef6472c2cc0f0829f81edf2260acbd3,2550
0x60c4c2a46979c6aa8d3b6a34a27f95516ef4e353,20383.85
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,12747.45
0x4d7831cc71f65ae6ddd1ba0e67749a4ced21b931,2550
0x17b03e181e425a7cfa30c8ae8925a7bad3a5dae5,2550
0xcca385be21b94fa1254c8b5d7045cc568a520586,12747.45
0xb14a8a00da10b45d81c589f591e7fcb4587e5e70,12747.45
0x17a6b7fc4d460a9533b38d4e91955702e6323998,2550
0xa5135394d563e323e83b5c1b097acdd7a053b40c,15297.45
0xe28c22318bc194a2c3b86e7e3fe40d8cd75a6b2c,2550
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,3818.2
0x52332ec46bbd2d600dc00825583576b9483eaae9,2975
0xa88ab9256b1f92b66f7c42b2e25cc39559d3cb14,12747.45
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,15297.45
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,19091
0x14456194ae93e6ee45b7bb69c46c32d7a4358faa,2550
0xc518b077ac4fd41bcd85c4564ab79db2f0d417ea,34388.45
0xd41baee497423d54204cb0e8f65ee581b513b153,2550
0xb65934bc345c5372d1dfddfc67b1206cf11bfbdd,2550
0x679eabf28e6189a153c85f358cb1df254e1c443d,2550
0x565ea2e063b2cf92a91ab08d40821435f268c3be,2550
0x549da7cd378d27c86f0e403de68a72eb39f4d760,1700
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,15297.45
0x11129c98a269742177141de456733e9f977f81d4,2550
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,2550
0x80166ef38a42a3c5d565778b5178eb4cc134db21,2550
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,3400
0xaeca2695c517750e4581a2b9481873ffbc16098e,2550
0xd894b25119f39aea58d786329619f0f564a99a5a,2550
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,28027.05
0x38c271c9fc3a0e244a752b25a31d93a63767d567,34388.45
0xad78de00f02940fa1bc52ee7356501cb3f12363d,3818.2
0x65e72cafafce1e0aac8f1d3f24a0e75bf629552b,2550
0xf811c7cda02d03012577d45d9cbfad4358d5390d,12747.45
0xd9d33197d42634c6b655975dd688681f4213aa4f,2550
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,20822.45
0x59c5c4b795e9db078c74bacc0fcad5cee75d1050,2550
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,14872.45
0xd60d90acd08d2343064d0828d4fdbd1a9391a19d,2550
0x2211deae839844f79d68b384b01fe03e40c5e655,3818.2
0xc813e4bda8b0582bab22957cc37cf712d6b5bef9,2550
0x09f213953d92f865b949b3e39b9dcfae687d4966,3400
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,12747.45
0xb4ff3f099274d726ea76642267fd217eeba8c0ec,12747.45
0x4abd7276c53279b3abfff2b5d8a47c0afc84833b,22909.2
0xde59dde7c5428ba29c7461338f4a6f45637c792d,21641
0x49fdba7584cdd272e4e98a714c86a90e46e062db,2550
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,50893.75
0xd938b623ba89ddb2e17d8c673ea48939ad7dd7de,34388.45
0x3ee8308b223040a8bd5f8d2c1845dce2e6042245,2550
0x04ffd5fc488d533525873ac42c08541d723d1df5,2550
0xb46ce02ba9bfc4da27da8a7e770b4ba616ce55e1,16565.65
0x4a735c710c34b2e55a3adf107947071228e84e66,7636.4
0xb512db75dc47bd45bfab223399d6a65010f24ba8,19091
0xe83d3a3ff1a84eee72d1db90b72137cee658193d,2550
0xdebdb6d731d9e4bc3aead5358ea09ffeea2fdba4,2550
0x5edffbf93e21ddd7bb8e6fed043e76d2f9d642a6,2550
0x45b28636023983b0fc2dfb76718b383939923ec5,2550
0xdd8804e408a21dc344e2a480dd207dea38f325ce,78902.95
0xbe8fd7bb491e74340722f46903c6b25b86cfbf38,2550
0x1b4d07c5388129ece609e69a701ae4007ec0d660,2550
0x5dca83ae634bf6a34e4e232928477cf25f6addb3,2550
0x7a52f357732da1265067120d3de0795be1ee1bc7,15297.45
0x3c96cf8efe0a1ffd23a369409c2ab53ed7673138,2550
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,3818.2
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,31838.45
0x3a20cf3ef8ac682ab077e7f4aefc10af6d0c3477,2550
0xda6064f99d76b75ad29d9d03251884ded8320f85,2550
0x8af76bcb6dddafc088c239eb118355feffcce0b2,7636.4
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,12747.45
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,53443.75
0x5d437063ab4d1f6014832dc17c5166bc8baeffb5,2550
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,29720.25
0x7a505d6b523212d6856abae4a13983eaee94d7b6,2550
0xa27a5c0ef8054c74bd754df940b2eac1e2bbc352,2550
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,12747.45
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,5950
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,5100
0x54725caa8a4933ad1ed1c6c69d4da557b8a3f9b1,2550
0xb302819e70180c339ced97de9fbbc7a1e71fcb96,12747.45
0x5b9d40e56a7b50e9ac8ce60fd029f9c7d9404e7f,9166.4
0x5c216d7f402b3f41eab91df35732c8994348536f,2550
0x334f03ebaa3b292b4caba803f10e515c5165725b,30559.2
0xcd4e2a95ef38a5f10bf66d512059778e8af8bc6f,2550
0x10716aaffd2097228c78fb8a7d844eabc85497f5,15297.45
0x2282ecc111b7acabe470053d4a09472bc07b8d00,15297.45
0x67d23446aff47ed9a0eac389cce3ef5f12102edb,2550
0x2479478c31a50de37fda3596f92ed557f28451a0,2550
0xc1893334f7364ae828d3a4a4eed721bf4de357de,2550
0x9c8da3f07c1e1364955f4fbdc6d09fd1a0025372,2550
0xe622688951c465b4bc09412a0adaf5c666beecd3,2550
0x5df6bb2615f8a9773334ce7602e622fbc7ddaba7,2550
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,12747.45
0xbb6b5c612b1715bdeae2a1931cc7fefbb4d02bf7,12747.45
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,12747.45
0xb200ac08b491345da6663441cbe1732cb6268bf7,2550
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,25041
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,12747.45
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,54293.75
0x85b0397e11a50673919c2fe04bab65db4353a165,2550
0xa0350d547d28f88e443fc835816d6a58a5199b2e,2550
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,12747.45
0xe0d5c6ddc8cd4a98879475a5a987c2f6e6eeb28c,2550
0x0e79c15e77dee37072d33ac73c0ca18d0949fbcf,2550
0x67b271e10dc48754863723981cc97afa3a034170,12747.45
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,12747.45
0xff14ce4c9e8e2b9c30abb7da622a793f8eccbec8,2550
0xe58563d421873ff6da17f4797c19e1ba62aac5e3,2550
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,2550
0xae1a1cdb13ec86506831531d9e52456b2c0eb625,2850
0xb257b8260a31c2cca3c37a086098804d8c9ce4c3,2550
0xa7d9ebbbd4726d5150cee21614f0da56a5851901,2550
0x83f12a8dbbf4886c97741c1de9e09f7a16d30a3a,2550
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,15297.45
0xd586faa55f787518b0feeff12788f40ca7d01f74,16147.45
0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,16565.65
0x797d13e3c2ec89caac0248f4a373b86eac8a8dd3,2550
0x7d92ba41abb9f200256e16ce4c14d58776cf20a7,2550
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,12747.45
0x3eb4b506a839b33a4e5d8719a4150e478083d550,2550
0x0829032ba968c222c9442d0d58ad00bc1611ea71,12747.45
0x9f77f69848852c1a2fc529d2663b05af30559ad3,15297.45
0x2760022ffcd35133962f0aaa71fbf1c5d58edf92,2550
0x42c975ddc7d7e9757f246ddae552f63a5b4429f7,1700
0xa9740c509f10bdb4908507345cace1288875a7de,12747.45
0x8c2b7026df4ea961ed3940bdb1c0182e1c1cf68a,2550
