address,amount
0x98f71f7596ba34e72520ebbcd469076d5f908892,47.50
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,237.50
0x2db838aa256edfd0c1d2e23981e112fee582f3ee,95.00
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,522.50
0x13d60d4fc6d62618e55ca53b8c781f6717309b3a,380.00
0xa71fa3312ec97ade31b0b652ce199762083fdc62,47.50
0x62f3b4d4e549a54d5afc59244cad9b332f0599d8,47.50
0x9440f8aaa7efc63bcd63408c54d1287aeb630af3,522.50
0x71123e62201060fc3155af4e4c752ac3659ddeca,47.50
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,95.00
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,332.50
0xccd134d0ea10a8a92657982567491b0b28288aaa,47.50
0xcd6ac4c8d7682648bf47b1ae097c01909562117a,47.50
0x54c4a1eab017e425fb863a92a1a99348d942fb31,142.50
0xadb3e19c3f1324abea86574c83fe6eab3b1e6937,855.00
0xe8c2f7302dd8dadf5a1ba9f4c28b5b10428fb7af,570.00
0x107bdb48ac4401be6cbbd7dca364d13184222bae,190.00
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,95.00
0x70b02d35d731bb8db768053e1f40c3036afdfaba,95.00
0x3ed13073d328b58feadf2e5ed172b8e647a76cdc,237.50
0xc4baa22875102821bd01f572d63679f5f1cd8046,617.50
0x4ea71d9b0a41ac87bed08ba19ff2e47a57cbec1a,285.00
0xbf58f6060b8df94406e411c4e7e55013209a4107,237.50
0x2a9e733575838f7a00aac55984bda1e51017ac92,47.50
0x11666c87a7fe20ea94899d098a1076626d35b0f6,237.50
0x5b53e45898514dd137bc1f6dfdadf8aaa4617700,95.00
0x66fc8a99fe0afd8e4d9855a797ba35bb8364fe72,47.50
0x54d89f44428a1beff3a1fca8d30cfcb6e653d5cd,237.50
0xc5e6b6734d1e174f7421c5c00a0c19f041b78ad7,237.50
0xb176679a445b2b219ae3fe2fea746b20175b4454,237.50
0xec1c3f1bdb43b2f7bc50e44c2f43f690e247bd31,237.50
0x9afa71e6e92fd97dea996848ff73f83e28b549cf,237.50
0xced9d737989f82902a2ad61b66575af23f7345ac,380.00
0xbd7d92a0f925ff1fdc21ab976fede4596123cf13,237.50
0xdc83f01a59f0dc37f1faf05dd21074b4f903eef2,285.00
0xeab9185d3967c140e3cc3021e658be3b26cc6403,237.50
0xeb27cdae9d8ecce6e9de60904f07bc693000f288,237.50
0x841a5ae28dfc214f51c3947b307a3e30d9e069e4,237.50
0x016420ff7f29fccdc2e64a4e75ece613b7af8c6e,237.50
0x83c3b20e7a813ee6361bba207bdcd4c929cab48a,237.50
0x5907a5575288cfb1289ca68ac2ff8d0c257e2019,237.50
0x83948b4d2248832a4b6587ef5e6e27d2e976b6ae,237.50
0xb90ce266b5c7cf58dfd27fb3322b250d1e105e87,237.50
0x58560fb9b526c476efaae44a0d76507cae262331,237.50
0x8ec67ef212e3a7a72df29a5dd1ddbc0dc1fe0175,237.50
0xe6c6c87a3c75bffb74dea8553ab2109090046634,237.50
0xb136a89e1c1acc7f64dbee295bdad22d8518463a,237.50
0x56327d37d34b294209a7ba10a181b677f61647ee,237.50
0x395c5e21c545afc3345b3a213a56e4b0afc7f55d,237.50
0xa4a8f4002ff5b23916a29ad0e1b5d6154d836507,95.00
0xf3e4dbba2ee3f638d95ad9c94a200af03d63e041,237.50
0x6824164eb64532e7bd1b4b8cd8ddd54d61f84823,237.50
0xf45a4d77b1e88433adc807c77d6e3e2dd0cd53f0,237.50
0x986a66797d1ab346da5f636b6f5628a09ba038a9,237.50
