address,amount
0x5547e93858325b7f1635187246761df3fb7c5ca6,250
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,1000
0x522a57a9267b6a54dde2f9a89863304cd0391827,260
0x6048e17fc093f9d6d5c559f8fa66ef7f4dacf692,200
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,500
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,10
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,125
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,10
0x048054f6e13bb29c6453a12337999faaf8ebd72f,50
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,125
0x2cbc78b7db97576674cc4e442d3f4d792b43a3a9,750
0x31acb68955d2e93a53c871711f115bce53f8cc33,460
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,250
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,100
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,250
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,250
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,285
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,100
0xeae66818cc2d0e09b1bb557121aed10d635f3013,10
0x85c3cced3e5841ef197796e8f505c4f59df46bdd,510
0x09c2daf764d124e4154c61d350cc9a5e841584db,315
0x37ef79efaeb515efc1fecca00d998ded73092141,500
0xef4491e9047c039eba2c82d1389e14a184352b78,50
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,10
0xd68561fab1e913e128edcfddac8b45337e0821a8,50
0x449f8c1e777c7fedc4f5fd26ed8ac515abd3f855,25
0xb380dd81c3abd4b570b29fe728f985266bee751c,50
0x2fba30393d3ce59a499ad9cb07e467541df5b0bd,500
0x573f19f34578611e621f1a83ae3555143f4d6522,75
0x8d3b03258b1cab72d278df51b0e6247134d45146,85
0x06dc0cbf44eed256c5975210095be703504a4541,785
0xc38e638025e22a046c7fce29e56f628906f9d040,250
0x972978353e8054e4cff24dd7348ea2b2ec768d55,25
0xf11a0235d927f4db2297c54d15c22af41f256eaa,500
0xe244a25f037b8ae19ae396f645f1aed3e47671d2,500
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,375
0x8308223f29964f5a76cc1bc920e93143c3332695,250
0x2dd2dec47ee395b4eb0049526362d58aebb7123b,20
0xcb3ebe7755fd33c277a6054c87b8df750aa0943b,250
0xb575f0b7989ff9c509d8b4f1fd3c5f4e5819501e,2000
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,500
0xc6a265dfde65d5cab98375e75c5881354cd6566f,125
0x7ea73c318bce1c3ceb55d4816504879fa6054c3b,10
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,130
0xae9fe253ba3a5b6a416e478e0cee7c4416d0c963,250
0x9c8cce14b054310420d042059028e2e90a381f22,50
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,750
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,250
0x167589bf67752ccb079151fac71504d8bf8ac196,50
0x712286536679e3ed8fdc79a0d96b5c8fbd5bb9d6,135
0xc1532b2b6067ec4f8a9008ebbdbaea4048f2f18c,50
0x336301d3b3e32d0cab3b4b5e23555a2f44b0b767,400
0xed17d4f0d0a75da9069af6ba5986b9203e655560,375
0x4e470bedfb9543d67ca40da62795a6179a375595,50
0x97eaf6fade0d06b5b55f7dd0b99246e9c2bbc77e,150
0xdd953824fc27ed9a6976ecaca2cf8ca917fd59ef,400
0xf49545d736a8bd0c2856c1d7f523f1c24b849acc,10
0xa325ac2d571e4b490bacf13264c285ed6da61a85,325
0x96024648d238eae9c600cbc071a420d722212299,50
0x6eeae31935f02d1be7fb9ed7f9d4f58d57c601a5,25
0x694f01944514e9d598ba5b8e636f8e02dd4b88c8,10
0xb1ac9db0d6a1ec291f427ad03fc3b632e1e93a56,250
0x028a82892600dd47c271f075560b30076380f7da,750
0x400e2b1817d020094d090feaff754fc49058b173,250
0xc19a0c710c1f57b930c82350d5a200a1c48f62de,570
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,125
0xc48c83b4b6ee992c2105438fd3681d9f098b19d3,60
0x772461ae4847ee00492910a20fa971b09b69844a,500
