Wallet,Reward
0x49f356c16365dbdb9729993a2e9b2e84c379f668,382.5
0x1fa432e456515e02492f2208649c33a9120e793b,2550
0x47785c5533f1009c7ae117fe488d5b3d2df6caf0,127.5
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,28.5
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,2626.5
0x96e95a1f40cf5a50178053740ade18046815362d,2550
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,2635
0x13d2a02530e987f68b9df14aacef417525547410,5880.5
0x1e4c331d8dc510622f997b55520d877349741256,425
0x5c3b0861041855054bbcb7ec17ab5f04b059734a,42.5
0x2b3d820cab9970dcadbbbb667e012b927608d17c,170
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,1995
0xc334cae02cd1cfa088f04fc74387c3c7d6fb6bfd,1785
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,2762.5
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,1827.5
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,7600
0x554c3689d9ff54b2fb53a00720e68816932f381b,4547.5
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,8032.5
0xa6311ddf73a94780e2b6bb5dfef516719877588c,25.5
0x522a57a9267b6a54dde2f9a89863304cd0391827,997.5
0xa885c5ced05658736659a7e525dce52975a8d62b,3493.5
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,790.5
0x50deacde18e4dff71956519ce426471cc35a6059,578
0x60f6d449f05d5f54471c90a5331345ca2d0c9ba9,1963.5
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,5151
0xdc61e516d02204e27509fc8cbb135da2439a3967,170
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,85
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,3187.5
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,25.5
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,127.5
0xb5158273888ea2372ca4b7206c7854e221045ece,255
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,170
0x290ddfe8b67d74d9e787cb2657222b1d61e3155a,85
0xc4baa22875102821bd01f572d63679f5f1cd8046,850
0x9cadc8955d21e0c52af38d67c482acde645d3a3a,25.5
0x13225fe0942ea23d62536dce84bd208fafdce10a,1105
0x590cb961aff1c2fa489467e81af2bb08b802a402,170
0xdf225f0720f23e3c2773915ad3182bfc5346a32e,850
0xcca385be21b94fa1254c8b5d7045cc568a520586,1140
0xa5135394d563e323e83b5c1b097acdd7a053b40c,1757.5
0x52332ec46bbd2d600dc00825583576b9483eaae9,170
0xa88ab9256b1f92b66f7c42b2e25cc39559d3cb14,595
0x038f6259a47b3870e1d9a156836e104117f32e04,42.5
0x18b701e6c2d3cb64025196716e4055ee09033bf8,1742.5
0x63a690a115833cc38451fbc8552d72cf8c5b0461,10200
0xd971ab1bc4396253bc89e0c53ff0c241e9d91f9c,42.5
0x28b460e553ce81ea5ea5407ece30bba3903af23d,950
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,994.5
0x8c582af92d80e7da919f02e2ace7e805d64206e0,76.5
0xbb25c8c400c16c4b7601f175c4b929a1309754d7,255
0x93cf58d7c486898da4538cb9058772d92d43b1aa,1187.5
0x00b6652630e49d741db460e2757bed6d97dd021c,297.5
0x048054f6e13bb29c6453a12337999faaf8ebd72f,950
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,5950
0x77671737074ec0371b814058773fe2a75acc495d,170
0x5373a040f376c26b44fd6950374a267d3600d14d,85
0x1647e39548ab5e36aa7749af7c4071b73d2326e4,255
