address,amount
0xa5135394d563e323e83b5c1b097acdd7a053b40c,0.85
0x43a81239a7dc180dec1ced577509c97081a3de26,0.85
0xd586faa55f787518b0feeff12788f40ca7d01f74,0.85
0x698e1fc4ab7bf6be565d6a2a15f6f0250f93d90c,1.7
0x4f4407a4c08d027c8a4fa272c614e1c1d81f891b,1.7
0xb2d1c6dede88695beab115afefa8e21425dda153,1.7
0xe7916da58516db5decd9580477a0fe902874c15c,1.7
0xf62bcc511a1d60f05905d982cb3847b5683156c7,1.7
0x130c5759d366d542f4b9a066c96d1d5099b5bbd0,1.7
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,1.7
0x7982d2337741a22a82f87a94c51fd2f0a0df3941,1.7
0xa5afa3b17e24f8f132a68721baf0a1a42146d87f,1.7
0xaa0386ff76cca1422f0a135a10f8815e95d250a7,1.7
0x6483ad0b99d6432620e1c226d1301d7aaefeebc9,1.7
0xa136e8f1e5a8e13cbec3d5d04ea494a86d6c257b,1.7
0xb7e0a5570599a71d033216cc1a43e7d843172ae8,1.7
0x711523c5fff943ddddab2e1ae03b857b7f832b4b,1.7
0x082e3127cdaa723486c5d095bb00c8fcca8bfdb3,1.7
0x0fbd9e7a2e297b284b64f0808d281cb6803c5352,1.7
0xb01cc67c905f620f66188e531bb1eefe53df9f6a,1.7
0x153421a5ec98702238c5baa8a18b4a53fc059d41,1.7
0xf58f7f1af2614d64103961e53ab6cd65e9fb87f6,1.7
0x8fb8ce9e6e48646a995a8eeb1248a15f206473ac,1.7
0xd7458cb7bc40abd3dd915416c971b33f311c5172,1.7
0x12b3f779d0293f94644a1f19daafd79500407ecd,1.7
0x46c21baddca835f4c6c51fd3a20eef2904f6836b,1.7
0xebb166e1e8c3b4e9c51e4463cbf5c59a5899dab8,1.7
0x2a1c8e196702991e5ca4d7a4bb8a0685ee1b38a8,1.7
0x670666d76f203b7f27bf3e2b11333fe812b7dca5,1.7
0x69e6e333331534ceeaf535418378a86904df0d86,1.7
0x2747165b3cd59e83f37c95213abeb47939f23d72,1.7
0x275f739cdd7dd41efba5ea481047ca952539ddac,1.7
0x5f646f31231020a0bd549e3b85f4d55c4831b0fd,1.7
0xa9aca0855999623af54989218aa1399a2925ce06,1.7
0xce3517eadb6286b78543c5d6cbd0cb22e232057f,1.7
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,1.7
0x0509e6b8d5b64fe634ba67604bdecfb6190522f7,1.7
0x8caa6cbfae0cd0a0bbaf8782ea4a619e181d487c,1.7
0xfcb265a4430d4a34ea144f8dbaccbdc55dbbbf04,1.7
0x3f5f357125743d593ea2177814f96ab167993729,1.7
0xa1e4ca1ff1ad59d7bd00ebf0598d4d6e36d20768,1.7
0x3e4b6c64430bdd00ca1b9863dab95140978e8105,1.7
