address,amount
0x615b0eef65886284025dabe36007d6ad27332a94,64.39
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,64.77
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,12.88
0x2b3d820cab9970dcadbbbb667e012b927608d17c,41.86
0x9cb4f96ea7e45348886ecdda29aa726c7c428f2b,12.88
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,32.20
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,12.88
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,82.77
0x7636a6e657b864f1c54b7c0e871af8bf9a24c602,64.39
0x554c3689d9ff54b2fb53a00720e68816932f381b,12.88
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,70.83
0x8add70979b2c63fa2d2dd50d84500d394ade7cf4,12.88
0xd3396d64f01d8c2b8c959863fb0319449566ef0c,12.88
0xed7715b7dd23daf166a272f1943bdfa94b5408ff,12.88
0xa885c5ced05658736659a7e525dce52975a8d62b,64.39
0xdc61e516d02204e27509fc8cbb135da2439a3967,6.44
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,38.64
0xb5158273888ea2372ca4b7206c7854e221045ece,12.88
0x06575fdc938114069e22c31e2125520b036a9a0f,64.39
0x9d01d80e8c591ee92e6a1e08a42afad0ad006598,32.20
0xc013fabac22932d1162aeacdc848819ccaf96896,64.39
0x05eb7d7e30b05264ee79fc9015e27216c4f06f34,64.39
0x410dac8cc6190fa3d15289a3fabfa70515d04923,16.10
0xced9d737989f82902a2ad61b66575af23f7345ac,41.86
0x52332ec46bbd2d600dc00825583576b9483eaae9,16.10
0x93cf58d7c486898da4538cb9058772d92d43b1aa,7.20
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,103.03
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,103.03
0xb066d4db3b9441a071c58855da76a479b288ef6a,12.88
0xd894b25119f39aea58d786329619f0f564a99a5a,115.15
0x2d0e55dc481612fc9b352fa09daac9f4f489e2fc,64.39
0x005da2bea4480501eaed4d902fbe390ad914a85d,12.88
0xbf0c76ee0f726de3174dc40bc2fa39dc6260122e,12.88
0xf34532b4f17e0ff4b3c1b814e92c061922804801,12.88
0x2211deae839844f79d68b384b01fe03e40c5e655,3.22
0x066fb187404feee6ee7f6cde21697cea1a89ec23,25.76
0x09f213953d92f865b949b3e39b9dcfae687d4966,50.38
0x02d84a866f6ad6f8db78617e16da76c401e59d37,38.64
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,45.08
0xa30ff788ebac2878dc36ec379e55deb02c44049a,16.10
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,6.44
0xbd85a830fa5381e2c80c276f5c258d2e9e59ad93,28.79
0xc2933176a9be2116721a2681e042111ad22f8266,45.08
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,12.88
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,70.83
0xe728d9911874adb8e6a56f35e23a3670671a3901,12.88
0x17218be4de40c4c10feb21f1ce456f7c88e58a5b,32.20
0x10716aaffd2097228c78fb8a7d844eabc85497f5,14.39
0x6c73cdf7b8a7dde89d1f3a71d4429285789017fa,64.39
0x2479478c31a50de37fda3596f92ed557f28451a0,16.10
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,154.55
0xbcd4e9e97ad3ffd9476a227562d90ffde4a1874e,32.20
0x09c5ec090a9ffe0e9d035725c233856b9cf9f568,12.88
0x3f657d19a7f269f70981d7797fd3865c47b66461,16.10
0xd3c33047c8913dd6179e355e054efed5db89a699,12.88
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,32.20
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,21.59
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,32.20
0x0672631416c0b35255058568251820c1d2a2951c,25.76
0x8745d9cce9bb24205405330a259eb5e15990a603,3.22
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,32.20
0xd586faa55f787518b0feeff12788f40ca7d01f74,32.20
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,57.95
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,12.88
0x1cc85e5ee3c566232f352c1dba885cafe4e9e015,141.67
0xd963dce967b6d32454c5c6f32c4cfb36d7413b82,12.88
0x5a398d52f412d97ac5852fa327ccd425737d3633,12.88
0x09285aca2d3deb15014c1913c6f92cffe7e231f7,16.10
0x8bccda800f9a9cf747dee7cdb286dd11ed44f149,12.88
0xa13a83fc3384d4c694168503541d268b4377931f,12.88
0xa9740c509f10bdb4908507345cace1288875a7de,16.10
0xc6888cdbfbfa620b4e078933415bdc5d59d2c9cf,57.95
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,64.39
0x5421c89863b7e1dd025fd190ff1ef5bd114b5103,12.88
0x2249c7eed5cf914d391916e2736774bfb5db4905,12.88
0xf2f0f4401805f8ad619d20ceb096f61149458abb,25.76
0xdedb6039f564d50f107d6c27794cd2c283e878d0,50.38
0xd5399174196c84c0b4ac6be0785781da80e1a941,12.88
0xe33dbd79e98d70ce847160222d96b10cd0c53f31,12.88
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,48.30
0xfb5959e3f9401033273ce1009099df6f0f972030,25.19
0x1c0e0b28f10a587419c8c80ba69290aa97845a2a,12.88
0xbb0868dd2909b450612cc2b64986bd868d018749,183.52
0x31ff43d8bde35e98510ab82ce0017f0f5ff2c271,74.05
0x7453703e9cf96532fbe1cc136c6776c5294f6f06,12.88
0x44c1626309417dbd6a81e91a212897b66f6202c9,16.10
0xe4a2829f4c688996233a933ced1940ba0701d17c,12.88
0x0b59ae45ce4a24c3cd643cb5100553c23e3463c6,167.42
0xd520d01a6d2820464d8b2a19f54011b05237d44a,32.20
0x797c7b11f619dfe9665b8e9f17f6666d3142f378,19.32
0xe9dd8b36c7d843e811601360b836bb73aced82cf,12.88
0x2002db5efdc6e30ac611bc0303a5b6e4a3cfb2cc,115.91
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,6.44
0xc8992a38320418c9e57438c4ce84a0be1eb17a54,12.88
0x2c25a6cd94fe71002ca711874a54e9becb786d10,16.10
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,32.20
0xf3955d548bebc69bb8776f3b650c1cf10de9ade2,17.99
0xc758397c40f8dc4dcc140141368353c8d8fd373c,12.88
0x2a376379b1c154dd8fd5847ec42099e8372d9eeb,12.88
0xc22018ec5e8a33a316f69b163cad9ee3c67488f5,12.88
0x8fb8ce9e6e48646a995a8eeb1248a15f206473ac,12.88
0xa7898f63f31d692d37982696a0c907023cbb8b81,12.88
0xe5ac17daa14b3677374e7ef69dec67faa5ca06df,12.88
0xbe11b5050bc3eaa5c4dbcc13d86d234f0d7636c5,12.88
0xb2d1c6dede88695beab115afefa8e21425dda153,12.88
0x89b1334dd6121af1d1cddb1a56f7dc6cc3873468,19.32
0x1c06843050ab821760fcb16576093c8bd05d3ceb,51.52
0xba0f56f913640cbc2f00a1e99eebc4d0b7a392b3,83.71
0x4d2c52b2c61026e9a3966cc349cca9fcfe27a382,12.88
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,6.44
0x222197f6ef2798d319965dbf7a0374f5303e5b34,12.88
0xbf3125d7e2fcc290d97d27a84c70fd8ceb7671a9,12.88
0xd84cd30cceea61e6d14d97bdaf22e0a8c55fcf1a,77.27
0xd937e80a04079c7e291aa92b3af9b63cb9738bd2,25.76
0xc8215e044bb4c63c3d6e8dc9d130d50683094e45,12.88
0x0f9043943a4d8f25d3b09eade2e2bc6a6cd40351,19.32
0xf5bed9c0294ff8245dd8bbc90dfc3d13e9945e87,16.10
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,147.54
0x0473a6999a7a4fe4b5208fbe7bc36c18ba75d9f0,128.79
0xc356ac859538c9f33c750642ed4dda0ae31b17ef,6.44
0xb4909a490cfbc9cf64d00ea6b0b24505eb40bc92,6.44
0x5e914f52c830e817ef4b2b9914c08ee312121d6f,51.52
0x1c370485843364eb5abb2f4e22de254b8c4b0dc1,12.88
0x6d62a4758cfce942442dcd48bf6c2e04dc3eab06,19.32
0xf6d1fc47fd46df22eb2dff06851b7c902e123f10,64.39
0x808be5e4abbc162a8750134fdb66b271c922b627,64.39
0x8acd65afacd8f326f65479515f7e015dfa04d904,32.20
0x972978353e8054e4cff24dd7348ea2b2ec768d55,136.74
0x6414990db840fe0300dacb536d0bd2357f5c49dd,25.76
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,12.88
0x14c78df591cc60d8a0b5d5f62593523456ad6c18,51.52
0xb18d3b20b96d946dfe2879ebc263e4c57b77dce0,71.97
0x0841e10d57e16ba6cb8ad950b1e3a922d618a0fd,12.88
0xc0fd0671132d18ab2dd7c6f791c1292e7938c645,25.76
0x2efc398b16d4c9515d671a76ce8b4625fdc84644,12.88
0xecf9d05a427b0f0e14e79001268afe00821bbe99,45.08
0xe2faa637bc3742f97e98d002044bdb3b35383162,3.22
0x28fa1f02aaa58dde703e4abed8729cf572cd0650,12.88
0x0e61259052f600381be60b35877f2573c25124e5,32.20
0x4873cc334b21d973c0708336db50d3668dd462b3,12.88
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,86.36
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,6.44
0x584213211706148abc3bfa6c5ad6424c43411461,6.44
0x7cc804e1ac313ac66a9c77d949e7ac6f2e7d1cf4,12.88
0xd363d51b26ff5e1d88bc15bf223704ca704ba72f,70.83
0xe6494bac41e5ee1665874331fd2c82215c5b3a45,10.95
0x38ff86563b310422bc9e35ce82f44c8fad76a5a1,12.88
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,129.55
0x26672e5dfa1a8b578f4d75c2fb7bafc8073d8536,28.98
0x9554bb50725fdb30357ff045843468b70b21880e,12.88
0xafcdbf98509f68021b007cb02e3a2f6acbba0b24,21.59
0xa30b9fe39d9983df6a94b53c12ef6e44bcf1631c,12.88
0x4ed7b18310130ed390f7d436ac66be1509e11e07,10.95
0x5f5c981d262800dd71278b197c3f89cfb97acda5,12.88
0x551ec9b5d484ec5407edc4731060b980a8839ac7,17.39
0x84858681121be8c89261218467f24896a850c60a,12.88
0x1e5a631a2bb4ce071bf24aa1e1dc28b0eda8ed88,19.32
0x8954376450218244bac6e8320ac386f7ab547015,32.20
0xaa46eba78cd3baabc47b971a40235acd067f5164,12.88
