address,amount
0x67CD399F97EedDEf9bde8ddB7211D8cfd3fcb24f,7000
0x47a0F523E1eF2F0d602bCCdE3aD0F76fF47EA745,17880
0xfFe1Ce2814116b47B5f4D20A208B773dcc1fEF20,10000
0x870aE9055a31B207771614dC8658Eb15D867104d,420
0x561bBbbFc0fb061EE03507334fc178EcDb478d31,19680
0x9cbbC3a2D333ed26d5eDACDf737434A412375e85,2100
0x7F20349795BE58ae7461Df05A6bbD9Df91491A2C,3600
0xb6729a4406dF3Be0239E3f7dEF85370c8963403D,3000
0x3a6A43EAC5648Ec6817C20F27e52542f1d3E5CDb,22800
0xA50482F0A7bDa371b3f3E887cD5d35D6C20b82c0,3000
0x551EC9B5d484EC5407EDC4731060b980a8839AC7,2250
0x7D6b8819851Ef3cef84C1c2945880610ee68c078,1650
0xA833cA78feA03D05e57E2E1Bd449Fb1F5C4893C6,60
0xC38e638025e22A046c7FCe29e56F628906f9d040,14000
0xfd3602AB3A34c0A1B93EA97BcC6C1E7f51Da3d08,9600
0xDc61E516D02204e27509fC8Cbb135DA2439a3967,1800
0x52332eC46bbd2d600dc00825583576b9483EaaE9,1950
0xfB580003538eCaA8117132132116649e1AdfBb32,2100
0xEc759Ce3044d4A0f13CCd06E751784F5Db968b6c,2700
0x82894EEe7964cbB7F7233180C668d9886d7252aB,2250
0x6647dCCCc1cDe997429C07C8D617347153B4B1A9,13612
0x669105FB922F301869402043BDd79393D010e68E,19057
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,13612
0xC00Cee5D4243bc67edc9779bC787b4dfBe70B9E5,35391
