address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,20.4
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,39.95
0xf636db1bd6ecd737ace20c67c731ae329d8f6a6e,1.7
0xbb5924fd4291790933a8a44904adad57b5b75235,35.7
0x4343cb66095d1d12d299517ce9f38ea65c6d535c,17.85
0x009f6b54d8b44d84ab63f09ca5f2ab27b2ed0ed1,1.7
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,24.65
0xaada8bb8c381567eb7312192b6b663c09dcb2986,17
0x615b0eef65886284025dabe36007d6ad27332a94,34
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,41.65
0xeb42994c18dc36ffb529fd849c94441da3832c08,884
0x5eba2b8add723543a4da85cb2606f0553df6ae8f,22.95
0x96e95a1f40cf5a50178053740ade18046815362d,38.25
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,14.45
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,8.5
0x13d2a02530e987f68b9df14aacef417525547410,123.25
0x1e4c331d8dc510622f997b55520d877349741256,14.45
0x95482f8dee88723195ef7cd085b01a9170b7c662,3.4
0x65f417d77305cd6c2285508268e92145d88fbe06,3.4
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,1.7
0xa8f86a95910b885318088a865e62e10c817fb9bd,17
0x99840482cbaee5da4a707993fbf0c3aa75afd1ac,3.4
0xa0ed53f726f9374275287e57144317764eafef54,1.7
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,83.72
0x1107da4d14c3d779d68fa5f698d06579fd18df92,0.85
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,10.2
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,1.7
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,1.7
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,122.4
0x569725633a7a0c824eb7e6480b6b2eeb61a39912,17.85
0x7e9d8a0be535173a18515bb463963e5c8272eb04,1.7
0xa866d034a85c9ec31db87d7be9c853d6724adab5,12.75
0x3a86e924c68c8156178330fb73b50759c7222943,1.9
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,1.7
0xe9f659172d39c54ecae31c5f2161115c95a557d9,1.7
0xe2cfd5ff51aa7f820783d054e35c828e7b282a57,8.5
0x554c3689d9ff54b2fb53a00720e68816932f381b,53.55
0xa7568a767cc138114341a454dac6e03e2ff968fc,71.25
0xa39f29ea0933c9016994c2a31d10b572b466df0b,17
0xfe6c17e467329740a12db926a2bcca732f1cad7f,1.7
0xe7a97a841876c9ec8c38fee297680aacefd121a2,1.7
0xe596f45d86c834a1f3d8c9514b95e652a53c52ea,1.7
0x17fc6a93beedf7058d8cecd071587277923f63fa,17
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,7.65
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,1.7
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,243.95
0x760e001634df9c0f28d607074b7e726378e280e9,1.7
0x66488e395ddffc29e7c7eb81dd14c6d5ab0222a1,53.55
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,1.7
0x522a57a9267b6a54dde2f9a89863304cd0391827,66.3
0xa885c5ced05658736659a7e525dce52975a8d62b,99.45
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,65.45
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,4.25
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,1.7
0xbe3b452e567b588f530529bff5160bd3148204a0,4.25
0x3dd2f96a2a0a9f257c864fdbab6c1cd267d89ca1,0.85
