address,amount
0x2b3d820cab9970dcadbbbb667e012b927608d17c,50
0xdc61e516d02204e27509fc8cbb135da2439a3967,50
0x52332ec46bbd2d600dc00825583576b9483eaae9,50
0x26daf0750b1ab7d1359412ed5656f4e9739d6c31,300
0x814e01213eea3e30322995746c89e1bfaa3a38ac,210
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,50
0x9b276f1cd46d909af4efbb50fbcd535a267246aa,10
0xe038076a4202d0fad0a103beb372d1bc974db55f,130
0x9e06f6f85ff4b491ac3972a194f5d2f9d11acd19,50
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,240
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,20
0x87577e9004052dd82ac00c243651eba4d646c7b6,600
0xef4491e9047c039eba2c82d1389e14a184352b78,20
0x3f3a97ed293606260ff1406adbfe3548781c5590,30
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,20
0x9cbbc3a2d333ed26d5edacdf737434a412375e85,20
0x0dcaf7de9cbaa4131e821b6451637fdddcfcd8da,20
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,50
0xce99e81912fee351b1058e822b1aa41745aa55f5,50
0x564a98c75861368a8adba1275c064d6bf779bffe,10
0xb3cef382be71d8937b78cae68e09cb51c4dc2402,20
0x4b17e8da93352301807c8777bf6a65bcd0ec47b0,50
0xf5f27a5a4b47b9b1d165f1f2b0edfb8896f59391,190
0xe6494bac41e5ee1665874331fd2c82215c5b3a45,50
0x54956f187b9e58065489d502d5c30c1c6726b3ff,10000
0x4ed7b18310130ed390f7d436ac66be1509e11e07,50
0x551ec9b5d484ec5407edc4731060b980a8839ac7,50
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,770
0x00d965c25ca1a5e3c441ad7ecc60aa85cefe9841,10
0x742a34ceefabed24dd43e8f1226769cc4185fff5,50
0x9f33f80cdcce696629164c5e0bdbc978c46ac951,50
0xfb580003538ecaa8117132132116649e1adfbb32,50
0x9c0ff565272cef43253b46ed7d67bb402466a01c,50
0xb6729a4406df3be0239e3f7def85370c8963403d,50
0x7f20349795be58ae7461df05a6bbd9df91491a2c,50
0x76f6dffe322e1dd689a924acfcebe530ff8b5868,50
0x7b6ee335e7d498c3015f27d677f9f76510cb8c85,10
0x87ae9047f7879a229a929ad5ee026a5aada15b3d,50
0x33c368fe3f02f3dbbb45a9777741d4955daa33fd,50
0x8472a74e5eb2816fa409967500735aba61a4060f,20
0x9a8bc9c6d9698471e284bfe2fdaed484d16bee5b,50
0x1db345fe0e4e38b4b170a84163d12781dc4a94e9,10
0x6848f96ff1ccf339f5b48c6fde64dab713647298,2000
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,10
0x37ae2b36f38df73986ddaae326eb70734374b06b,20
0x774e2f5c083830e9b6c56fd10396e8b5f8bd5ebc,40
0x4bf6c3180c9bde642e20b07a1c4104038b173f05,10
0x12935f58f13915a90d9115b3157e549f57fe129d,100
0xa76e7f8fe481448f1a803212b0c8b6fd7ec90078,300
0x72f80f8b81588d8dfe20562025ab3d3ca00912f5,300
0x885c0038a17a825aa0d20fd499c552dcd35c03ce,20
0x9869544bd6a5b7ebb538daef81f57b4f2cd29ed9,30
0xd9d81601110c8571163da29f8f680d741d420436,20
0x85092c68a5ae7315294bbf97c886e0ea528a4252,20
0x2c793793a4730d2794ce362645f31267e7bf1788,20
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,330
0x82894eee7964cbb7f7233180c668d9886d7252ab,50
0xbf747c64fbe3f23e66704a0a89300ff3220822ff,10
0x561bbbbfc0fb061ee03507334fc178ecdb478d31,10
0x24aaf3a6d56915931f6c1d16b9d6340b37a8d986,50
0xa50482f0a7bda371b3f3e887cd5d35d6c20b82c0,50
0x3101d6a23f212c64a7a3492d343000e713206791,250
0xe36f7f99ceaa775bff71be5eb9065f18f1cab21b,260
0x192513387b1bc31597ebf9f858e19bcb410ead6b,470
0x7d6b8819851ef3cef84c1c2945880610ee68c078,50
0x44d7fd3d7496ac4bb9447947a10c33358519c988,50
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,70
0x78b033d78091775a802345b7b301dad45fc37de7,120
0x06e5473abd44b7d924ef4c3642d86267d0296a0b,300
0x5bd5d826e4275a2180e8c5fa3c80a66ca461a375,10
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,560.4
