address,amount
0x9cb4f96ea7e45348886ecdda29aa726c7c428f2b,425
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,5100
0x554c3689d9ff54b2fb53a00720e68816932f381b,4250
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,42500
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,1275
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,17000
0xc4baa22875102821bd01f572d63679f5f1cd8046,1275
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,10200
0x970f6dabee0347a48cb6d3f4ef79d0a75cc5c196,4250
0x38c271c9fc3a0e244a752b25a31d93a63767d567,3825
0xb3642c12273dbe50bba5d2df47ead9500c6a0dd2,3400
0xb4ff3f099274d726ea76642267fd217eeba8c0ec,22800
0x786e4850cd0c961cc28695c872cfe4ba3f74f150,2550
0xc941b4bd79886898f93d679facf56d5fe2a43a61,17000
0xc2933176a9be2116721a2681e042111ad22f8266,8075
0x350fdb611b0a401cd8b6f9142acb9e94e80162a0,42.5
0xd3c33047c8913dd6179e355e054efed5db89a699,425
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,10200
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,2550
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,52275
0x9f77f69848852c1a2fc529d2663b05af30559ad3,3825
0xa9740c509f10bdb4908507345cace1288875a7de,1275
0xc6888cdbfbfa620b4e078933415bdc5d59d2c9cf,17000
0x5eada99777f4b3df0d5b499c7912a480cf66e7d4,4250
0x97a9871bf7cc80a01a85b2bdabe9e2534075a238,4250
0x097d2c24ab5c30e8e21ee88560523f60d3320742,17000
0xd99ef6c53409b43020ba0427e24b8682af8a9a59,17000
0x00a9b763ff87ae5e9c6312779456144a06f6200f,425
0x04befa0087536e99fb1a9bde00c4a6f9289eb6fb,50150
0x47227de01e55ff9db11b8c193c0de3f216d52ddc,1275
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,8550
0x2923e92f5eba96dd750367ac9327c34a6b19e0db,3400
0xf6d1fc47fd46df22eb2dff06851b7c902e123f10,4250
0xe35376ad535fecdce122f7f8b88c963dc8d0390d,2125
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,1275
0x4873cc334b21d973c0708336db50d3668dd462b3,17000
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,47500
0x14cf01598ed303240d73365ced552d7fa0314807,10200
0x0c4bdfe0aebf69de4975a957a2d4fe72633bbc1a,6800
0x635fcfcf8ccb8099ca6e3a4d57692c2000043bb5,17000
0x766662d6e131cd07c534652c1e5775134fe0763d,1275
0xafcdbf98509f68021b007cb02e3a2f6acbba0b24,47500
0x6bd3dd230d56848b7b14b524084b1f3c9bd47f20,17000
0x41e6b53776992677425fb9aa0b536ac903715386,1275
0x95b66bfc3f8a7c05d74393634ab5ba304e8e1563,1275
0x34aa402530aedc9b846ca903e7e379313f0d727e,4275
0xc6a265dfde65d5cab98375e75c5881354cd6566f,57000
0x03e67cfaf0c107844a02fa4233052afad4bd9272,61275
0x1ac99bf8e9ae03d7f8dad8153cec12d764baf030,10200
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,4275
0xcaa53fa3c33da82bad0ddd0ac56b040700cbcbbe,17000
0xe2b17b822ac373ed1ed5a0b6f06ff8fa878ed836,17000
0xf52b2b2606f5a8f043f51f796c9be1fd76af980a,17000
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,11400
0x8051d1f2c9f4ffff3c1104337aab6cb1c315a910,11400
0xa3dbad89f450056ba5ef5c85529acf944c7b0650,4275
0x32cb0f8db60389fdd8a3c4d7e4048a6901d5a86f,1275
0xe3927162bd747946eae330e6f8db4f0121d379de,2550
0xb44d57a251da397bcbe33cfbbef567e9fed151fc,2550
0xcfad591ff4b9f2c6e10376128eda7028c6e6535a,8550
0x612a806012776e6b0d797372c2fe5a358fddb0fe,25500
