address,amount
0x969182504dd6506eF431983a19B34897CD5f136b,0.0348
0xA817FaBAC38D24Ea4350c14FA69DC3ebC44b6eFe,0.00696
0xd67Bea641952C1e920c122108bdE1d36E1C9d388,0.00696
0xCAA53FA3C33DA82bAD0dDD0AC56B040700CBCBBe,0.01392
0x404935E6b798F82eF4e4C0c7d435A5E75C4618d6,0.01044
0x04D4DFEDa37C2BF4D96B0A67A2b1d980AB331579,0.00348
0x16B6586f7eA4e45bc356E64E6B1Bf74b184e679D,0.00348
0x999EaA01Cb8C0F468bf1288370752900645e538F,0.00348
0x01880349Fb1FdfC4EcA2ed554683C3eBCae448A4,0.01044
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,0.06936
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,0.069464
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,0.06936
0xc0ac4e63b86c0bd484e652ea7fd6d6a4953e2fc0,0.1734
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,0.06936
0xa5135394d563e323e83b5c1b097acdd7a053b40c,0.01041
0x048054f6e13bb29c6453a12337999faaf8ebd72f,0.06936
0xcd66d03a9a769599f22e811ac8cafc4ab08961ec,0.02312
0x9b6cf46879086aa3c40c24071974cb6c948e8c56,0.10341
0x4262e8839fa4d64eb40afda78c6a4d059fb68fbb,0.06936
0x329f4435e0f22899b733756c71aa12c1004146b1,0.06936
0x066fb187404feee6ee7f6cde21697cea1a89ec23,0.02775
0x2434a3896ce832932672e9c0f7c35f0f34e04206,0.04624
0x363c3116d796ed45871f2855111cafa44788ba0b,0.06936
0xdc67de8277d966bb26d8f5465006ba7cbf7b52a1,0.06936
0xade631de001d0eca72026e07f08b574e0c2f767c,0.02775
0x82ca3ab63205b404d6a4116e9c2875814e6b0d9f,0.06936
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,0.1734
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,0.06936
0xf8399090b4b09210d13ebdee71b00c8bffb144e0,0.01041
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,0.01041
0xaddd7272d178c1597902a9148b29c29e27d8ba13,0.00925
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,0.1734
0x989e87b927366bcd2d9ef24ba35888b8f9d14fe3,0.06936
0x97317bc70d2a744cd38cffad6a7e3aee3961fa5c,0.00925
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,0.06936
0x6eF22CaA22d08D09082fFAFFa3cD051296a78a17,0.06936
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,0.01041
0x6824761cfc26ede8c56f56521d61b8b566b3de5b,0.01041
0xf801fb29be747b45b04a19ece9c6b74019d7159e,0.01041
0xc92c6aa14e3dc1d644003b8b98837cd2db294ed6,0.06936
0x113d4e608475b910b4e87feef51741fbd75176b0,0.06936
0x37ef79efaeb515efc1fecca00d998ded73092141,0.06936
0x9401b701541aefb1da78fc158f9c39613b24a815,0.02775
0x7556241fbb6944026eb70bf911e882a99d3514d8,0.093
0xef4491e9047c039eba2c82d1389e14a184352b78,0.1734
0xffb07a20e5e38bf1492651780484620aa868e895,0.06936
0x460afea78a398f78476593d0be4e95fad3795fbe,0.02775
0xbdf0c6d0721428da6ca74a1727c54122497caf65,0.06936
0x8e4be781da50b8586bbd5e2097347028df83c0eb,0.06936
