address,amount
0x2b3d820cab9970dcadbbbb667e012b927608d17c,4615.5
0xbf5b608d7f98bd924e69462ffa722667dc23398b,816
0x50deacde18e4dff71956519ce426471cc35a6059,25.5
0x25cdc4c140e3c44dfb88ca7e81d251d297315988,3825
0xdc61e516d02204e27509fc8cbb135da2439a3967,433.5
0xc99115860ef1f43bfd4cc852a59fcb1110a1e9e1,2040
0xa6e96dbb6b7d2c12062e70d3dec87c4fe23f961f,76.5
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,34
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,3825
0xa5135394d563e323e83b5c1b097acdd7a053b40c,4318
0x52332ec46bbd2d600dc00825583576b9483eaae9,535.5
0x048054f6e13bb29c6453a12337999faaf8ebd72f,1428
0x00f33c3bce1b479bc7ffacc986badced8b2d7cad,5771.5
0x00457901c66fb3eee66226d2de524c2fc188bee3,34
0x105ae383f4003f634f8d4a479a61454f0765cc1a,3825
0x066fb187404feee6ee7f6cde21697cea1a89ec23,834.7
0x09f213953d92f865b949b3e39b9dcfae687d4966,798
0xde59dde7c5428ba29c7461338f4a6f45637c792d,161.5
0xa30ff788ebac2878dc36ec379e55deb02c44049a,408
0x45b28636023983b0fc2dfb76718b383939923ec5,34
0xdd8804e408a21dc344e2a480dd207dea38f325ce,6130.2
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,1564
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,3825
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,467.5
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,34
0x5c216d7f402b3f41eab91df35732c8994348536f,34
0x10716aaffd2097228c78fb8a7d844eabc85497f5,7089
0x49f47d08ccff91010bfe5978b011c21472b4aee9,598.5
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,850
0xa2ac4de748d033bc619fdbf24e2ce628fdd7eb5f,4284
0x5f21fd55e498c6e4ff49f584b218c1a7ef9537a3,3825
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,289
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,5661
0x58e6cfa372745f56dcd9220655f93b996f8a102a,3825
0xa27150be5bdd61ca992b3f5aaa4ee492c3960d63,34
0x67b271e10dc48754863723981cc97afa3a034170,1122
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,3298
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,34
0x4ab54d55c9188cf7893e14acabdd64922c1a55a3,34
0x3eb4b506a839b33a4e5d8719a4150e478083d550,153
0x0d61f0a2b168d38292a6e10d85a2f04b34d65a3a,3859
0x1222aca63b8b3d9620cb552ca0ef26255bff18f0,34
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,4761.7
0xf9ec5f4b6ca21d43cab8f7c6e805894453b3da9f,2040
0xf576d0381dfbf0fb08dea884a44a16cc046648fc,2125
0xd520d01a6d2820464d8b2a19f54011b05237d44a,3825
0xa4ec20c0751d78777274606d0d71304d1c191f96,2754
0xfda77411e0c12df5224d2c958caa111ea5b45329,34
0x4dbd495a11e749c470ad9c9520039fd41f90a09d,408
