address,amount
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,0.005
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,0.005
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,0.005
0xa5135394d563e323e83b5c1b097acdd7a053b40c,0.005
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,0.005
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,0.005
0x542825ff7372a297dbac8570370bae9a05fcde28,0.005
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,0.005
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,0.005
0xdd8804e408a21dc344e2a480dd207dea38f325ce,0.005
0x7a52f357732da1265067120d3de0795be1ee1bc7,0.005
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,0.005
0xe07673f8c895348fbde720dbea0a967eb1c72f60,0.005
0xcd3b1cd0e32af93a1b3e054fb77a49a2cf3ebea0,0.005
0xd586faa55f787518b0feeff12788f40ca7d01f74,0.005
0x152b8c153e4f18bfe1cb3f2eaa563813c758e279,0.005
0x42c975ddc7d7e9757f246ddae552f63a5b4429f7,0.005
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,0.005
0xfb5959e3f9401033273ce1009099df6f0f972030,0.005
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,0.005
0x20fe0cb672e174ab3f36eca512b23591d3b3c631,0.005
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,0.005
0x8f84f2d3fa19e669063ac3bb8f62d9b2f2f8e8de,0.005
0xaa22a8c84cdfe40c5f888fc1f84ac33451b2b111,0.005
0x9401b701541aefb1da78fc158f9c39613b24a815,0.005
0xa2f3dee310133fec376f2061b6bbf2bc9fd8e9d1,0.005
0xa4ec20c0751d78777274606d0d71304d1c191f96,0.005
0xd902ad29e5e50d1f78ae0f1722c0ee5d63c02765,0.005
0x9b11f66a0868392edf372a32760ce0defe6ec20b,0.005
0x2923e92f5eba96dd750367ac9327c34a6b19e0db,0.005
0x972978353e8054e4cff24dd7348ea2b2ec768d55,0.005
0x969182504dd6506ef431983a19b34897cd5f136b,0.005
0xbb9206be2ced850b7bb0632097ec7a82e246bf88,0.005
0xedcaa27960bd503ef68651c32922a567e87a3607,0.005
0xe5f09ae27f7f96720c3b38d26f137f7485dc855e,0.005
0xd67bea641952c1e920c122108bde1d36e1c9d388,0.005
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,0.005
0x8f4b81e0243592263dee151d3c3d6f9c979b1d1d,0.005
0x88a02ce96955891fda16642f7d19ae61ac04c3a3,0.005
0xd4743d70669ca8bd40998e651ade5cb119c1280b,0.005
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,0.005
0x46c21baddca835f4c6c51fd3a20eef2904f6836b,0.005
0xd59d774837aee3e862b06e1b05f78b6720f0990d,0.005
