address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,85.00
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,170.00
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,340.00
0x2b3d820cab9970dcadbbbb667e012b927608d17c,170.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,570.00
0x554c3689d9ff54b2fb53a00720e68816932f381b,2125.00
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,1275.00
0xa885c5ced05658736659a7e525dce52975a8d62b,1020.00
0x560c1a7dd6dcd97855f9cc4ead8f0c74ddceea7e,8500.00
0x4d01ff58d94dbdaeaa48311db74a3a22d604036f,2125.00
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,170.00
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,170.00
0x0b33725a9ab440aece0a4c9cc3113fefbc332b5e,170.00
0xc4baa22875102821bd01f572d63679f5f1cd8046,170.00
0xc5669dc1eec57459663b5081dbe589d93e783202,170.00
0x4b4ed5b761bca30fad4bb3d8ac9532110c14ac3f,68.00
0xced9d737989f82902a2ad61b66575af23f7345ac,176.00
0xcca385be21b94fa1254c8b5d7045cc568a520586,190.00
0xa5135394d563e323e83b5c1b097acdd7a053b40c,570.00
0xae32adc07bacba04b356d8063fd0ee0dd2caf94b,425.00
0xe49a11227c25cb5537138a90adb0415badfeacf8,170.00
0x28b460e553ce81ea5ea5407ece30bba3903af23d,190.00
0x8c0a4f4e6c63854f2b360bed46f64cc86c891801,170.00
0xa2ef3caa37659d3e0fa9dd7488909a413e33b02d,425.00
0x048054f6e13bb29c6453a12337999faaf8ebd72f,190.00
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,170.00
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,170.00
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,170.00
0x6308e43cee89e056053c16f1ebeac08157b221c5,170.00
0x728e3d647eda829e20d61dda5b7e32b05eacab14,2125.00
0x9ebdc1767b0c33878fcdd20db734b28e9bab9e28,170.00
0x3bb127d57540e3d2be0bb6ac7425e6219e0aec43,340.00
0x53da49f96ecf3096b1cf72bf7fd8f24cdf943002,170.00
0x2211deae839844f79d68b384b01fe03e40c5e655,170.00
0x066fb187404feee6ee7f6cde21697cea1a89ec23,340.00
0x2434a3896ce832932672e9c0f7c35f0f34e04206,170.00
0x04ffd5fc488d533525873ac42c08541d723d1df5,1360.00
0x3410b04c2362496d0d06a0be58658e7cd5b50e31,170.00
0xa30ff788ebac2878dc36ec379e55deb02c44049a,680.00
0xdd8804e408a21dc344e2a480dd207dea38f325ce,1615.00
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,1020.00
0xbe14fe7706ff387848d42c9d63ed580f4272f338,170.00
0x0d63f3fa2574e7cf72f996bf1633b651b4c02397,850.00
0xc2933176a9be2116721a2681e042111ad22f8266,3485.00
0xe07673f8c895348fbde720dbea0a967eb1c72f60,170.00
0xd53d7a2a60af71f1b1f44484ce48b98ce3f695f2,170.00
0x10716aaffd2097228c78fb8a7d844eabc85497f5,2565.00
0x2282ecc111b7acabe470053d4a09472bc07b8d00,170.00
0x2479478c31a50de37fda3596f92ed557f28451a0,170.00
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,170.00
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,170.00
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,170.00
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,34.00
0x23d344a3fe9450753324523425eac8bb6754eb8e,510.00
0xe20254111032f19fff333fc59faf2b0d4dd79d41,340.00
0xd586faa55f787518b0feeff12788f40ca7d01f74,850.00
0xc1ee59265efa7d13f8592cddae514a5be4cdf4a8,340.00
0x7d41a1ef0e287e5d0807e0fc4e00f1e9e14a74a6,850.00
0xdf7d8e7f0556820593aba352fa860fe8711f0c9f,170.00
0x42c975ddc7d7e9757f246ddae552f63a5b4429f7,170.00
0xa9740c509f10bdb4908507345cace1288875a7de,170.00
0xf2f0f4401805f8ad619d20ceb096f61149458abb,850.00
0xa4bdea9752c8b655c7ac9e17e39e5a8d2e0b8b34,170.00
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,1105.00
0xfb5959e3f9401033273ce1009099df6f0f972030,1140.00
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,510.00
0xbc627254fa9e73117cb70e1d4eed610ba0a9de0d,170.00
0xb8426f7ae6fec58e4cf06bc269420c9bdd800e49,17000.00
0xf7e1121ac54e7cad2eff5eb086cd50d680830655,170.00
0xa2f3dee310133fec376f2061b6bbf2bc9fd8e9d1,85.00
0xe9dd8b36c7d843e811601360b836bb73aced82cf,850.00
0x0439433f7d7c9b6838b429e66efafe03c958fd80,170.00
0x00a9b763ff87ae5e9c6312779456144a06f6200f,170.00
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,340.00
0x1330355f5181e5a865b35063427648a5aba9096e,255.00
0x527e5c08d360f2b2a1c426245297dd2876c53a8b,170.00
0xc202a9c0443f160c02b66fc416277ba490b91978,340.00
0xf71754daaaf2d74291362a101cc0ff5b53bfaedc,1275.00
0x79a7e791336b85d449c5013c9a06582804c47a55,17000.00
0x5ac814f228c78dfe8ff240a70fa9eb6742ef0be5,1020.00
0xeb5ac109091bf28f6326e935f6e9d37fb3c9195c,170.00
0x5b36e70b17cb5802e3db17cc1f176c0983dfd31d,1805.00
