address,amount
0x226dc2c99f060ce33763a855bc1a3d5e78ca46ad,21.25
0x13d2a02530e987f68b9df14aacef417525547410,263.5
0x5863878063b862166b7bfe17dc3eb8a15852fb45,10.2
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,1326
0x2b3d820cab9970dcadbbbb667e012b927608d17c,425
0x8331b95e050690240743b53830eb30fc3b2ba647,21.25
0x3d238fa063bee0238cc0f102c9faed4d4571d36e,1062.5
0x6a12bcf76cec6307ccea6b97aceb9b8eb34e4f5e,52.7
0x522a57a9267b6a54dde2f9a89863304cd0391827,31.45
0x3dc6f61b1d53b30f1aba24fc1fb1c79e927f542d,73.95
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,2125
0x9d83c58297b6307a4c62830efe16da9470990f7a,1326
0x542b8b2c0c430dc8bbe363674fa868ae6b3b20e0,52.7
0x491cf7629a2397eb738a120fb13fa44bdbdc0e44,583.95
0x1895fd15e5acf5a924bc2038f0390c149294c0ba,254.15
0xffbe71fba4649e93ce88d2dd6bc15fa253ea7b33,285.6
0x663f409b6c546817636862c87cc0bf51a98d7a50,106.25
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,52.7
0xa5135394d563e323e83b5c1b097acdd7a053b40c,158.1
0x7ec77972e1fc05e42a1b825bb67f04a756990ff9,210.8
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,31.45
0x4b0b415ea01924be143a22e60829195f984e1966,21.25
0x69d8a3018ae0d52f6a835ca56007aad802843b64,1105
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,1062.5
0xafb6cd62081409d892c94fe1cb2cd234281257f6,179.35
0x16529b37e5262a0392ab6a3faed1b4f87c35c257,10.2
0xc5576e7c082271c761762966c90ac2ab0ee35f25,51
0xd894b25119f39aea58d786329619f0f564a99a5a,1062.5
0x38c271c9fc3a0e244a752b25a31d93a63767d567,816
0x2cbc78b7db97576674cc4e442d3f4d792b43a3a9,53.55
0x252c63fe3f88cec8bf6129015d331e633f21cc7f,158.95
0x4296afe4799f62f83ef00db325d4b18b0ac182bf,10.2
0x329f4435e0f22899b733756c71aa12c1004146b1,425
0xafe0be5b5c1ec5d30e103f1580dec717d2cbf23d,170
0x066fb187404feee6ee7f6cde21697cea1a89ec23,21.25
0x2434a3896ce832932672e9c0f7c35f0f34e04206,425
0xd4e3401b6ef1d9d3d48fba05f5e906d6be2de050,446.25
0xe29f21f462576bb4566f1920eada02a45693c7ea,475.15
0x363c3116d796ed45871f2855111cafa44788ba0b,105.4
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,1062.5
0x55e86864dde83bdd7ef9f0d1f1765ebbec3a7934,31.45
0x29fca5052da9b93b2b25809135022ec367355995,531.25
0xefba954554ea03abdfac79ac684f7c9a9c2a0256,21.25
0x1493257d77f0f795faf967cb59b85b5ce2f631a4,3187.5
0xa30ff788ebac2878dc36ec379e55deb02c44049a,871.25
0x12cebdc94c0d659d11206b66e635a4f07018abb0,31.45
0xad8a8a9b7265c2b863b827a6ef465d3f6698421e,52.7
0x7a52f357732da1265067120d3de0795be1ee1bc7,637.5
0x6dcc1593c9156ed9ca35a852dfda02d7a724b306,52.7
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,212.5
0xc2933176a9be2116721a2681e042111ad22f8266,446.25
0x3780634b2fa723edda37e5dd672a6437c857710c,476
0x5c1665abf06c1c494aeea6b16ac0e9310352d0f7,10.2
0xc1f5ac9c8b7f8a3fade6c65e903ab94467a431ee,2125
0xccada9ccccd6defaaadcce4885a9763f17f2afe4,106.25
0x386fa601a6b8a5b602efddf089fe734bd6a0481e,637.5
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,127.5
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,125.8
0x7f65f8e92535deb207b42574f56d71e8c1bba51d,105.4
0xd2998398e15e3d7a559ef7aca046148d1738174d,52.7
