address,amount
0x5e6616c3411d7674cf5f8e79650c44c4672d0b8c,5865
0x16d3bfa55dd68add8a259cd21a3087945f31e44a,56.1
0x28f85e4d52979103e6d9dabd25cbe0bf54c1234f,3519
0x465a084c713e7d0b3dac7f9a503378fa5fe2ab9a,1785
0x7078943ba34c0064f8e7ea40c368520e002a4575,5921.1
0xc0bb18c465dd4ba15ad702fc29831c1a9cb747de,56.1
0x3696bbd2acdf0501a927e7df9b4963f4da0d06b6,56.1
0xe16628fa223a6c34e5190de9d11c649861436975,56.1
0x7493bab2d5305a9b1391f62cd0beb0c673d94c78,1331.1
0xe366f2d6a219561d88f27c3d50a842ff5bd5aef6,56.1
0xe2b4a562dbc8433124f9fdba191a1346f038144a,56.1
0x133ccc0078d467b5f92918f888f50b15b345de0a,56.1
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,884
0xe9422af02d562e92a275ac50d188ba7b789a0e84,56.1
0x6df77870086187a1af7bc7c666dcc4e4f57716c4,56.1
0x944150e796896bc2f2d96d16e0e197f72dbb6077,56.1
0xf7065f5fde571d296326aca303ebbd9ad3a13436,56.1
0x0472d7a590030584b4ba638398fb546810b39e37,56.1
0x396107d5b59b53fdf8b6383513a7f6796a6db3bb,56.1
0xc37cb14050f66613cbe875d5d2ee5e7bb8120b22,56.1
0x6308f94ef154b117bd877a32881c35fbce7224fc,56.1
0x2db838aa256edfd0c1d2e23981e112fee582f3ee,56.1
0xe1cb2cbb2e01ce63d3e632d78a270a7336d9daf3,56.1
0xd533628282dc7cdc5a74fa6c5549bab2a6f8b081,56.1
0x94f6a09a0f848d9fb1acec90a4e7002d4b0e6e7d,56.1
0x52e7e4da7fa73f86305dfde3f90514cfc8dd6ec7,56.1
0x1ccceea3ee67b37141c2af481513fc54b069684e,56.1
0x5863878063b862166b7bfe17dc3eb8a15852fb45,425
0xf26a55ed2bcdef30f8582b8eadb3600da4397190,850
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,5865
0x745cecfe7ba6461a6e18ddefc6a2e7ed4bbe5e2f,2040
0xac1ae9e27c3c2f99b42de478e65788a03e977c48,280.5
0x2b3d820cab9970dcadbbbb667e012b927608d17c,5865
0xd67e87695d39ef04151798aa60db8cd95e2a9305,56.1
0x546c55eea77624b1a9fd2cf4079b4bb053f67e9a,56.1
0x692af9853df5d7a8bb65a86dc42d977e51f5227d,56.1
0xaefce28c5bcca20a39dc542bf152ae746ae40a7a,56.1
0x88168f97f0a5c04a4a412ee97dc7b8e5e0d6fa26,56.1
0x0bbce858a43264efc48e155d0de7a35410006e8c,56.1
0x15ba6d9a409115aa07a3de3b97f88a071e7c6671,56.1
0x88f347a32667e6aeb1a19ae05b1a933686648349,56.1
0x9cb4f96ea7e45348886ecdda29aa726c7c428f2b,12750
0xfdd9f87912d56fe0ad8ca7898e1710937121c7c4,56.1
0x8a80defe061f9f0aa4a0e7a3a23c7efdd5764616,56.1
0x14ea0b11e5070cf21a7204351ac9426c042dbf5f,56.1
0x9100ec73f8f469e79f3870335d82ee4f8926f823,56.1
0xc53cbeb1e8a12e669928f4fe51591bb8e7671327,56.1
0x1ca1ed8fbd471802b6332a2f1ea27ba33eb1c84f,56.1
0xa12fec75d2783aa5057731cd485e07e4445f96f0,56.1
0x4dfdc4ddf78f125d58b586264ecb1dfbe26c77b0,56.1
0x3d238fa063bee0238cc0f102c9faed4d4571d36e,5950
0x6a12bcf76cec6307ccea6b97aceb9b8eb34e4f5e,214.2
0xc4bd84e0e1ba58cec3ca0f8e74b2204f6dde4c22,3697.5
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,20400
0xa1719da09b61c6d1fe0b1254b7e5374904e03cc2,255
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,56.1
0xcac1ed72655cb6543c66d1b0cc64123551c235e2,56.1
0x917de33385f72bfb72527898eb8dcca8cf9c3474,56.1
0x6f911c1040107a2fe8b74ec09005d6a677d789c9,56.1
0xf2390fa457e7ace70b87b3f2ea8e626bd3cb83a1,56.1
0xa9203de19148f1a8795fd8e420d48a625a20165b,56.1
0x668ddfbc129e5b6b51dc5f0e9dd71ae4d69db38a,56.1
0xb4577a4819f893c0a4020a10f87d134fcd6d8f35,56.1
0x4e97df850dab913f61de199277c1ce49f2370fce,56.1
0xff26b8cac275a6da63c0a4a97cfc0effa855d08f,56.1
0x961725911bdf4b436b0ac9af87c6bdc0434b28d6,56.1
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,68
0xc6ab45541006d53d31e25b41c7d245c5ad99bf71,425
0x1da095a4715b960506908d9cb0cdd8d577f8eb78,102
0xa885c5ced05658736659a7e525dce52975a8d62b,5950
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,1224
0x50deacde18e4dff71956519ce426471cc35a6059,17850
0x1421bba806057800d64ca9f271b1eda006590169,56.1
0x8d7204b5f87e7650400da517140db6d43adc6ea1,56.1
0x5bc920e9e7ac4060763e32c92d43e68c667b039e,56.1
0xadb3e19c3f1324abea86574c83fe6eab3b1e6937,56.1
0xe07fb4244e605f3fe0e5dee921626458cc312601,56.1
0x0ba3e0bd8788b6466bc39f190db3c676d9f57a47,56.1
0x5c36a1db377446d32c29b07ebe578174156d316a,56.1
