address,amount
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,0.425
0xb39a2be2722c0d96e485eacbeb1529b6ec42f299,0.425
0xa5135394d563e323e83b5c1b097acdd7a053b40c,0.425
0x63dd876da0fd1642065f93f29243584c22ec1248,0.425
0xb302819e70180c339ced97de9fbbc7a1e71fcb96,0.425
0x1e3591d186c08fea3e933bc106b4052588e473bd,0.425
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,0.425
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,0.425
0xfb40932271fc9db9dbf048e80697e2da4aa57250,0.425
0x23d344a3fe9450753324523425eac8bb6754eb8e,0.425
0xe20254111032f19fff333fc59faf2b0d4dd79d41,0.425
0xd586faa55f787518b0feeff12788f40ca7d01f74,0.425
0xdf755c11d3e2d7e429717df69ce15c241d65396d,0.425
0x21cf003b6688287677d12c0ae48cd8a16a345eb9,0.425
0xa2f3dee310133fec376f2061b6bbf2bc9fd8e9d1,0.425
0xa4ec20c0751d78777274606d0d71304d1c191f96,0.425
0x47227de01e55ff9db11b8c193c0de3f216d52ddc,0.425
0x2923e92f5eba96dd750367ac9327c34a6b19e0db,0.425
0x5bff63d0341948837dbc30b33eb04df64aff06e8,0.425
0x57800362a0f50d36604a55b360c33635c7a744a1,0.425
0x969182504dd6506ef431983a19b34897cd5f136b,0.425
0x6aa6a776bffb55adf6e05f205de8923b639da173,0.425
0xb989d5b95a4434b77388ea944427ec82adef319a,0.425
0xdce689d43b730540da3791d60f8c5823252c8257,0.425
0x7abb5bd20569acd659faa3338b39fed8b6ac7b60,0.425
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,0.425
0x8a15e42672c1161479939ec6c1299ab1e481055f,0.425
0x2c3d3b094e5d35b3b4d400def72931a1274ffdb0,0.425
0x01fa44972f6b62ce546eb13fc753618a825d69d9,0.425
0x4131bf8044668b68d60af6decd4cbaa94712592a,0.425
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,0.425
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,0.425
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,0.425
0xdb3aba66da08c1bc770b9b764048f7fd9c3dcdba,0.425
0x17bf34a8ec5d087480de409986b95277b3f1ebe7,0.425
0x3e64e0b69eb67e9afd51e8b37f4bdad2e3e2462b,0.425
0x11f7b678d302eecf93f0b189dd76598abe73a6c9,0.425
0x11e8cf2af7f30f31a33f84be57f90144533980aa,0.425
0x15c3c2b63b098a31a4a50e27ace26dbc0f9fe3f4,0.425
0x7c0cf0923aeb37503086a00a4f5276819f77f86a,0.425
0x5e660ea40da52dfee987a325dfc01c03e94f2ff2,0.425
0x0b448c913cc7b8f1072215aba22f79233036654e,0.425
0x9bc2441467a44cc21b44cc53b209ecbc7665bfa3,0.475
0xf33ea5b3f0ab05e39d1656d42f475b5a87ed21c6,0.425
0x459a6ae7a67ffc5050787435783c01bec8843add,0.425
0x207bb8545f5735f086b97999ac950be12314699f,0.425
0xab901f71988c64541932bba8d243bc23c3849561,0.425
0xd517b2add2d2b1922a47d98a415f343ffabc96c1,0.425
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,0.425
0xac1b2469d1b46b6290dcad11b7f0d57bca55e18c,0.425
0x5d6ea86334d8cf9ecbc2adf1ca837d4e6fd2f031,0.425
0x81dd61b00484ef2d0ba10f839bb3137ef577fe8d,0.475
0x376296316a8cc6d5d62dbeaa39787fe9acd6e891,0.425
0x7c482d493ce05e7365b49fbe84d8860b0efb8986,0.425
0x86f84f893fe22910c7f22cefa4cbfcab5a00915c,0.425
0x5768a7efcd49d65cd489bc7bb39122c2e550ca3b,0.425
0xac4c9c0d2931fa5e29baafbcaf4e5db1ce8a1758,0.425
0x1430d679b872a94dab5e4e0f1049675e471cd02e,0.425
0x8b190a162e643760d91a02fb35dcec858c4e51dc,0.425
0x56db32b4cab162aabd057a852ba616b017a79790,0.425
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,0.425
0xaf71fbb0c52ca5687eaab139a70fed3e44b35fd0,0.425
0x0206c2d3e3ce2710ba77e0374998bb8cce57f792,0.425
0xcd42d7d3e644b50c6cd4d2bf81661c3ba4115a89,0.475
0x97b102e00d88f02debfd6b1e4b901dd6931bb982,0.425
0xc05ef673dfbb15b0e02f58971b2dd9088b43fe99,0.425
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,0.475
0x8bd49e4fda9a108bb490473bf05b3eae5e2c9fee,0.425
0xbf747c64fbe3f23e66704a0a89300ff3220822ff,0.425
0x6a2e67ba646865e846facebf32aeb20f53d9580e,0.425
0x9b85ee94c25294d5e2bf9c9b9b5fa5b58602fad3,0.425
0xc6dca0fdc2b542d98e59a5191d7bcf137a277d0d,0.425
0x59e45131e64bf57e71fe8c86421664337f28e9ab,0.425
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,0.425
0xdac1cf9297125413358b6e58e82ea966ec1549fb,0.425
0xc712c6568c6e1d4405a9add7296485a5795d6d2c,0.425
0xd27c855be090e331b8ebe50197d54ea7b615f413,0.425
0x0ebb46a7958fb9f6d5b04c173a855cdc15cc8424,0.425
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,0.425
0xd89e6a68e12245055332176da383fb3101252a6d,0.425
0x33823986a5c7892298bd794d4cee5f77e7676b38,0.425
0x05d9e2ddc3d6c812083077394212ff10d90be416,0.425
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,0.615
