address,amount
0xfffea7c6dd6150915487e36e7e1498aa9d964ec3,255
0xffbd0080c790231b3d7a6b944d40aa71cdd2bf33,255
0xff7edd50e6a9fbbfe8addd9b6861ca602a3f09cf,255
0xfeac23afeac2052096aaf12559faefc05f395a07,255
0xfe6c17e467329740a12db926a2bcca732f1cad7f,255
0xfe5cc4e2def6c2bfd5a436341684c3db25fc8530,510
0xfdc3bb0f588a6b7a14dd1f15080135026a65e988,255
0xfdc0949846946bc4ff37a5248860081a4317c6c6,255
0xfd525ca646af3816a44ed7939ee6d4f59ee1229a,255
0xfc8599b0c4e9c4541531fa49ba149812e3f10fe8,1700
0xfc48d169488bb14a0846cd9cc7b847d6b035b918,255
0xfc1bcdc4687acf53d68d32391a439259c2398b78,255
0xfc0fffdd6bcb0980e545c3969050ff0c294cca40,3485
0xfb40932271fc9db9dbf048e80697e2da4aa57250,765
0xf9f2649086ee7b171a325eb5ccd497ddd8d9b56d,255
0xf9d68cc949f88ee4b212fdd06310b860f936ed20,255
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,255
0xf878f2874ae784b79e8977b3878267d7b5613e96,255
0xf75c6982767f61a8b16013d19de4b673ff242364,255
0xf6ab67297f2a593d01e51bd72b5781a5fee96e1b,255
0xf69b55265a2b1dfdc97ee55d65a3cbb5d7ccd320,255
0xf665110d5e105eb8443ae0401bd82726a83c6344,255
0xf5208dce1bab9e7811b31addb7580c04a23ba198,255
0xf5021c8c9fdf4bde1ff30c4627ea7ca9460388e0,255
0xf411fe23c2a8d631187a0825dcf8d99b86319bc1,255
0xf35240107c1fbb24e1ed6cb272d4ad5ffcc243d1,255
0xf33ea5b3f0ab05e39d1656d42f475b5a87ed21c6,425
0xf30431d4e31e6e54d9338eb8f54da5eceadc4cb4,1700
0xf1085583b0b7537c4981de8c5d23034f1fcf6472,255
0xef5d789a8efc27de8b06647e3eb353b9ed0f717b,255
0xeefc5ddce2955e7586eb43a8ccd733f10f2d6ca9,255
0xecd15ed1846c329aeeb9995274fbb72b47752d36,255
0xeb5c2c8d59b8f39a49298b1461f9c6bbbb496cfb,255
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,3825
0xe9491a07b04bdad5f06f4963f8fa39ffb48a15f6,255
0xe8cfc17d241d095df0d64b10da5eecda059d1b00,255
0xe83f588a25d81afe15d2845634dbda0344ff2ea0,255
0xe83d3a3ff1a84eee72d1db90b72137cee658193d,255
0xe8094445016c9601b3cc565ac1a2ff9a32899f81,255
0xe7a97a841876c9ec8c38fee297680aacefd121a2,255
0xe6935614e1029cb7c95f69c87c7808f72d6b6d5a,170
0xe643905624879b401672802036043ce2c954268a,1020
0xe5fe2f1ecbe0a4405b9703b52298a9335d275845,255
0xe58563d421873ff6da17f4797c19e1ba62aac5e3,255
0xe40878b2268297282e83fccdbd70e4e23afd3dd0,255
0xe36587a9a611a4d5726ed35038cbfcad37f0eef1,4462.5
0xe1f15eeb1acd066004e9fba526446220ec94bbf8,255
0xe1c455a5be9e80fb7b66c8f37508b885082d8125,255
0xe1323239bb04e1ab97b5e417e1ff6832f98e7a47,340
0xe0d5c6ddc8cd4a98879475a5a987c2f6e6eeb28c,255
0xe0c8b2ce5ae4ef06676ada859864690ca397314d,255
0xe04ab56804e451461ed56d80e117c4cb3501fdea,255
0xe023cd0f007e2689f90cc90ffd4ad1ad43ca5bf4,255
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,1020
0xdf6272b4783a7a3ef3de1cab0403320777e4a0d9,255
0xde13bc4f13142649fcc6d94f2ecbf5af14cd66d6,255
