address,amount
AaA1YoWKFyH9vaUduzgawYY5rNpZzGT4qb,1785
AV1XHEYNSJ7wb6fGa2kHFoJUyoGwU67cAM,765
AQArRcv1EsFAcbnUcwWqr1K9YvoyuiMm3Y,552.5
AL8so8cUWapjSfMiwD7qy52fBGcBTG6XVe,1232.5
AdBr9zh5Y7AW6ZgQBQxHHhWdotdts4FmD5,255
ANUAP6coyH1kkU64YtR86Rs1tU7MbR8igw,297.5
AXLZfNxbCVrC6Y6TjicwjpJGpJxXwzWS5s,1700
AZ2n9dTkWYfLp7UfaVwVbDSVbkUsLWeNfw,1360
AZVofDoyyeaw2nGrkEaJmRwRnuY5J3b4xj,680
APRJziFeMbLEXaAhng2efVpx21fp3iNnYk,127.5
Ac5Qh1Ev15s6BKLCd3X73n2QHyMfKpg2VT,212.5
AHP1LSSViT4oizdCRWFq6HBaMxkoDpmbW2,2550
AegexEqMdjjSpuFYGzwUPPXqNmCZHH1hrh,2550
AXCa4TEsHHv2pUGg8Fpq4D27Pp9peJACkb,2040
APLY9JaWtTH9G5FbF5akLnsuK8qoVxjhPe,850
AUSfWTLzoDbyDFwUwP5iPrQiDggZznN3Td,85
AMeRvxgi24m8e8xTEKhwNbkT6hZ1PG8iza,1870
ATBZsir8UnhivUJJZFgELiJuvbmfRnd8NX,552.5
AZWyHz3MNKKiGJmDxjiUcP8jPbU2PXi4rx,8500
AQjeeeAMwXtA7annp6Mi6L8inHh3rvPcub,1700
AW8KCT93NK27F3WCPmeq3gRd9iXrHbtGKB,212.5
AZdLegd2WZB2EAbcxGv6nCWTUFQVkzNpfb,297.5
ASodVtNjbhfLbZdMwXy2nqf9EZ1Va5HCWY,722.5
AKx7Tce8Zw95EkUYpDVwWxeW2meod7e9KC,2550
AXX4xCJZLDKtxi7QLPtMtsS9AFyXnYCiMZ,2550
AZuzm2bmC9DXACjiDZvvdc1Hi2fDnVqb5Q,85
ASXC2siUbxLtabNBYS1USwegixadXWPjEc,552.5
AKtFsSLw7jTDX7nsK8F5jkbDeM52YhbxDP,1020
AdL5daAGqmgabRp2aWH8QfGiNENqZcxQ4A,297.5
AYoLVQYsWGyQXQsdYvwRLL3o1DpzuaynZv,297.5
AQVuwhGw596jTLXotenLrh3HAhtyYvZmKT,3740
AbzBjYk3kxvdNpte99xvM2KxbuuZk6VG31,3910
AV8HtQSAJCd7VpeQpwohxBAQVY17ftP26s,2805
APxpwbSv4AcfqrpF6Qt1SzddPb2Ms9Wkgn,1700
AL11xB12xPysvVf1BkpxH3RLSY8R2WtwFd,170
ATqEeoeaNjz41McdFnH4pEL9ZpnLFfW35S,1615
AdXVK4VN5KT1J4Eqt6NCbkuurYdLMfbR5m,42.5
AGsq8ZXxQfcycLL9RCLxssqkavLS9XLq9H,1700
AVTMa1bJvZBhAsKEAX6HmUUXESeLsqoX75,552.5
AQAbzCwWVUsqczG1rE2PXoWsgaZntTVTFM,1105
AHiaca89WhTpzBnXTuj8Xf57jit6FcqQaZ,85
AeEZihyBBr5nZCd5eemvNxcnMHQKSeaF7J,297.5
