address,amount
0x0005294874f1b715a41375424e3794d723afb0c9,5
0x002cb3488717508c9e92a07e8dced8ec16183e1e,5
0x0032f751b62d54168b87fa17cc38edbe59943b9b,5
0x0039eeae8b8ba907a9977c6a196c6ea516b666aa,5
0x003fb4a5a9191311260f2e5fcfb8001dd697d132,5
0x004c350cd1ab72ea28cd6c47935b5bb31f64a928,5
0x004dccdccd989fe30ebb6abc304cebeca438fa2b,5
0x0052eab1fb596d03f76eda15f651ae0b6d07b2db,5
0x005c63ce63bdc97c3b01fe8527b56a7a849411a8,5
0x00635aa06bcc785f5c182c1e52c4d611bed1102f,5
0x00635aa06bcc785f5c182c1e52c4d611bed1102f,5
0x006706b3aced8f9c82f45055521b875be51da06f,5
0x006db1fc22c6407916fed58fff310e45a11e8f96,5
0x007990ecc028f0f126201758dd2d80ea6fa9c82e,5
0x0095869b772b11db53734e6afdabdc42c52b4bbf,5
0x009775c85a85838ee0059078c19016489cd9982d,5
0x009c61150f8ac88c5ed9ab763d0e86aaa5f3aaeb,5
0x009f85712bb65c31ee7e34417325bff18083ebd5,5
0x00aa57ee63d2cf8314f6f4e98509f6b79a9d7b87,5
0x00b76f17a61452e448f0ee0987aec51d0b85fb93,5
0x00c4bd9f762496438a5d1961ce71b31784a560f9,5
0x00c6fd237ab4e1ed635a50617d97ec9bc6c9e8aa,5
0x00c8a3dcc18b7d8fce1ad1288b0eeaf3c4793d76,5
0x00c8b0c65b6c551619cb2f7e3b574d8587699e11,5
0x00cfec1840d473f177fb46c444efce7b5aa0a6ce,5
0x00d27c3c190f2b1a78e2e966231d63c0fe254c02,5
0x00d383c7495e1d6427181fd78ad29e4cafb63788,5
0x00d4cc458fba4884a66037faeedb6eeecb64a6a0,5
0x00de24828FB4f30D12c53b970D266B9e7b91fd6b,5
0x00eb2724041c4bbd37cd0394ab2598a36d985772,5
0x0102a5c3c0af9e9d80eadadff21350da2d3f113b,5
0x010bac92d3718e181b1e7a974c53e2ba468e3764,5
0x011125f299fbd00c91571f93dfdcfd0795e02691,5
0x013468f4b017e45acaadaae20acae009b76f7d3e,5
0x01647edfd56e7ff582046626760fcbfa67cd730a,5
0x016d586c21ecc25bf4871ff1e8fca89aa0fe3bcd,5
0x016f7323b2e226b13254524df37e105e0ad21244,5
0x017bdbd3a5fF762BF470d6B81dD49b457A68e33f,5
0x0182f060c562acf6a15f8d5af7e2de0bb448ca78,5
0x018a8e97e6562513ab18177d1646fc31b164f2c4,5
0x018f766e67d5cbda5aee680f20303445247291f1,5
0x01be9c01949bedac40ef0b1b496c6b2f62060e91,5
0x01bfd8b209bb7e41c5b5712a4e955bbe0d754c8a,5
0x01c2ac6f36f102e31510e02e1a5d457992951855,5
0x01d40b55d853f8a767ee2e370ba139cbfa16cfae,5
0x01e34d43514286fa4fcd94b058ca26263c574bf3,5
0x01ea20575279d521f21301babe7d3c29726f1030,5
0x01ed60bf9086d1c7f84a9f42a88d00927b855629,5
0x01f4fd48ab8f3df6dd0eae51b9fd7650098a633a,5
0x02024f044344ff2500b98e8cf209a14edf944e8a,5
0x0204d95e74161dc334bcec4b9721b294682df974,5
0x020984ec66d672e64cb366285a7add76a65d8eba,5
0x021d5bf62f7449d7b4111f73dee55089f6bfd20c,5
0x022af712d713663aac51bd92b2763050b5e68a5e,5
0x023fd33df4f8c31d044c562c011414ee648e8f08,5
0x025dd86db0832cf875db3d8b2d081208d053aee8,5
0x0272257843250bbcea46a7070027e101a33b02e1,5
0x027853bbe05b015a70a86470b7282372138231e8,5
0x0278a964acb4012f303e931c98503cbc7badcbca,5
0x028ea0ab2588ac4915b72643e93c6e2dbc6ca024,5
0x02ba179500d1f0b4467112ff6c90cd09d7accde2,5
0x02c1ab66b5a448d3da7a7b5dcd7deff7d4b47151,5
0x02d3205d5080196e4ef93a9c4691e3856809e2a2,5
0x02d9ef6ebc64851577af96ac943b3772c74fd068,5
0x02de7629a4590f575c559553735820d2f55f0d96,5
0x02f34664f3b88cfe6fda6cb7434d1bac7037a82b,5
0x03344112db51d562212f9dd52de6ae74df386633,5
0x035825d26cefd60211c29a18d78f946986f8f222,5
0x035b05ecd7d35e640ff7c70e5e3a02127c74bd2b,5
0x0360c3330cc7b66013af2b202c6145c9e1966dcd,5
0x0364e4d310e73f9efa39ee3ada403d36c1f7fd9c,5
0x0368f582884c425401608fd793e35b58dd49e357,5
0x03a9feb93d706d5f997d0347416f865f9e0fdba6,5
0x03ad61148debfcfd60b511ad2cbfd7383132f26b,5
0x03ce57c035831a44b8fa77225aa9876b7d969978,5
0x03d8b1f65c46a96f118f11959d7dfc26f2c8d091,5
0x03f85b4caf53a80748853578827995517456382e,5
0x03faa3dbdf456e6463bcbc193a2fc703852e55f3,5
0x040d75cd374fe2aef1c861057290be72f7df9f83,5
0x041898d37af5d3c1a9fcdeb8914968b49af53072,5
0x04200ba7da3df001e052f9659227ff679b09c387,5
0x04295f1c6459ccd65c6f7589aa3c95840e8e32d2,5
0x042a5d0eb117adb4748209d6d724a2963ce213e5,5
0x044ce3d8173418e2376429e692ca27733bc05396,5
0x045d8d4980612583042bfdf251915bb7c5fdeb43,5
0x045db72b022ba3c8c8290641484b4fc65642aebd,5
0x045e4de3aa74e5ce422ce96f77b7f7414b0b8e3f,5
0x04685e9cb6c3e72ef68e281859e78f6354f4218d,5
0x046ca15f810af3d30b828a6ae4bf21cf7dfd5e41,5
0x0478ca380aa7630c09ac4a4579451215c5aaa8bb,5
0x047fd7058d2f43c47dbe4badb4816a52b1b3fb1c,5
0x0483470c6445f6d08451d6cc074c24ea7b512faa,5
0x048511e69064a5850b8f2ca039c000a5556f07ab,5
0x04998fc446f3086951cce8934f747d2548efaac8,5
0x04a8e7cf2220c6696d6f77843963e774ff9f4564,5
0x04c6aba17f41f96c8785ffc88edc530347d1a993,5
0x04e7af0bbd99869ff1096a22e40302dc75ab9891,5
0x04f15fced292fda22bb4406ebac26db99bf9afce,5
0x0508975d9b3b6724329ff6ceb25614011191c261,5
0x05144b6eba04f846513c4e29812722f9397ee30a,5
0x05296cb17d64b0dabb7e7e8793d878ffeae101f3,5
0x0534ddf1b91bb594583ae0713d981f0da3351994,5
0x053bd4a632818da3525601239df1069acb61228e,5
0x054889ded798fd7dbaece6e26bd0a45472128cab,5
0x055e0fda5cc87fe489b167346369b2e4dcec9ec2,5
0x05634323767befe56d1d917a15b4403ce64d7505,5
0x0570d6c126bcfdaf23608974e76064ea4652fb43,5
0x05788858ff62fd0580b357c7da60849b2df734b8,5
0x0595f1779567196d712a0d711897fa965458c5f1,5
0x05abc2f90290a912bcec3a202fc0bcf71aa80e24,5
0x05ba065aeca42c0afaa092a5c5f645a970e20731,5
0x05cb7361a2867db103912b7f6d7ebb61d54ead3e,5
0x05cf5f4935a59b8812b161c6028fd6d6c13dfe8b,5
0x05e5b94a0bbd56516d8682be92a5234760a29885,5
0x05f075d88099ed623374e9e35520676b13e502e7,5
0x060d8bec5210bcfbedc29f08bf2729db743676de,5
0x06175b039fa78c1e82d9bda349726eaa918db45c,5
0x062a33da2845bed08dc7a497476af583f3a1aca9,5
0x063b9af8660b303022d01e76f6d6d055eefb0623,5
0x0646ff0cf8132fb08335c7669a3973937193e39d,5
0x065ee14e688dc4a0ef6323547b988e6a17c71f7e,5
0x0681d8db095565fe8a346fa0277bffde9c0edbbf,5
