address,amount
0x28f85e4d52979103e6d9dabd25cbe0bf54c1234f,59.5
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,136
0x9c8a316bc4d1e18a222bede1edc4899462e14ec6,6672.5
0xc411161a8b24eddc670a0064faf2d88a64d73d91,3202.8
0xd745573cdaa82965cbb032ef617cda3d2803b5af,8.5
0x6e272ad56ec5f2e8d41c96bc18f1896cdf7242e0,136
0xd957c5d690fd65c0feb7c29683f353fd13276f25,51
0x5161e1380cd661d7d993c8a3b3e57b059ad8d7a4,8.5
0x07b9e9b974623dcd9a246afcf254b1c5f348483c,34
0xc5291f7c8a44ca0198028f9739916d230edf747b,8.5
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,2380
0x21c8e3b25c0d9054bbf45a16ad93b454e5e204e4,433.5
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,1700
0x38abfbb94263000355ac94895ac1cbe67a9f018a,1183.2
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,1360
0x96e95a1f40cf5a50178053740ade18046815362d,807.5
0xd08f451b3442f2e106ad387d97b1183bd7afd431,2125
0x13d2a02530e987f68b9df14aacef417525547410,2944.4
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,1258
0x5863878063b862166b7bfe17dc3eb8a15852fb45,34
0xe0cb25989ba2c0662112e43c2bfc43049e753308,34
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,9421.4
0xcf069b8352de0bfe1d8c570fe2dedea74d328b5f,8.5
0x2b3d820cab9970dcadbbbb667e012b927608d17c,3891.3
0x26ab1e9faab9aa88fc1277b17958f09ffb713400,8.5
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,850
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,4264.45
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,1144.525
0x401dd27f35f9eb023f722c16370205267a5e9731,8.5
0xa7568a767cc138114341a454dac6e03e2ff968fc,2125
0xa39f29ea0933c9016994c2a31d10b572b466df0b,2125
0x3d238fa063bee0238cc0f102c9faed4d4571d36e,425
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,2142.85
0x1e816d953862e614fdf7e86220c34fb30a3ebd34,3850.5
0xccd134d0ea10a8a92657982567491b0b28288aaa,93.5
0x522a57a9267b6a54dde2f9a89863304cd0391827,4635.9
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,3935.5
0x50deacde18e4dff71956519ce426471cc35a6059,8.5
0x60f6d449f05d5f54471c90a5331345ca2d0c9ba9,850
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,1285.2
0x769ee350b0083d00e0e090ed7679188dd69ab8a2,204
0x54c4a1eab017e425fb863a92a1a99348d942fb31,901
0x3458de0096ffd750eef057347d02cc695dde2673,28.9
0x21cad1ca86876741be7d355a9e7983011d93e4eb,8.5
0xdc61e516d02204e27509fc8cbb135da2439a3967,1887
0x909c592080a8ee273f5c6648d874e78c7ea94a56,6.8
0x8ce09fbb2439a63043c91b1e1bbdd31a47763b6f,85
0xe8c2f7302dd8dadf5a1ba9f4c28b5b10428fb7af,74.8
0x63024c26854517257ff15e58c7b4cf5b4482b026,119
0xe3829ea06ebe16fd68a0fdfc61464a767bce9447,10.2
0xe80758ba730e9bc6fd1a1b6071cd0fe03b205233,17
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,9382.3
0x107bdb48ac4401be6cbbd7dca364d13184222bae,350.2
0x103f4523dd640e18bf9975656b5c8c198ab6fda9,221
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,3740
0x57863155e9e46c9b8d2422a8aa77435e1ef7fe15,136
0x901be73c1197a761fd8394486df4e9da30786a56,8.5
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,3740
0xbba7a6413a5c323b867bf8e91faf47df06ae95de,1402.5
0x70b02d35d731bb8db768053e1f40c3036afdfaba,938.4
0x3956396472c96e04925b7a416f0996ce5ed30645,79.9
0x9d83c58297b6307a4c62830efe16da9470990f7a,9399.3
0xb5158273888ea2372ca4b7206c7854e221045ece,8.5
0xf12a6c891d413f87915657b9ae383bf0c2be0010,8.5
0xf56897294b4108d1e711ae05bf5403a6c63f07c7,8.5
0x3f67688ebf07286f03eea4594b365baf63d4f00c,148.75
0x68eaec20871a7825539432f9447b9a341ee1d21b,51
0x827249b18066c2b611762952adec33a5a7779ee6,3.4
0x542b8b2c0c430dc8bbe363674fa868ae6b3b20e0,1377
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,1581
0xb4c91ab467c137e9d7c18e2a349b2f8555e95754,714
0x872ea27042dccd394d140859bc485005a6234257,85
0xc4baa22875102821bd01f572d63679f5f1cd8046,467.5
0x2abaa959113c0f59f9e6071e3182ca9148ebe239,137.7
0x2abaa959113c0f59f9e6071e3182ca9148ebe239,8.5
0xcb9c091473ee73e8d61bb4b0fab4ff2fdd1ed76f,1700
0x0bee04e8ca453e99c343f993a7bb1317b1e2717f,20.4
0x10501fd47cc5f9733900b9de6beaa9e66c14ffe5,2975
0x4ea71d9b0a41ac87bed08ba19ff2e47a57cbec1a,8.5
0xe4924a63c14d89c61c2c3f53756655fbeb050acb,8.5
0x9b488714b50e3881e00d8456656555826ecb098b,119
0x34ba228704864d4627b290edf32486d2da367fd1,102
0x11666c87a7fe20ea94899d098a1076626d35b0f6,153
0x1f17da86b7acb407e440e532e62073e92e2544a9,42.5
0x6eb2a22a11bf1ec9f2329a9569aabde96b0bcfd6,374
0xfa2b2f7ca73fef1ab863c7fe236e522c081f8ff9,3760.4
0x3e3bc6319c0cf1a830fa723604f991055f2a3850,3.4
0x5b53e45898514dd137bc1f6dfdadf8aaa4617700,8.5
0x4497189a9414a16e9b8da29e110b18a446880208,17
0x9afa71e6e92fd97dea996848ff73f83e28b549cf,204
0xcb36f1dc1143750f34497c774314226b829ac3de,204
0xced9d737989f82902a2ad61b66575af23f7345ac,656.92
0x66afdb077e5508230baaeb42940c9b2e46d20555,59.5
0x7c5dccaee1e2f103585acfbf72de8e19592c091c,1645.6
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,3094
0xf77a57965093dfdbbf333892c41f8a06ecabcf8b,8.5
0xe6c6c87a3c75bffb74dea8553ab2109090046634,212.5
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,9428.2
0xa5135394d563e323e83b5c1b097acdd7a053b40c,574.6
0x52332ec46bbd2d600dc00825583576b9483eaae9,3867.5
0x52f4e75fa55e39b9295ab556b7b273c36e7ecaed,8.5
0x5feb774fc1793b20e7b031764d33819fdaf6feb2,153
0xc9e969f4f4d1f9bfeb9d34e789aa1a84db0d6794,221
0x28b460e553ce81ea5ea5407ece30bba3903af23d,3842
0xacf5928c5c4191ddf030ec3bfc80b08a8348f650,166.6
0x27e12c5f1d315a75337190e23fc85d1590156d30,878.9
0x4691fb5560bdf4fe6292e72e1928c9116e2a574e,74.8
0x25f233470ad72b0f5423c221173aba3e51345b1b,119
0x888d1964bb7be8c18c4ad550ebdab83103e02fb0,8.5
0x966edb5cbe2027dabb9e9c19b4c4811df2ea19b0,1224
0x5afb592c8406515ea9459fa382eb77544c9e883c,255
0xe99ec2bfd1293d7df747d086b3a286c6ab2f5220,17
0xf1d1c9434f084972e1b7aa4523d621ef7cd4d0e2,51
