address,amount
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,4881.769
0x96e95a1f40cf5a50178053740ade18046815362d,6973.956
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,929.861
0x13d2a02530e987f68b9df14aacef417525547410,3637.396
0xa0ed53f726f9374275287e57144317764eafef54,139.479
0x2b3d820cab9970dcadbbbb667e012b927608d17c,348.698
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,103.926
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,2324.652
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,2520.196
0x554c3689d9ff54b2fb53a00720e68816932f381b,2324.652
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,2092.187
0x58bbe0580b4834504027f27a2c36d83cba53fa40,209.219
0x522a57a9267b6a54dde2f9a89863304cd0391827,233.833
0xa885c5ced05658736659a7e525dce52975a8d62b,1278.559
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,1627.256
0x60f6d449f05d5f54471c90a5331345ca2d0c9ba9,1162.326
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,2324.652
0xdc61e516d02204e27509fc8cbb135da2439a3967,348.698
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,6973.956
0x725f266a8844df35d87a33d5ed0525ee5783bac1,92.986
0xb5158273888ea2372ca4b7206c7854e221045ece,139.479
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,46.493
0x06575fdc938114069e22c31e2125520b036a9a0f,11669.752
0xc4baa22875102821bd01f572d63679f5f1cd8046,1627.256
0x590cb961aff1c2fa489467e81af2bb08b802a402,464.930
0x60c4c2a46979c6aa8d3b6a34a27f95516ef4e353,1836.475
0xa647e0cd575086403bcff9bf708e85539b13eb81,92.986
0xcca385be21b94fa1254c8b5d7045cc568a520586,5456.095
0xa5135394d563e323e83b5c1b097acdd7a053b40c,545.609
0x52332ec46bbd2d600dc00825583576b9483eaae9,348.698
0xa88ab9256b1f92b66f7c42b2e25cc39559d3cb14,1627.256
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,255.712
0x93cf58d7c486898da4538cb9058772d92d43b1aa,3169.731
0x687bb2865b1471bedce6a49d42efe4db0114ed9a,4742.290
0x00b6652630e49d741db460e2757bed6d97dd021c,46.493
0x048054f6e13bb29c6453a12337999faaf8ebd72f,103.926
0x4ed3139afa982ea57a1fb3377be81031802e300d,139.479
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,12343.901
0x1ae0e5c47969de57ec56f6940eb8537482cc9095,5811.630
0x00f33c3bce1b479bc7ffacc986badced8b2d7cad,371.944
0xee3c8a3a77be81415d48dfbad8939f5a6fa90135,46.493
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,1627.256
0x38c271c9fc3a0e244a752b25a31d93a63767d567,1766.735
0xb3642c12273dbe50bba5d2df47ead9500c6a0dd2,4881.769
0xbf0c76ee0f726de3174dc40bc2fa39dc6260122e,1162.326
0x329f4435e0f22899b733756c71aa12c1004146b1,69.740
0x066fb187404feee6ee7f6cde21697cea1a89ec23,2789.582
