address,amount
0x7e3b70879b490f6f0f39b237d8f9fdd248539973,34
0xdfb732c3955d923d522a86cfee937026a43f63a3,34
0x15303c7c4bc91d50c97591519582f2326e7a3d20,34
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,34
0x8331b95e050690240743b53830eb30fc3b2ba647,34
0xf620587de38550664b38463a4668ab8ad9ca7d1e,55.25
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,34
0x36e729b3107762e51dde266e11803dca28bef030,34
0xb3a3598cf265f1bcec212ff901b22b1841f13fa0,34
0x0a761bd040783ec52ffb5eb080bf38fad2db0e67,34
0x70b02d35d731bb8db768053e1f40c3036afdfaba,34
0x4a8291d5a5102ebcec30987ca6e356d7e0d565e0,34
0x2c3d7ed55979077a046666cb846e7435ec7d49d2,34
0xfa65e65a6321c37486972d71b3f50400bd43f974,34
0x417315ceed17c035d82e06942974b6965eb80091,34
0x46f35d54a5973de234a4004db3d3bbb5d8d5fb19,34
0xd96dc5aa1bd40f6d41f99ac0e145535523aa84da,55.25
0x7323782438d68e885918c0f5d31cb26d148b8acd,34
0x5732c77cc32b95b514ae81fb3cee961f51bd3118,34
0xe7eed689eb3b47b1959b0f66307d91a931fcd0e3,34
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,55.25
0x10b81689c84823dd3a7fc4e0369f1a24cdbf7fd7,34
0x8062e69af89430d0749697cede9614cda80325e0,55.25
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,34
0x1d9df24553dde4c8fc0baa59d96d6b036dee7bbf,34
0x615d5ba85aa09c408501e1519bf18a0e72092c86,34
0x1bc9b2bd6073b65ed19a49eef8f4ec50bd584b87,55.25
0x5c741325d0e37b9feef9e0e5edb09f5db9e5264d,34
0xe2a7232370404a87de41b24e8c68a9d001276094,34
0x80c31388b6655a07eb5f2df8050a3efbdde26207,34
0x7624cd50dcbc3df045066ab578188a765324d61e,34
0xbc83559fd9817143a13badddf6cb5aad213d865a,55.25
0x6bae68188d83f01ad5e2e5b4744a2ebb4f68db2f,34
0xeac03070d0092c2d4315992aa4f949894bc91487,34
0x4764c04309372aab9cedc7f19606b2e16a39e5dc,34
0x57fe43cebb9af218f88a386bc7e341945706f84f,34
0x4e62eb0c07564208753a1554990f3a2c21131134,34
0x7219738d11ba72c0d3343753e7a7884ae5f45f33,34
0x0b98a5dc716c9a41a0e8cd9b1e5bbec607018493,55.25
0x75fb57291d1c90398ed85d37de829f06aacc7587,55.25
