address,amount
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,2125000.00
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,3825000.00
0xb859a2edf382ee65b7e2fbf92a91513f3adf8743,1700000.00
0xc2c3f13246a6e04bd4c1e0cf58bcc31e0bcef12b,1700000.00
0x96e95a1f40cf5a50178053740ade18046815362d,1700000.00
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,1700000.00
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,4275000.00
0xe9f659172d39c54ecae31c5f2161115c95a557d9,1700000.00
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,1700000.00
0x58bbe0580b4834504027f27a2c36d83cba53fa40,5525000.00
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,1700000.00
0x0555cc1f7f0976ea1e020047f6df51b06778864a,1700000.00
0xdc61e516d02204e27509fc8cbb135da2439a3967,1700000.00
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,3825000.00
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,1700000.00
0x1607c4dd0ac36bf7759553f07af76bec44976247,1700000.00
0x0c70a54bcfd25c6e335cab5603fe931121d3cb20,1700000.00
0x3956396472c96e04925b7a416f0996ce5ed30645,3825000.00
0xb364eb3d6c8e02ccbd5966d23ad9437fa8a040da,1700000.00
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,3825000.00
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,1700000.00
0x334e082ba2b627b981fb7935d345913821660883,1700000.00
0xacb35943f9cfc5a170017cd7fbe67799eb568c0e,1700000.00
0xa647e0cd575086403bcff9bf708e85539b13eb81,1700000.00
0xec4955739957ee391b6b3bcb5ba386bf42507d00,1700000.00
0xcca385be21b94fa1254c8b5d7045cc568a520586,1900000.00
0xbe8387f6e69dc5b9f403cbec2a9bc8a6e9d2df4c,1700000.00
0xa5135394d563e323e83b5c1b097acdd7a053b40c,3800000.00
0xae32adc07bacba04b356d8063fd0ee0dd2caf94b,1700000.00
0x52332ec46bbd2d600dc00825583576b9483eaae9,1700000.00
0xa88ab9256b1f92b66f7c42b2e25cc39559d3cb14,1700000.00
0x93126f1eddcbc4dc62e34ebe70e765259b842300,3825000.00
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,1700000.00
0x28b460e553ce81ea5ea5407ece30bba3903af23d,4275000.00
0x4691fb5560bdf4fe6292e72e1928c9116e2a574e,3825000.00
0x42ab6a8813a00af942714870327b4bcb71c3d871,1700000.00
0x5e870b8c04f2bc246c71340bb3f7dc3ae95becfa,1700000.00
0x011305a6fb1e6cc7c9f5b0ec1bd13308445c23bb,1700000.00
0x4fee4075c4c13cf850592e2f1c9be8acd7e8a1e7,1700000.00
0x6cf70c4d4517a107614b75611c8c67130e50adc6,1700000.00
0x4ee0b5dceebf3eb0a97f476f3658f158df63e53a,1700000.00
0x213d9c4fb38329af0d63d8982a7c54258df727aa,1700000.00
0xa2ef3caa37659d3e0fa9dd7488909a413e33b02d,1700000.00
0x93cf58d7c486898da4538cb9058772d92d43b1aa,4275000.00
0x11129c98a269742177141de456733e9f977f81d4,1700000.00
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,1700000.00
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,1700000.00
0x6d8e7a153f61d91593a28596c4566e4f5f41a925,1700000.00
0x943fba84e1d109c66ab2e2059ef00da3a75b2512,1700000.00
0x80166ef38a42a3c5d565778b5178eb4cc134db21,1700000.00
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,3800000.00
0x6995480bb8144c5e59c3b8c45bcf6fcb8a2eb5ce,1700000.00
0xd894b25119f39aea58d786329619f0f564a99a5a,1900000.00
0xca768c2323c7d04cb2afe8e1c9d602341508013a,1700000.00
0x11d5868a4c940e94fe1ef112066a562e514d5961,1700000.00
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,1700000.00
0x96f67b90a313d69b4bb8a54b6a3d38e9612aa70c,3825000.00
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,1700000.00
0x15a3313f8efe26a242327ff343619c95b07cd112,1700000.00
0x65e72cafafce1e0aac8f1d3f24a0e75bf629552b,1700000.00
0xe5d7c5174ef6883ca4bbed95c88424810782e4c3,1700000.00
0x40cd44571d014990da293f6438619e507335f92a,1700000.00
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,1900000.00
0xad1f27ed67363342d090f9be994ac849bc3e62b1,3400000.00
0x693790ef7a20e805a24ce9da6dd608b57194392a,1700000.00
0xb6d27716a0335b07e2f0ceb512ed31ba7195daa6,1900000.00
0xad8073ae3aeda481468143ca12257b9c6ed3d9d9,1700000.00
0xd60d90acd08d2343064d0828d4fdbd1a9391a19d,1700000.00
0xf92735fbf19aee90b89e4df028341f02b2fd71f9,1700000.00
0xadd7efd88d0833883bb60f4d5ce7274838bd01ab,1700000.00
0x957a62ba1fe8fb2c143ff2c934293985ef509331,1700000.00
0x29fee80d92f4fd6ea74ab5e4d1df324f3386deea,1700000.00
0x27896bf9976b4d1aea4ddc24280df0a2be6d675d,1700000.00
0xa426e724260f01c6cae176c5ad5c46077b16e0d4,1700000.00
0x09f213953d92f865b949b3e39b9dcfae687d4966,6175000.00
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,5525000.00
0x17172a869ad685cb24f99b3c0982065909360823,1700000.00
0x153421a5ec98702238c5baa8a18b4a53fc059d41,1700000.00
0x818c39aaeee8e7e719921829508e033ddd01b3aa,6175000.00
0x04ffd5fc488d533525873ac42c08541d723d1df5,1700000.00
0xac284ecdcea995fc433378f91561876da2a7208c,2125000.00
0x9e93d77a1164be2113acba90f2a2a3a62a3ce1e8,1700000.00
0x64a53d7a2c6785ccaac349fb172c0f85c50bc0bd,1700000.00
0xdebdb6d731d9e4bc3aead5358ea09ffeea2fdba4,1700000.00
0x93b311ddbe6fa743b4052b9add9203b2eee7510d,1700000.00
0xdd8804e408a21dc344e2a480dd207dea38f325ce,4275000.00
0x26068149a4407ff264937f181267416b3f729e59,1900000.00
0xf2c38389029df15bac7d81c9959b67787218202d,1900000.00
0x1b4d07c5388129ece609e69a701ae4007ec0d660,1700000.00
0x5e453461a7a9d7bbd08af3d6027ae82f7297f516,1700000.00
0xa73ffed36bc22ba6ed70bd3878baf54db8ad767b,1700000.00
0x51485fa8d8cc9e23966fd90fc6405ef82a85e246,1700000.00
0x33152b0176dd5b08b523838fe5719e78cfd5b63d,1700000.00
0xffb9de14f1373d60ae5a5939a1e8534a512660ce,3833500.00
0x26d1284ce3eb8ff3cd90a882378c8b4c3fc9d1aa,1700000.00
0x8af76bcb6dddafc088c239eb118355feffcce0b2,1700000.00
0x90ba6feab074c62c1d16e1aa635f100bda45d3be,1700000.00
0x50d1f2a1767d6adc6801ce7f303944eaa7321af3,1700000.00
0x68cfeb54dfc57f6418fbd862a3164a5e63a1a4ad,1700000.00
0xb91cb4a4e0cebbed0c76d63843fce7c666825f0c,1700000.00
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,5525000.00
0xe07673f8c895348fbde720dbea0a967eb1c72f60,3400000.00
0x5d437063ab4d1f6014832dc17c5166bc8baeffb5,1700000.00
0x19d6e982e884fd8006f50dc3a306bc11b2541bee,1700000.00
0xf69f63c49897c0b0b131708a1c0a9f59d08ef546,1700000.00
0xbea48ed996bd35296886dd1fa7f14c455b77ccac,1700000.00
0x965c76ff9a5550e5b015f6e224392fd2a06c0239,1700000.00
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,1700000.00
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,6175000.00
0x5b6374158552480655ca082e4ea1135f87d3bf47,1700000.00
0x5c216d7f402b3f41eab91df35732c8994348536f,1700000.00
0x334f03ebaa3b292b4caba803f10e515c5165725b,2125000.00
0x514533011d165c0f503815fb684fe73005cba7d7,1700000.00
0x92caa9016b6bae7a6cd5db082d5297a3feef8517,1700000.00
0x10716aaffd2097228c78fb8a7d844eabc85497f5,1909500.00
0x2282ecc111b7acabe470053d4a09472bc07b8d00,1708500.00
0x67d23446aff47ed9a0eac389cce3ef5f12102edb,1700000.00
0x6886f33bc57019890ef08a6056c966b5b8fc1676,1700000.00
0x466004c92903b61a2fdd1084ea1a58d2a673d5cf,1700000.00
0x2479478c31a50de37fda3596f92ed557f28451a0,3400000.00
0x2b7d057551c4f2f757cdedebbff5255d8c11289a,1700000.00
0xbd679cd7d85620ca626e49a3e1eff3c79a3e3f00,1700000.00
0xbe3e35e943f62c8fca897d1001b38cdf7336b6f1,1700000.00
0x9c8da3f07c1e1364955f4fbdc6d09fd1a0025372,1700000.00
0x011f7c667b94d5e2b3e420a43ef397a8751aa3c8,1700000.00
0x4abbc8e0a12e36eff26d8a1afb71520297145a9f,1700000.00
0x9d7ca865a13d8a7a4cab2f1daabbb08149881806,1700000.00
0x94d1879566ec4ec338e34aa151fe250545068519,1700000.00
0xd54157c473ebc5d22fc351a315d05a56e9f12e8f,3400000.00
0x9404411bbada0c2ddd9d855cb54e4921897c93fc,1700000.00
0x43f93503a26358e8069ea25fd92c1c389d0b2c33,1700000.00
0xb200ac08b491345da6663441cbe1732cb6268bf7,1700000.00
0x5d5f944b72d48e60fe5f43dce888bffda40da33e,3825000.00
0x79e00893a8cb0589a0957b0e2fa1f7e7f59ced35,1700000.00
0x4dc65f1f485d88d99a2fd37141c782b6491896eb,1700000.00
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,3800000.00
0x85b0397e11a50673919c2fe04bab65db4353a165,3825000.00
0x8faec06879b2bf88c564c9ec23420bc857619be4,1700000.00
0x55ac30a569805b93f6dd2a286e77894bfce4a01c,8500.00
0x85915e7c67ae089ea951bd64cd216152554693e6,1700000.00
0xf5b35cb4100c907f35131858200434e92adce9db,1700000.00
0xe2576fb4aad6b370799ab53ec1b0d49b76a2d5d5,1700000.00
0x098b987a34949ed61e9dd99ebc7ee926e2352956,1700000.00
0xa27150be5bdd61ca992b3f5aaa4ee492c3960d63,1700000.00
0xbda02bdf817d45be94bb27686f0747467343d40b,1700000.00
0xa0350d547d28f88e443fc835816d6a58a5199b2e,1700000.00
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,2000000.00
0xd5a43644f7d718d0c81c54628f38ed88dee29332,1700000.00
0x80d1c0b8ea4999a750239123b5b198cecadf1fa7,3400000.00
0xff14ce4c9e8e2b9c30abb7da622a793f8eccbec8,1700000.00
0xdc095599efdf27f9956b1afb9f976171e69f4f46,1700000.00
0x7681ed0bbbcd36b55d98d911f97ccc0ad2eb2174,1900000.00
0x83f12a8dbbf4886c97741c1de9e09f7a16d30a3a,1700000.00
0x205efe6d7a2bd0867492a0f1f00f68e16a71ddaa,1700000.00
0xb16719bc309cbeddd638dc01bbf22dae9be38d2d,3400000.00
0xfc18b213c25f97edc0ab9e465c09c42df4b232d2,1700000.00
0x169a6bb7f2a8e4df6abd410414a3d427ba1e2f25,1700000.00
0xd586faa55f787518b0feeff12788f40ca7d01f74,5100000.00
0x70ba4c92ca2edcbf777f0b9274904fda7f1270f0,1700000.00
0x03629cec6cdd3a66cf2f2b588246566a5bd8f048,3825000.00
0x8aac62eaa788ccac65b41c480c8d6fe6805eb2ce,1700000.00
0x797d13e3c2ec89caac0248f4a373b86eac8a8dd3,1700000.00
0x7d92ba41abb9f200256e16ce4c14d58776cf20a7,1700000.00
0xd456849bc9f3399bbf261d1f4481af0f0b660347,1700000.00
0x7b1130198fdac69d34229c68da8d0d5b650cfc79,1700000.00
0xbf8f8efdced05b6a264dece8612dd719a86ca2d3,1700000.00
0x4f4407a4c08d027c8a4fa272c614e1c1d81f891b,1700000.00
0x3eb4b506a839b33a4e5d8719a4150e478083d550,6175000.00
0x0f80a47a1264870d991d9390d878990e56a65fbe,1700000.00
0xfb4605b466e5dceae42a431b5ce72565e0abff56,1700000.00
0x0829032ba968c222c9442d0d58ad00bc1611ea71,2125000.00
0xb7f838dd68f82a58dc03ae8192f83c6913c0b9a9,1700000.00
0x89af3483eed36a25434e6b564fcd286f9959d01d,1700000.00
0x49a545e6ddf6fdac01f1ae60d8476a7928850ce2,1700000.00
0x729d1b8647a0898db6f83aae967e6470aba6250a,1700000.00
0xac64fcd3170e5075c69e901af47e20740e86f8d6,1900000.00
0x09285aca2d3deb15014c1913c6f92cffe7e231f7,1700000.00
0xd671f3c3a33a2c57061f7ca889f6819540c3d017,1700000.00
0xfc2a6dc28732e507d64b381b121a0c395859050c,1700000.00
0xa9740c509f10bdb4908507345cace1288875a7de,1700000.00
0x71c79210bd47997a6991a6bc1b3e8b6572a20b85,1700000.00
0x154524609db6ce7fe8d590d8fbcdb3180d53e872,1700000.00
0x4054964fed1763cb0226dabd832ee3bdf4d367cd,1700000.00
0x1222aca63b8b3d9620cb552ca0ef26255bff18f0,1700000.00
0xfc06ce5661450365b5881796b733395b35806a62,1700000.00
0x7c65d8bafabd5a347d6b174923bfccc53187abd7,1700000.00
0x5b9fa1f2bc635944427bffe15003e002429256ad,1700000.00
0xef42e3bd1e0f3c79fe7915f4a3a76994d058a4dd,1700000.00
0x8b5cd2232ce2324ca6e729fe4d2f63446a6e9951,1700000.00
0x39dcfeae44570cde30482ed93c032d7700ef853f,1700000.00
0x63294e34ddaa9b0737a74ec798321a3c56cf4abf,1700000.00
0xf2e8ccf708ad3040d3801c665dbd3e1d3097089c,1700000.00
0xb59dd68978a319e466fda096dde495300365c686,1700000.00
0xeddc4caa3c10395c73fc99dfe6ddad829af80695,1700000.00
0x05738eb6ac52b6014ea737e2097348cabcc914d0,1700000.00
0x2e8e4fcec14ad7537e3c04f8a3727d0e756bcd9c,1700000.00
0xf58f7f1af2614d64103961e53ab6cd65e9fb87f6,1700000.00
0x3e4b6c64430bdd00ca1b9863dab95140978e8105,1700000.00
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,3400000.00
0xfb5959e3f9401033273ce1009099df6f0f972030,2384500.00
0x793e78f1c481a0157dddbe99e64d2f0656c5dda6,1700000.00
0x54ff8b0feba485e24d6475db6a73215b0c57efcf,1700000.00
0x7073d47fbf62d3287c6124fecbb44d19020aeb29,1700000.00
0xb68ce8b4d0c5818703aa188c8f7345f3268ed8f6,8500.00
0xbc627254fa9e73117cb70e1d4eed610ba0a9de0d,8500.00
0x937e4a2c6c1b5a0bde6c155514d9a8575625e4f4,1700000.00
0x97cc8d35e866bbfc8c1db5d25c3a846298221701,1700000.00
0xd122d744bf47cae8afd78d6d4b2c91a3c37aec45,1700000.00
0xafeaf8edae10c63d0575738a3c42736acdcaeea3,1700000.00
0x028db7c845ad791b676fbc0d01d5c4caec3494b5,1700000.00
0xe4a2829f4c688996233a933ced1940ba0701d17c,1700000.00
0x8253aab1d51309d01975eaef85508f3870438878,1700000.00
0x10bb00e6894c114543980aabc78c44eda0fbe2ed,3825000.00
0xaa22a8c84cdfe40c5f888fc1f84ac33451b2b111,5525000.00
0xfda77411e0c12df5224d2c958caa111ea5b45329,1700000.00
0x69da8d3d02d4fd51cb2d436b5d00268a2157416b,5525000.00
0xbcdb16a5c44c4de3c3397e0a5097c665858a0a48,1700000.00
0x817b2c0d8e0bf218616784385777738c319413d1,1900000.00
0x0439433f7d7c9b6838b429e66efafe03c958fd80,1700000.00
0xce888c9f9fe322df4ec3ae92fa34610f11bd9209,3400000.00
0x2c25a6cd94fe71002ca711874a54e9becb786d10,1700000.00
0xc3dcb4b176b2fd76ef2d7069e4b48a9a0918c417,1700000.00
0x2fb8ad61136bd6d668f9bff7a9f6066b4ed907d4,3400000.00
0x4616333335159a93652c8af40054d404cc21c7bc,1700000.00
0x22a291ca29dd1e854eaab9bd3dfb5322d39ed9da,2133500.00
