address,amount
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,2470000
0xa1D085ec8E4eEa7615644A4e46CFE1095C2bf5C8,7410000
0x0a81e0d572a55af5dd325746bbc3a721d535ed4f,1700000
0xa9246678855b64be286a36c37fba1198a97cc82e,2000000
0x1378feeb233ac7f991d721bc5c238578305b45cc,1700000
0x4d01ff58d94dbdaeaa48311db74a3a22d604036f,1700000
0xb364eb3d6c8e02ccbd5966d23ad9437fa8a040da,1700000
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,2000000
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,1700000
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,2000000
0x013534674ce05cccf387f31f9d59d6c6de80a673,1700000
0x4fee4075c4c13cf850592e2f1c9be8acd7e8a1e7,1700000
0x542825ff7372a297dbac8570370bae9a05fcde28,2000000
0x83c08f0ebc2ddcc25c2e6e74fa1aa34ba78f8086,1700000
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,2000000
0x96f67b90a313d69b4bb8a54b6a3d38e9612aa70c,1700000
0xff33ed0d7bc36d01edb19ec592c0a0f552c3f50d,1700000
0x693790ef7a20e805a24ce9da6dd608b57194392a,2000000
0xadd7efd88d0833883bb60f4d5ce7274838bd01ab,2000000
0x2211deae839844f79d68b384b01fe03e40c5e655,2000000
0xea94cf4d0faf3a5b74b361e18d8810026b2a36d5,1700000
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,2000000
0xb0181ef801fad97e13213c8841f219ea3cf5fd45,2000000
0xcd9fd480bec6fc5fa0af9f0eb984ab8a2eee92f3,2000000
0xb46ce02ba9bfc4da27da8a7e770b4ba616ce55e1,2000000
0xdd8804e408a21dc344e2a480dd207dea38f325ce,2000000
0x268e01352811aafbe0e9f5e7e779479f4eebc926,1700000
0xc2933176a9be2116721a2681e042111ad22f8266,2000000
0x0114731dea1bdc4994b8ca845b0ffcaed7d9a4d8,2000000
