address,amount
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,1
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,1
0xc20c9688e2334796c420cfe9fb6297eb0b9ac80d,1
0xa6e96dbb6b7d2c12062e70d3dec87c4fe23f961f,1
0x590cb961aff1c2fa489467e81af2bb08b802a402,1
0x28b460e553ce81ea5ea5407ece30bba3903af23d,1
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,1
0x2b12d1d310c6df937c8c56b7a1a34ebea63529ac,1
0x4296afe4799f62f83ef00db325d4b18b0ac182bf,1
0x2211deae839844f79d68b384b01fe03e40c5e655,1
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,1
0x3307b5e2edcf5d76f631f7764bc9b89231fc5963,1
0x9ac2f04fcdbfc8033cfae0abfeda793995959a07,1
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,1
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,1
0xe492381ae342dab1eecf72eb584484347fe07a18,1
0x47fe1d33cc44133b48709ce5b5dfe87c381a4cd4,1
0x66f0b8e98047923774f722e41dffbe688c494080,1
0xae1a1cdb13ec86506831531d9e52456b2c0eb625,1
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,1
0x78a8b9c39bbfcc98ddf1b70e9f463f1e679f840e,1
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,1
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,1
0xf576d0381dfbf0fb08dea884a44a16cc046648fc,1
0xa4ec20c0751d78777274606d0d71304d1c191f96,1
0xa67ae1c8e12da8de821f6d995b360f4b6df85253,1
0x3f845aa152497fdc41c18c6de0f4578d213bd4d2,1
0xffb07a20e5e38bf1492651780484620aa868e895,1
0xd7f36df68b51abbe760505cdae225082c087a33e,1
0x257c919c3c0f5604e50c185f3ec7418e88c5741d,1
0xc5eda879df93e0dbe671b1e4db8f503def7ba06c,1
0x743802d96a4f0a6a8d099bf62e4bc71c357eeaf2,1
0xc0159855ec8bfb4d60f9dfca4899f04a43f85c6f,1
0x7049d10d42847397b0e52408f8f8c6c23f619b47,1
0xcc6f0c43fdfd6aee9e301db1a291e725fd0aecb0,1
0xca1171b026b91b3113ae25b09fdd9b9abb45854c,1
0x64f1fa65180dd3546623b041ec1897fdd07fdfeb,1
0xfaab9425366cf3137c19967a7446860d2b5034b4,1
0xa1d085ec8e4eea7615644a4e46cfe1095c2bf5c8,1
0x04477d974f0533bc7e9e8bf5b9da5b6b91c58379,1
0xf3e6f86beb14875ee52838d55a6a9c685f546ca4,1
0x638f8e3a5301be6e6f8fb0d251f620411c0c243d,1
0xf55a2b967ddaa5049f537d8402b791901cc9d34e,1
0x1ff67ced24baecf9025f98206747736e2f69fd20,1
0x80f607f4ca48be0ab8928101035f9886e014e096,1
0xeb9fc0cde4b30bd5aab11d1fb0fa1a6f104af825,1
0x652debcb39aefc7b9551ee6e87d48aca5bc49546,1
0x1316fb4d258e6e9db929144f2c05fe80d7fd6368,1
0x7366026ecfd065d53d0fdb74ca05434f8f0abbf6,1
0x742a34ceefabed24dd43e8f1226769cc4185fff5,1
0xb42c77461dafed3b6c82b929fd1370b6e0c54a73,1
0x062cdf5bf15e995ddf87b855c8992f918ad12817,1
0xc6a265dfde65d5cab98375e75c5881354cd6566f,1
0xe703cce1ef74f8e2a2d5b53205679ef879ecba08,1
0x4fef95c773da7c984a0b8b752930d49d0403d3a6,1
0xf0d4ffb63f5dc50ed1eb74a47f013552d29fcae2,1
0x544b0181e16bf55ef971ce9ffe1d78ecc536aab3,1
0x40351ff8be3f601fb8c3ecf00bf4a69ab5935f12,1
0x29ad732eb5a07025714038fa50f5bee747d5c263,1
0xd67bea641952c1e920c122108bde1d36e1c9d388,1
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,1
0xbca8cebacda8f3084aeef67e8935d1a1bdd7a346,1
0xde03f592c28f606eb4b6e90d03276c3856443256,1
0x964c905b602f3dcff74c20525184fa87021c17a9,1
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,1
0x39881f1ca1fded70ebe69aceae933f05e925ec48,1
0xc96f70172d16326395525e154c7c868f98e00e5c,1
0x7af0bb3101986ff61c2e3ec2427509ee2c3170a3,1
0x5aa4302d39ab38fb7dc2f105baa8b5523055a17d,1
0x1546a8bc42f7ede2ae691f83987ca1f7b314d6b3,1
0xd79df9dfdaafb194d4a9f1536af5a7a3b37ed8f8,1
0x2426d96495f0c2a139aac7b1f8ac9bd6266fb67b,1
0x667c5DEF22003b28fD1F172097e7ebbAE4080753,1
0x86aabcd459587bc1a347ae1e2d15223856354ec9,1
0x0e08541affa83cca0c97c98f898f3a024d1f13ae,1
0x980fb844055ed799ed631d9b57370c911c8f9657,1
0x9ab4056b1d71afb7b8595c74b5c366b377be473d,1
0x5e030390dc921c56792e3a91d939e13e1d286ebe,1
