address,amount
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,9085.54
0x45291103Ee841992f23031f305d66ADccdFb486D,4542.77
0xffbb7d9d22d7461d160a3c6aa2ab43b1748aebc3,544
0xffb07a20e5e38bf1492651780484620aa868e895,2125
0xff60f8cf55576bcdf39e168fca4a84d2630e05db,469.2
0xff0d45f3e2ec83de3b2e069300974732ba1c5d30,25.5
0xff0b067c46a0dc2b207d0f6207e20aa318193ec3,12.75
0xfead2419de7abed5c850bd99f27f83473f93cedb,469.2
0xfd6df7315530abab39f2c870150c2efdfba57045,136
0xfd442a7ab609d98b9a20657c7ae732d5a62fb8ec,469.2
0xfccad6ef893eb630e25d41b0f9e74e8ccf7e9108,469.2
0xfc87d596f9d4b32dbdf9b7d494903061f33c39b5,469.2
0xfc0fffdd6bcb0980e545c3969050ff0c294cca40,8.5
0xfc00a4d433750bb83f336015863b7d5529935515,579.7
0xfbfc2f84339c7aee0ef5ca83fe9014fc79b728e7,469.2
0xfbede12ee9f4f58ac0d47ec2fab53d8771c9c71a,548.25
0xfbeb21d0746fc92c9a3650eced0a82c540a1ad78,826.2
0xfb580003538ecaa8117132132116649e1adfbb32,85
0xfb0f37c0456d60eded9b64442dfb0c4847cdd06a,524.4
0xfaf06196734a75e72a48dc699e7589ab9a1d2f31,68
0xfae3456c6a02bd112019a43c7c8c1e5e6e459eaf,469.2
0xfac4f8bc040c0349e7b65c9175580aea85406d4a,272
0xfaab9425366cf3137c19967a7446860d2b5034b4,25.5
0xfaa5f114a90df6c623ba74f576ab54aac6c60668,544
0xfa4937670686c09f180c71a9b93e2ffcc3a79f47,110.5
0xf93400f2196771ad6c22a3e4dbcf736b2e9753f2,469.2
0xf90e5229485db038326617ac0bd095c894954f87,136
0xf8f8fe8e3e420368cb1fc79ed783d3961e53dcb7,38.25
0xf884c85dafb568e56d05c207d93f72f53f471a01,469.2
0xf87691a2b40d7813c49117676c03342f23e9577b,469.2
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,4.25
0xf8399090b4b09210d13ebdee71b00c8bffb144e0,469.2
0xf811c7cda02d03012577d45d9cbfad4358d5390d,469.2
0xf80112807abc31fc4f7b982e27e5280f3d983fdc,469.2
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,1098.2
0xf7c2c7e5e14b381e810d87f87638432c3f1393ec,469.2
0xf795a1afecdcaf760fa21d598ff045b863aa0578,469.2
0xf78f266ff0091880de9bb9db54c23fa0f5145a4a,469.2
0xf5b45cb68e7ac57f6951737051db4680f31602c7,469.2
0xf569479814c3eee170b56fb8ae350b4dbdc2520b,1190
0xf544cc90cfedc8bc13cf3564715aea5eec9d866f,4.25
0xf520455d5563604dc6c08ef6877a139027f07d01,4.25
0xf51157fca84928f0c6c65e2dbe1b92a312b1aaa6,544
0xf47727863de51f63e52955344618c0f6efbb530f,272
0xf46f303ef8275d93d14d7ace178b976ffdfb2a72,85
0xf3eac69a3b71108e101bbd6ad94e0716b66f1b53,29.75
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,1137.15
0xf37b996a50855656a75e1163e6ab8451ef6b028d,469.2
0xf34ae084c544dfc4be6a6b7610ce5f20530ecb1a,469.2
0xf33ea5b3f0ab05e39d1656d42f475b5a87ed21c6,357
0xf2f0f4401805f8ad619d20ceb096f61149458abb,357
0xf2b6623fecb00d42a6da8ef2a772a4bcbf99e38d,272
0xf265db73d14c90616e4fd8143b65333f77c7cdde,469.2
0xf261a727b76dbd54ff1d5bd6b0f0a0d0d644ed2f,272
0xf2325e101eaca833670ab75d846406dd482e3078,3829.25
0xf20df32224931ed0b4fa26998e39e73ca917f6c0,469.2
0xf19384df052c9b5a761eead061e81d4952154569,136
0xf18b2624767004f9531e4e69d174b0b7223fc3d3,469.2
0xf11a0235d927f4db2297c54d15c22af41f256eaa,469.2
0xf0f2794a7c4189232706568ddb89644200608403,17
0xf08eab2b0c63ec54d3c45cd0428a7fcd31e1f1c1,469.2
0xf069a32b27ca2c446b92a8c28a6b2955e8b335c0,136
0xef76adccdc5051ad9544ed088c55320eea0c7c87,469.2
0xef0c5909c36a6aea6ca7fed6f92bf167c77bbe2e,469.2
0xee17b5d92352b15acb5a41bbb5e3e8518bd16069,469.2
0xedcaa27960bd503ef68651c32922a567e87a3607,498.95
0xec02aa6b76ab54ee0d7242e7b685d256ba6758c8,469.2
0xeb9fc0cde4b30bd5aab11d1fb0fa1a6f104af825,17
0xeb76b189cb055f0ddaf8c8cbb11b3a932737d54c,469.2
0xeafd9b54b906c9b03d2f98b3ed075a5d4a6562ea,136
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,1013.2
0xeab0c862e37becc5c8741dea3f218211cee8f2da,25.5
0xeaae153867b4229efd626ab210a5d34005d0a454,469.2
0xea8106d2ae7a3dd3d40c742ae7267c4869f0ec1c,511.7
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,524.4
0xea58ba2fb46e2f5e7847ca829850bda578fc4eec,563.55
0xea46a6beb7cda737dc49204424406ce6046297a6,473.45
0xe9dd8b36c7d843e811601360b836bb73aced82cf,826.2
0xe952fd1d701060f405c5c312cf186109537646e2,136
0xe94d7d617d8188222dd500d2607c215a3c77b3a1,469.2
0xe8e48463b1cf8cfdd8e2507a2444486462831a66,608
