address,amount
0xAA6d995fE028FAE955133B7416fb8Ba22C8e6018,0.50
0x06001c77A65B861249D4d6A2BFCEa6Dc8325376C,0.50
0x4F0b06Adf758B8022Ff80dCbEAa5523205fD690E,0.50
0xD236027b21c63c81Ae6Ae6D9507F1c8e192CD5e8,0.50
0x52d0Fc347560cC997f87984200F4a9344eCDC597,0.50
0xFA65e65a6321c37486972d71B3f50400bd43F974,0.50
0xC0331edFE6f139d3FB36eC25a62c64c5394C77E7,0.50
0xFa1518304a7a6b86ffb3965C6a7e943F42Ad493B,0.50
0x1D9Df24553ddE4C8FC0BAa59D96D6B036Dee7BBF,0.50
0x8eeFAe59353a1787a62e8db7C9679D974eBDDF14,0.50
0x2b12D1D310c6dF937C8C56B7A1A34ebEa63529AC,0.50
0x066fb187404FEeE6EE7f6cde21697cea1A89ec23,0.50
0xAA4e9Ca01011Ea77a70560633dc8A10B147367Ca,0.50
0x2B1c88E862e00f39bb8131aae26661642A80Da71,0.50
0x679aB85568de50D8cE71d7FD4c327aD8625e3d5C,0.50
0x4Bcf75211f31be86AA1a8C5Daf41c009fEae9303,0.50
0xb7c2FC9d44db04Ff888037037aaDfD10D7564d95,0.50
0x9AC2f04FcdBfc8033cfAE0abFeDa793995959A07,0.50
0x250027FeFEcBAA1d0a77D9a8ec934cbED9012690,0.50
0x5c216d7f402B3F41eAB91Df35732C8994348536f,0.50
0x8caac1cD3DE19fD5b1acaa79E5b157DF30F7fC0D,0.50
0x5b7577cE90D39935204Ec030909c2C0f8e19b866,0.50
0x1fE71469db264c5d49574D7D90d1E900a0d9F12e,0.50
0x6406D4AC5D86612F53014fD46243d2442CCC2093,0.50
0x97317Bc70d2a744CD38cFfaD6A7E3Aee3961FA5C,0.50
0x80d1c0B8eA4999A750239123B5B198CecADf1fA7,0.50
0x902a559e7512a541b5137f447DD7a43857c40695,0.50
0x6824761cfc26EdE8C56f56521D61B8b566b3DE5b,0.50
0xAD8EAE37db38b716be099fD74556E9C61C9699c9,0.50
0xA58b3210B6F9626DFEDB9eA232E8EFc965873559,0.50
0xa5E77f0f89D6F5b3B8D6B65F5b0e9401c6bacE21,0.50
0x061125184d535691B87a9560dB30902b12989370,0.50
0x76dd2f01e1629Fb3624f1C32954dAae0FCdD46A1,0.50
0xdf4703369ecE603a01e049e34e438ff74Cd96D66,0.50
0xcECCdE1c3E7517bc66fC9518B0E5E939520ddCD1,0.50
0x460AfEA78A398F78476593D0bE4E95faD3795FbE,0.50
0x9002466DA0A690ac4118262FD9f7bf096177c03c,0.50
0x0089646d7E2e8Dfe08568cebda5f7aAD506EE211,0.50
0x861dd2a97f210133d704307dfb1d9ae4f96b72bc,0.50
0x37dbEaf8a6732Af9a690bAD1984113B0D5e08A92,0.50
0x5EB88824e28067353B893B3Cb049e0dF712df22F,0.50
