address,amount
0x1121855f99b6498b607ac963829f4ee9a6b59a23,102
0x49f356c16365dbdb9729993a2e9b2e84c379f668,187
0x756e68f85226e17c2ad9a36f5f3c81f88a01b20d,161.5
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,165.75
0xf636db1bd6ecd737ace20c67c731ae329d8f6a6e,29.75
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,161.5
0x5eba2b8add723543a4da85cb2606f0553df6ae8f,595.85
0xc2c3f13246a6e04bd4c1e0cf58bcc31e0bcef12b,29.75
0x96e95a1f40cf5a50178053740ade18046815362d,595.85
0x13d2a02530e987f68b9df14aacef417525547410,102
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,29.75
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,29.75
0xa0ed53f726f9374275287e57144317764eafef54,29.75
0x57703925eb53638e7860dbf524bf86e99549a971,29.75
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,143.65
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,29.75
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,29.75
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,29.75
0xe2cfd5ff51aa7f820783d054e35c828e7b282a57,566.1
0xa7568a767cc138114341a454dac6e03e2ff968fc,632.7
0x76924624c548f66b54621bb2d113ec2a9bb21478,113.9
0xe7a97a841876c9ec8c38fee297680aacefd121a2,29.75
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,29.75
0x6967f0b127f51afb3493a37823b9e87e4a05a906,29.75
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,29.75
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,595.85
0x62240ed3da5a4eaf22d1ae84472634f247474551,29.75
0x708234b5bb01dc4b35cf27db981b3b83462e0149,29.75
0x522a57a9267b6a54dde2f9a89863304cd0391827,442
0x4fcf8116d11ea928ff07f738c0030236ab97a5ca,29.75
0xa885c5ced05658736659a7e525dce52975a8d62b,616.25
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,178.5
0xffaa59f2a5fe3b7564809e1b2d9ef45ab6e6016c,29.75
0x1744b94fcc98f514dcf242e7b03a719aa162e246,29.75
0x60b77bcddd7d9cd49f25c387fb0c65ed8b39de94,29.75
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,29.75
0x9964a001f3fd643d51244f305f425d2f85e6d06b,386.75
0x909c592080a8ee273f5c6648d874e78c7ea94a56,161.5
0xb12431bfc7b475359b733cf7f29d542de7ddb048,29.75
0xa129ba92f7f12b1fd7e23213a89e936d49bdbe14,29.75
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,102
0xfcc2700209359d8a08ff267a1d34c4c21d80fe97,127.5
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,34
0x1117369f20ba3e454920f1b84c4b19bac4b34a2e,29.75
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,131.75
0x59297f10bad6919d66c7da787d0bcdc542575c17,566.1
0x23d5d2223e741206aa0778585dcddcf29852fdb1,29.75
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,29.75
0x8c46807187c4673d02f9a402cd5ac09efe5388bd,566.1
0x8df5dff804faf108aaf4baf97cc3c1d60a5162d6,29.75
0x464255136ac2f55aed61ee0f2c54915966db6469,29.75
0x25631a17411d1cfd620e3ca58bcec0fb98e7ad7d,29.75
0x119a5e7b1ae24c8586865e139ed9a4af6e9e845f,29.75
0x83d363b18ef6472c2cc0f0829f81edf2260acbd3,29.75
0xbe51186e1eb190ac62f373f29763c907f229c7a9,29.75
0x608fe5dd6ee360ede7d4e5d9d0859e0327af82fe,161.5
0x13225fe0942ea23d62536dce84bd208fafdce10a,410.55
0xe483371d93a33691b6971f0ebcb2075add0af3fb,102
0x60c4c2a46979c6aa8d3b6a34a27f95516ef4e353,59.5
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,102
0x4d7831cc71f65ae6ddd1ba0e67749a4ced21b931,29.75
0xb4406ea153eff4bd04e373994c059ef808dfceef,29.75
0x3e4909ef77f6eb49b2cab7303bf45dd7f264c1e9,29.75
0xec4955739957ee391b6b3bcb5ba386bf42507d00,29.75
0xdb3f27b3bc27b33296ba15d46b55ad01cfed8f48,29.75
0xcca385be21b94fa1254c8b5d7045cc568a520586,131.75
0xb14a8a00da10b45d81c589f591e7fcb4587e5e70,29.75
0x8c10d0315dd24214bf4e6d95f8212299c7386beb,566.1
0x17a6b7fc4d460a9533b38d4e91955702e6323998,29.75
0xa5135394d563e323e83b5c1b097acdd7a053b40c,17
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,63.75
0xa88ab9256b1f92b66f7c42b2e25cc39559d3cb14,102
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,29.75
0x8c0a4f4e6c63854f2b360bed46f64cc86c891801,29.75
0xf96d9e4ceb9dd60d9549059e72fb8b2a1628a621,382.5
0xa007dece451adacffce852b7e169f0bb3955294a,29.75
0x4fee4075c4c13cf850592e2f1c9be8acd7e8a1e7,29.75
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,29.75
0x4ee0b5dceebf3eb0a97f476f3658f158df63e53a,29.75
0x17dd155d2e814e2c1c58b1f12fc21889b2816166,566.1
0x629a229309a35b166a5f3557995d957ee7f1a100,632.7
0x20b31b67a02a09164a5a152d8542d0b5063ba008,29.75
0xa2ef3caa37659d3e0fa9dd7488909a413e33b02d,595.85
0x0d60f9da37ac046d521d823eff4fe3e42ac0e600,17
0x1b9a3eeff7e82e7d37415738c681b7d48259f2db,29.75
0x0f48f968372c5f081b97c1d7b5e85b4d4b74a33e,29.75
0x0f95e7d7786137a4e51877e39e08a882c504fc32,29.75
0x048054f6e13bb29c6453a12337999faaf8ebd72f,102
0xaa74bb44eee371791bae35692ba2011ae65d0571,29.75
0x7a791efb0749e2b1b5f3efd5588f04cf21265678,29.75
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,29.75
0x25e31dd80eb4775a2e12d3be3d772808f2f89f84,29.75
0xd894b25119f39aea58d786329619f0f564a99a5a,29.75
0xca768c2323c7d04cb2afe8e1c9d602341508013a,29.75
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,102
0x38c271c9fc3a0e244a752b25a31d93a63767d567,522.75
0x15a3313f8efe26a242327ff343619c95b07cd112,29.75
0x2bc83c988bc15f03cfe3ce4618140e9ce8deba18,566.1
0xd9d33197d42634c6b655975dd688681f4213aa4f,29.75
0xd77a47c53bbc7f9afd96b1f4ca1ed7066961202a,29.75
0x40cd44571d014990da293f6438619e507335f92a,29.75
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,245.65
0x6c3fa6511e067734d02d3b760bdba24c2817b5b6,29.75
0xad1f27ed67363342d090f9be994ac849bc3e62b1,59.5
0x693790ef7a20e805a24ce9da6dd608b57194392a,29.75
