address,amount
0x58bcbefeca7294c6c3265736f6253119758559e8,3090.6
0x7495bf61ed3d0cf54cd12b2394348f74994fa00e,1545.3
0xe4fdfbed1fd241883fb2a19f65aa0fddecab8702,1076.95
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,3077
0xf069a32b27ca2c446b92a8c28a6b2955e8b335c0,1545.3
0x3de816e2f6fa28ab7fad2b28fd8c649ab5c0bdec,1545.3
0x583ab41a1ec8bd6a4be4b9df9437daad9dfd30e6,1545.3
0xdb630687349206932e066b4c9df15c6542add5ac,1545.3
0x4d1c4467cbc5318c73cc5c4d30e1ff5299fd4e63,1545.3
0x9dd55bb2b6869f14e6c8fd40463ff0b8f8fa5a19,1545.3
0xe55cdb0dd287536bb9f498e2768cbb8ba03a0d9d,2
0xb87c516841533a40c4d2cbd5dd77f68d71df007a,15
0x354241606E526cD89a645fFA919a6B4477B14dBf,2
0xb79fd1340b06ad4b1d3b58ed3445490460566f37,2
0xee0b6b7047fd4aaf23e66cffd5261f3a7fb4ab29,31
0xf7d31f6098297a9cdc4cd3008aca721d4a386901,33
0x2b6561e955965db87f48963e1573f819c31cdaf0,8
0xecd9653829ac3908a73fb43d3a51e0f9b8c27193,2
0x71237980814936f72b2b8bda79aadb9e068839bf,2
