address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,15108.75
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,9180.00
0x9c8a316bc4d1e18a222bede1edc4899462e14ec6,45900.00
0xc0bb18c465dd4ba15ad702fc29831c1a9cb747de,318.75
0x3696bbd2acdf0501a927e7df9b4963f4da0d06b6,318.75
0xe16628fa223a6c34e5190de9d11c649861436975,318.75
0xe2b4a562dbc8433124f9fdba191a1346f038144a,318.75
0x133ccc0078d467b5f92918f888f50b15b345de0a,318.75
0xc5291f7c8a44ca0198028f9739916d230edf747b,510.00
0x29aec2e84d9f5aa21d423ddb80e400cae1a49d48,89.25
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,318.75
0x5547e93858325b7f1635187246761df3fb7c5ca6,318.75
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,3825.00
0xe9422af02d562e92a275ac50d188ba7b789a0e84,318.75
0x6df77870086187a1af7bc7c666dcc4e4f57716c4,318.75
0x944150e796896bc2f2d96d16e0e197f72dbb6077,318.75
0xf7065f5fde571d296326aca303ebbd9ad3a13436,318.75
0x0472d7a590030584b4ba638398fb546810b39e37,318.75
0xa60cd48946b4e1d553ce668827a91499d23749f7,318.75
0x396107d5b59b53fdf8b6383513a7f6796a6db3bb,318.75
0xc37cb14050f66613cbe875d5d2ee5e7bb8120b22,318.75
0x6308f94ef154b117bd877a32881c35fbce7224fc,318.75
0xd533628282dc7cdc5a74fa6c5549bab2a6f8b081,318.75
0x94f6a09a0f848d9fb1acec90a4e7002d4b0e6e7d,318.75
0x52e7e4da7fa73f86305dfde3f90514cfc8dd6ec7,318.75
0x968cb69c9bcdc9c693d470a4aa9b82d6370dcae2,446.25
0x5863878063b862166b7bfe17dc3eb8a15852fb45,510.00
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,110936.25
0x2b3d820cab9970dcadbbbb667e012b927608d17c,4207.50
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,32062.50
0xa932427d89fa64c4a4c8b78a474bb13fed070878,318.75
0x28795768e675221c154ec38d37b21c0220aeaf64,318.75
0x546c55eea77624b1a9fd2cf4079b4bb053f67e9a,318.75
0x692af9853df5d7a8bb65a86dc42d977e51f5227d,318.75
0xaefce28c5bcca20a39dc542bf152ae746ae40a7a,318.75
0x88168f97f0a5c04a4a412ee97dc7b8e5e0d6fa26,318.75
0x0bbce858a43264efc48e155d0de7a35410006e8c,318.75
0x15ba6d9a409115aa07a3de3b97f88a071e7c6671,318.75
0x88f347a32667e6aeb1a19ae05b1a933686648349,318.75
0x8a80defe061f9f0aa4a0e7a3a23c7efdd5764616,318.75
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,5628.75
0x14ea0b11e5070cf21a7204351ac9426c042dbf5f,318.75
0x9100ec73f8f469e79f3870335d82ee4f8926f823,318.75
0xc53cbeb1e8a12e669928f4fe51591bb8e7671327,318.75
0xe433ec473e85ba742928a3d7f6ad61954a3dcb4e,318.75
0x1ca1ed8fbd471802b6332a2f1ea27ba33eb1c84f,318.75
0xa12fec75d2783aa5057731cd485e07e4445f96f0,318.75
0x4dfdc4ddf78f125d58b586264ecb1dfbe26c77b0,318.75
0x7ebda53817c184d115b35789c8a9cf7b3a873b2b,318.75
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,318.75
0xcac1ed72655cb6543c66d1b0cc64123551c235e2,318.75
0x917de33385f72bfb72527898eb8dcca8cf9c3474,318.75
0x6f911c1040107a2fe8b74ec09005d6a677d789c9,318.75
0xf2390fa457e7ace70b87b3f2ea8e626bd3cb83a1,318.75
0xa9203de19148f1a8795fd8e420d48a625a20165b,318.75
0x668ddfbc129e5b6b51dc5f0e9dd71ae4d69db38a,318.75
0xb4577a4819f893c0a4020a10f87d134fcd6d8f35,318.75
0x4e97df850dab913f61de199277c1ce49f2370fce,318.75
0x961725911bdf4b436b0ac9af87c6bdc0434b28d6,318.75
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,3149.25
0x91707502a8dfdc523f7a6f2c218cc9a52777d5ad,255.00
0xccd134d0ea10a8a92657982567491b0b28288aaa,8670.00
0x522a57a9267b6a54dde2f9a89863304cd0391827,1567.50
0x1421bba806057800d64ca9f271b1eda006590169,318.75
0x8d7204b5f87e7650400da517140db6d43adc6ea1,318.75
0x5bc920e9e7ac4060763e32c92d43e68c667b039e,318.75
0xadb3e19c3f1324abea86574c83fe6eab3b1e6937,127.50
0xe07fb4244e605f3fe0e5dee921626458cc312601,318.75
0x0ba3e0bd8788b6466bc39f190db3c676d9f57a47,318.75
0x5c36a1db377446d32c29b07ebe578174156d316a,318.75
0x786668091f5b94335139ff1c869dab00df6d8275,318.75
0xfff0e93340b9d98b3fa9f4f74ae8aec7f29e63c9,318.75
0xdc61e516d02204e27509fc8cbb135da2439a3967,3506.25
0x8408bf11bc6612b0610622c0aa331e0c8ad29b5d,425.00
0x36e729b3107762e51dde266e11803dca28bef030,318.75
0x107bdb48ac4401be6cbbd7dca364d13184222bae,37548.75
0xa85fd0675970296effec2c379915164313ba5962,11475.00
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,318.75
0x70b02d35d731bb8db768053e1f40c3036afdfaba,1338.75
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,10710.00
0xc4baa22875102821bd01f572d63679f5f1cd8046,4488.00
0x2abaa959113c0f59f9e6071e3182ca9148ebe239,30281.25
0xcb9c091473ee73e8d61bb4b0fab4ff2fdd1ed76f,850.00
0x9cadc8955d21e0c52af38d67c482acde645d3a3a,1402.50
0x69e67c5d29a87e9a04233a9e52dd26012925b02c,318.75
0xf6820be50cebb97a889246ceffe64b097cdc05d6,318.75
0x0c071d88a0eb412d19e806a4d84b0552d4b100f9,318.75
0x14bb4288f93ca91d7cddba42e6247a235111d42c,318.75
0xbe93ce77c71246b2c5cabbeca946ba20ee56d202,318.75
0x965c76313ce8d5376429a42d13c17c3560358be2,318.75
0x64a75e0fa2a788098a37adb8590aea187c8769c8,318.75
0xd43c8dd58f8a5e977930307a187e7495b5fb256f,318.75
0x6e945ab764aa17a8754c5b5fb87247e6f476ddf7,318.75
0x0cf1ff8f236b2ee2ce5b8f87f022a1422b1b54ec,318.75
0x572087cf7b80d7be0476b4b8643b916f582a7768,318.75
0xb041e238b1e10351f0a06d2d98966d460b919f14,318.75
0x6ba9ed9f5dd91202cdd3a5bf3812b03f9ba9859d,318.75
0xea1a981e01d1d33de0a37e696bc69dbe2bd06f13,318.75
0xced9d737989f82902a2ad61b66575af23f7345ac,2358.75
0x5a861e63f9b5246cee2375b601e9f091ae07db31,318.75
0x8896cbd5cc15ff1dba58c00fb3f238e70a9bdcbd,318.75
0xb1b6ffba3fd8b71eaefb6fd723e41e762eb97c64,318.75
0xcca385be21b94fa1254c8b5d7045cc568a520586,2137.50
0xfd94d1434585a09d8b026b1a22087d99a285ef96,318.75
0xd6c69e4e5fd476223448e2712eb00117d4a4c428,318.75
0xa5109b157c658b70394fcfc72dc867bcaf3e2b1c,318.75
0x62d946c6a5dc14f8574006881d093f367b767539,318.75
0x8ed8220b8b8e9ccd6201250c602f431ba049292f,318.75
0xe6c6c87a3c75bffb74dea8553ab2109090046634,3378.75
0x10f391f75871ba8fd6cd507cb25ec19bb6381937,318.75
0xa5135394d563e323e83b5c1b097acdd7a053b40c,9333.75
0x52332ec46bbd2d600dc00825583576b9483eaae9,3506.25
0x67aba9112e0b648bc37b3fea302a488491a1e919,318.75
0x753aecc7c84e56c8ac0345635ca01c1c0f5fa645,318.75
0xb2775a8a524cacdb2efd10c2611b8e7121147f58,318.75
0x58b2923d2570e2485f4340475d7a89a50bcc52a5,318.75
0x1696f77ffb17251c020d63d50769d6de8310b96c,318.75
0xddd815b81596a2fa1f643c46794140e89adb6c53,318.75
0x58dcc09d059e3ffad09bcf8a19600db1fc620d80,318.75
0x3a2e3849945aae6b87e0ef4d13940049681e0b36,4080.00
0x39660eec3fbf0982ae11a1a0d4e69f4aa79fcc31,318.75
0x27e12c5f1d315a75337190e23fc85d1590156d30,2040.00
0x6b3446860e6f88e39c20d50afb94d4e6df884511,41118.75
0x4b0b415ea01924be143a22e60829195f984e1966,510.00
0xb7f0761587ab5be50c42c6808790f44c35dcf2a4,318.75
0x6970b5d1595a42deb5327e3a8f4120c125dcd6d8,318.75
0xecf2de2cef5346ed241c27c57f32b7d9a3320ede,318.75
0xdf641bb56fc515a19451f47f694e611d6b61a618,318.75
0x5e083d6e1f814aa8076ac4e88b13ff27e0626cd3,318.75
0x9994a61eca2b12a7f148baa3676abd2ab8adbf8c,318.75
0x03400c97c14b35c103a53201b78d1a165c36844e,318.75
0x31857be99c9abdd5694c9c5ee3ac06489138a028,318.75
0xf85f21f1d6d496b6673fe257820aa47e5aa40449,318.75
0xe11f5ace5a9f8ce89ed7d6add7fec6c53f6553a0,318.75
0x0db3e237901e162f9df93a5d726926857d7e9501,318.75
0x6f6ed34102304f0a2a0543fb9b173ca70b407fc1,318.75
0x3ac5ee0c9a9e7c4562544cc13d2d1a5276cdf58b,318.75
