address,amount
0xc5291f7c8a44ca0198028f9739916d230edf747b,12.75
0x5863878063b862166b7bfe17dc3eb8a15852fb45,2125
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,2159
0x70b02d35d731bb8db768053e1f40c3036afdfaba,140.25
0x9d83c58297b6307a4c62830efe16da9470990f7a,13.6
0x872ea27042dccd394d140859bc485005a6234257,425
0x60bd30830c20fb909ca4ec8a07ce8f92bb074945,114.75
0x048054f6e13bb29c6453a12337999faaf8ebd72f,12.75
0xd894b25119f39aea58d786329619f0f564a99a5a,1062.5
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,140.25
0x329f4435e0f22899b733756c71aa12c1004146b1,280.5
0xe4e01e5f6a9c306ad7ebca53beb943cf6b181045,25.5
0x786e4850cd0c961cc28695c872cfe4ba3f74f150,12.75
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,425
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,38.25
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,306
0x9e53763348f162cac08338571a69188974a9a6fd,2125
0x893aacacaef1cb4e14e7f27eb7bdf2299569a6ef,12.75
0x87577e9004052dd82ac00c243651eba4d646c7b6,2125
0x2249c7eed5cf914d391916e2736774bfb5db4905,2125
0xbb0868dd2909b450612cc2b64986bd868d018749,2125
0x37ef79efaeb515efc1fecca00d998ded73092141,2125
0x3169f86536e378110a8583e9f3834ef08e458ebc,4250
0x5d505d77be8a936e0ce2f1b1a05843ed7f563735,12750
0x33f7a3afd90dae59e1c1cc994cd63a92b7c1622b,4250
0x449f8c1e777c7fedc4f5fd26ed8ac515abd3f855,12.75
0x1f235a06d30d30f59a17fb0244937158e9ed721e,1224
0xa83bc7702a47f082bf24c6850d194cb4acc643c6,8500
0x25ae330057508edaec2dcc51c721d712f6067036,12.75
0xbdf0c6d0721428da6ca74a1727c54122497caf65,382.5
0xd84cd30cceea61e6d14d97bdaf22e0a8c55fcf1a,1062.5
0x224bee7082b2d92a77816d47cd7a9158f2561085,12.75
0xf5a76791ed594949e53e3d023d4b45b28aaa6b97,12.75
0x923128bd45ffabc7f1606c48dbb2d7248d1224b1,25.5
0xeab28d08bcdd3554bd9dd2c12cac2eee77e6103d,1487.5
0xec08eec7b51ef562999565d148b636802fb9217a,25.5
0x0fe4b6bb04d3a7c2f4dfcf148c0e879f910dc877,38.25
0x47eecf53020a5996f803794b4290ed05f526fec4,12.75
0x2dd2dec47ee395b4eb0049526362d58aebb7123b,191.25
0xf55a2b967ddaa5049f537d8402b791901cc9d34e,25.5
0xaa14ddcea61df40d3a74b1949e1b8fd400cb2a06,38.25
0x28811ed447c5b9f95efd1b52990b6de570a34241,2414
0x844d6e14965c9313db2f8b91c0aa0c2341a0771f,25.5
0x62c66ffcd2c7063396bf8c159b7e836e85b00605,17000
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,140.25
0xef1c6d6ae70e48030b0a0b0d97346105e94d41f7,2125
0x6b9a93eae6af9d01519c0e99af31be24f80a47e5,12.75
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,63.75
0x8db196e246de3137d5c02bd2018709b1f3b8e123,382.5
0xbca8cebacda8f3084aeef67e8935d1a1bdd7a346,140.25
0xd29ca31e881d699e09e4e41c58c32d79b8ba6466,2125
0xf0d2f381970ac5229aa548e0a33cb606abb3d810,153
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,165.75
0x81924d4bc19d28fc01c91605e35dc61f9edd5df1,1062.5
0xef0bf7f798cce7cc538c7c6e264ed3a482fc3066,165.75
0xfbeb21d0746fc92c9a3650eced0a82c540a1ad78,153
0x881371b6d4a7107bd4ad38cff04e8b7a939135d5,2125
0xcfad591ff4b9f2c6e10376128eda7028c6e6535a,114.75
0xfbede12ee9f4f58ac0d47ec2fab53d8771c9c71a,25.5
0x91cab48e44ad02360341918b932f37f474d051ad,850
0x15def34e197eec0bce546ac2941d7cd217187c5c,102
0x77585bd467cea7b76a6b5c2aa0ea44f328342134,2125
0x391aec824129e837d542f956009a7f6deb182fae,382.5
0x9bc2441467a44cc21b44cc53b209ecbc7665bfa3,25.5
0x367580bec03c001d76c51591c7d79914c4cc0e7d,1700
0xcefb6d3824ae14bbe7ecf5774222785706b46a40,216.75
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,306
0xe5efae8511b89ddef0bda9e09e88c2dd4aec299a,12.75
0xd0ff20bcb48598eb2152d72368bd879ed2c605de,89.25
0x454bb6ad0369181ccd3a95b61108b628bdec8c18,17
0x290fb3134efdb5a48aafb3b2150968b7e7d729e8,2125
0xbfa1ab47af31f5a9a99483fa60b28b5268e1950a,2163.25
0xa12bcf1159aa01c739269391ae2d0be4037259f3,1062.5
0xddbe93624c94179ee63b7bcf9548b3b236d35b14,382.5
0x999eaa01cb8c0f468bf1288370752900645e538f,63.75
0xeab615ba9e4ee5f219846d67a8e3771fbbda4a4f,382.5
0x772461ae4847ee00492910a20fa971b09b69844a,76.5
0x772461ae4847ee00492910a20fa971b09b69844a,165.75
0x433eb679d0dfc5ffcbcbff96516bdbf7143dbf4c,12.75
0xbfa71a6cdc7e0ef079596d2462b134181b0ddb59,216.75
0xb2a7aaf687e2aecd172328f2ef1db1b8f87fd259,4250
0x343a5c0d966e3f8ea004efb8939c7d71a60ae795,1062.5
0x241c23afac200e8af4c6dce09172388bb2a5394c,199.75
0xac98a9e821dd825b48166c4b26569a2946a3627d,2125
0x1430d679b872a94dab5e4e0f1049675e471cd02e,318.75
0x2249974d3f501f731ba8b2ab64800c8af80f3489,2550
0x2968a9e909946c79c9d9967dc05d22548d06efef,850
0x66f70793f4b0e00cf40aac824ddc63cc0264105c,2125
0x87f94e1fda93758a4523f53e76f04117500e4464,178.5
0x67df0858e82ecb71c754b1b344d2dfdec4b51ed1,76.5
0x9b717edbf6e8f04cc66ed3fccf7667498e234dc9,204
0xa24855d90bb1027f5002acede0e002d1f7aae082,140.25
0x522161fc2070c425c4253a5cd1f4dcc5da57f0d9,2562.75
0x9b80f360ecd1f2871d792ad0dd0d8ca7a972b222,38.25
0x9b80f360ecd1f2871d792ad0dd0d8ca7a972b222,425
0x45dff7ba114c64ba75af8e81635eaad28a9c14f5,2137.75
