address,amount
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,17
0x107bdb48ac4401be6cbbd7dca364d13184222bae,12.75
0xc4baa22875102821bd01f572d63679f5f1cd8046,12.75
0xa5135394d563e323e83b5c1b097acdd7a053b40c,204
0x4b0b415ea01924be143a22e60829195f984e1966,12.75
0x64d6e0774917bcc18bba2b3051283aad4e20afea,8.5
0x21e6606bcbcfe1a4154ef72277e7d138452cb024,21.25
0x066fb187404feee6ee7f6cde21697cea1a89ec23,21.25
0xc33ce8186dc916dded14bb2f45b06a379e0fc031,8.5
0xe29f21f462576bb4566f1920eada02a45693c7ea,4636.75
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,909.5
0x7a52f357732da1265067120d3de0795be1ee1bc7,21.25
0x55be777df5aeeb9375516e6a28a723034e09f399,12.75
0x7dd385432be1c700b3455ec00d3c1c288cb99687,12.75
0x06016e143a19024db3cb2e10bb8ff6d6b1dfd4f2,12.75
0x5c216d7f402b3f41eab91df35732c8994348536f,12.75
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,136
0xe50ae072cc919280500e193b6cbe5f1cc2843fec,12.75
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,293.25
0x23d344a3fe9450753324523425eac8bb6754eb8e,148.75
0xe20254111032f19fff333fc59faf2b0d4dd79d41,110.5
0x36d10badd98b60119c2c240aca947535ef489c4f,89.25
0x3eb4b506a839b33a4e5d8719a4150e478083d550,2528.75
0x5a398d52f412d97ac5852fa327ccd425737d3633,2163.25
0x3c7bb8f3a697c09059ec64140eb1e341a015f0a2,25.5
0xff90d4946fdc2ffa2608345d10e17ccfa063a662,93.5
0x0a6d93f4f0a88b18c86b3c42fe98d4b211165c0f,12.75
0x99301683f8e308338de01f1bae59a00b2d43d40d,12.75
0xf2f0f4401805f8ad619d20ceb096f61149458abb,306
0xade1683f0466c4d748a22cbcd4b5443a504400cf,497.25
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,12.75
0xdd2219525fb9a157bcacc6034c5b4b136244b59e,12.75
0x804c2052c4a4ea2141f9d52c068def7f8502a171,12.75
0xd71b477d5dea0a95b11ed8df997f3b2f6e3cd4dc,12.75
0xe9dd8b36c7d843e811601360b836bb73aced82cf,242.25
0x061125184d535691b87a9560db30902b12989370,12.75
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,4271.25
0x6a78a6c2d578eff62f2c8e3a9e4c2d32309e9a9a,12.75
0x1330355f5181e5a865b35063427648a5aba9096e,459
0x8bd7fc8852c3cc72f23484139350f7fb1d284a15,12.75
0x0d6e94d085a597f316be1833649e05a45103e873,12.75
0xe7b7f5622c00fe6856b618f693c8eee261e7fa9f,12.75
0x55517bc1ed2c655a7ba72c41313c30bcb3cacf7a,76.5
0x972978353e8054e4cff24dd7348ea2b2ec768d55,331.5
0x50f5ab6d6a92bef461a2bac4bc052e765ab16615,17
0x16863767fce775538ab671501d88040cdf028781,208.25
0xca1171b026b91b3113ae25b09fdd9b9abb45854c,204
0xfaab9425366cf3137c19967a7446860d2b5034b4,12.75
0xe2faa637bc3742f97e98d002044bdb3b35383162,12.75
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,148.75
0x65ea2e975cef8fa37df2bc8b99f96d51bbcdd016,80.75
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,34
0x9bdbeb5f6e59dd471bc296b97266d3ee634b7c7e,102
0x8f12cfcb543fec28475d5c65f2d5dabd95f3d539,34
0x69d8f6ddba0fa6e4c43ef7e5f5fed0e1e5a0f132,12.75
0xee0b6b7047fd4aaf23e66cffd5261f3a7fb4ab29,8.5
0x821101f0704cedf3a32194fddd1a9c401495d59b,267.75
0xf8a9c5c64e28c183550b8a3c3ec48623f001e44f,12.75
0x03e67cfaf0c107844a02fa4233052afad4bd9272,2137.75
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,8.5
0xc70a48171ce0b0f613621a4143c30b67c3e2e9d8,318.75
0xadf56f84f01fefd35336328887354f5ba9c8c028,12.75
0x2f6102a60813af809c8da5f46ceb1d022dd718f2,12.75
0x75da5e967f5fa906ccf59dd5bebd631ee2ad7014,10948
0x2ae42de7c4fef9bfbedcf06a1812a9d770beff85,89.25
0x22c6887778fb3c8a5d7693f0bc781fef7f442251,12.75
0x73ddb14abf93ec0fa0e9d55df0f14ed4a7228dbf,157.25
0x8472a74e5eb2816fa409967500735aba61a4060f,38.25
0xc6e3879bccf181d0c3dc4d925eda6afaf2b1f53a,2809.25
0x667c5def22003b28fd1f172097e7ebbae4080753,293.25
0xac6f0af47bdd92320369bf0558a3043694993efa,255
0x96024648d238eae9c600cbc071a420d722212299,12.75
0x3910256b1dfa159f58f0000a5e41423b6514f2a8,2499
0x4156f804a6869c4382ec14b9e60f634319b2839b,12.75
0x367580bec03c001d76c51591c7d79914c4cc0e7d,29.75
0x58e81116fcb89af7f87af7805d175ad7a79e1367,119
0xdc5ca6059a11ecf6e5759485848daf94f15c05be,12.75
0xb2e7f3e95465bc071cf6fa4fb0790f4b95e4c385,12.75
0xab901f71988c64541932bba8d243bc23c3849561,34
0x8e7bd3dc5a41971455a7e5af99c3ab77766b964e,12.75
0x694f01944514e9d598ba5b8e636f8e02dd4b88c8,12.75
0x13ee822e5d2bb509f85da118fb132e156e29c563,510
0xad0b0585c79a83091e6f6a9726c21e21286baa15,12.75
0x21047cb23309603d1d39f72247513958453c76bc,165.75
0x774e2f5c083830e9b6c56fd10396e8b5f8bd5ebc,12.75
0x2f2bf91b3e93d8fa7cc84be799c5b30f8dd014ac,119
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,306
0xfac4f8bc040c0349e7b65c9175580aea85406d4a,17
0x2d4e64e3118eda2d62f9fc9ae84070d0678b2a20,140.25
0xe0f9439f6972640f392eca664c8f304c1f8f42b4,12.75
0xb9dc761aee2570a3a73b227aa64a5c9ebbbe7fc7,25.5
0xff4699562aa550215e1687a416a7d7e84ba9234a,12.75
0xb16202739e78c71585fb60504fd1064c68655311,106.25
0xa15c57f4c1769d302de15bb5f6a992607c314aa1,153
0xb4ee1a7735f6b3209bee5ecbf5d367ac44fa2a2d,12.75
0x7b11897546936824ce912cc6002129c8137f1b43,102
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,259.25
0xdf65d5d0e5b91d1c56d3ee57c9d2d6de5601f4cf,12.75
0x561bbbbfc0fb061ee03507334fc178ecdb478d31,701.25
0xfc0fffdd6bcb0980e545c3969050ff0c294cca40,12.75
0x9b85ee94c25294d5e2bf9c9b9b5fa5b58602fad3,59.5
0x3ba17bb92522b0f2d1ea7dbf413745efafe9632e,2201.5
0xdac1cf9297125413358b6e58e82ea966ec1549fb,114.75
0xdf87a56ea413725029a5d9c3d671658c71a367c8,344.25
0x5e61e332ba91a98ab40b854f6f14ef05f18843ab,12.75
0x23715101cd2d67f80353eeb9cf88f9f3b6fb82d4,510
0x3c52b157248b5b17b1f3ca4391a9b29ef966ab87,323
0x06420081ed0bb4b6a5339d7896a873739166c51f,76.5
0x44d7fd3d7496ac4bb9447947a10c33358519c988,85
0x856d02de9e072339d005bf6d056375b79ad55b5b,131.75
0x4b678c63032b0d67a182d49d0d59d58289215016,21.25
0x3550ca4e4412fbba3d65fdf6ffca5f0ef0cead76,12.75
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,386.75
0x9ad6a4d4655c393e592d5bb81ff0beab54ef74dd,199.75
0x15140edab891172ea16b0c036b03efc577d44966,12.75
0x33823986a5c7892298bd794d4cee5f77e7676b38,293.25
