address,amount
0x96e95a1f40cf5a50178053740ade18046815362d,1545.3
0xacfe7a0cacc6a9e9e6b68318f9fe809d3316359a,1545.3
0x9cb4f96ea7e45348886ecdda29aa726c7c428f2b,1545.3
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,2317.95
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,1076.95
0xbdec71e6138fab46d884784df9a3d21c1c7e2786,1545.3
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,1545.3
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,1545.3
0x3956396472c96e04925b7a416f0996ce5ed30645,3395.75
0x2bc83c988bc15f03cfe3ce4618140e9ce8deba18,1545.3
0xcb9c091473ee73e8d61bb4b0fab4ff2fdd1ed76f,3090.6
0xf603e3d4c180c33aebd92e3d5414e67184b7bb8c,1545.3
0x970f6dabee0347a48cb6d3f4ef79d0a75cc5c196,1545.3
0x399a37f07f376c966593e8579ddf8513a11df209,1545.3
0x005da2bea4480501eaed4d902fbe390ad914a85d,1545.3
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,307.7
0xd896c99c0e6e0ec6f8207ea8eacc1c86094ee2cc,1080.35
0x10716aaffd2097228c78fb8a7d844eabc85497f5,4017.1
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,459.85
0x1461b1e13ac15b849b8fa54dcfa93b3961992642,3090.6
0x63db64c96747a5386b801840a3e3fa4360e0427d,1545.3
0x27240a646f2590ed6d45ee0cd73f52f79acc05a5,1545.3
0x23d344a3fe9450753324523425eac8bb6754eb8e,769.25
0xe20254111032f19fff333fc59faf2b0d4dd79d41,461.55
0x5a398d52f412d97ac5852fa327ccd425737d3633,1545.3
0xc6888cdbfbfa620b4e078933415bdc5d59d2c9cf,1545.3
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,3863.25
0x24a4320f1c92fc30ba59ff39898b60119687a440,7726.5
0xdedb6039f564d50f107d6c27794cd2c283e878d0,1545.3
0xe33dbd79e98d70ce847160222d96b10cd0c53f31,1545.3
0xd987ca8e7cc78718280f0afcab87c069f38ab412,1545.3
0xb997700123563d7b7892d8299258f69602b16821,1545.3
0x37ef79efaeb515efc1fecca00d998ded73092141,1545.3
0xea0b9ac483b85295c1df99ee37874862759a610b,153.85
0xce657c01f0c62bdd3486fa3ca3f43c923fe7a11d,3863.25
0x38a5a5ab13d326bb3446e4a375c9c30bc6d553b9,11590.6
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,1759.12
0xb4f6c64b2f500587776a885c574ea4570a4a7a3f,1545.3
0x1f235a06d30d30f59a17fb0244937158e9ed721e,1545.3
0x295aca7dda69533ca78410da4fcc5ee2bafd1545,1545.3
0x3c9f94a51bf53236fba6d2a615e6a71a5e93ba5b,1545.3
0xf6d1fc47fd46df22eb2dff06851b7c902e123f10,3090.6
0x216cb84fea07eb219c27ae40d7049fd627344abc,5408.55
0xe056077a5ab960ce67bf31c90bf94f8442bfa425,1538.5
0xd52d1587f7efdabe7b4ae58b18e96c3891c063b2,1545.3
0xd8f5063b05f9c2a30f7a8948db4147dd0fe961b5,1545.3
0xc13278c67aec1ff79705e8915d7117752d409b3c,1545.3
0x6a80c5b68d4d058218eb26d33c454828aa4e3766,4635.9
0xcbd16bc6bc1da3e7b8e7bca039eb8d5a16ef9fbc,1545.3
0xb18d3b20b96d946dfe2879ebc263e4c57b77dce0,17152.15
0x2efc398b16d4c9515d671a76ce8b4625fdc84644,1545.3
0x657b69a1d7a49c3030f750913d85423a2536e851,1545.3
0xecf9d05a427b0f0e14e79001268afe00821bbe99,1545.3
0xeab28d08bcdd3554bd9dd2c12cac2eee77e6103d,3090.6
0x4873cc334b21d973c0708336db50d3668dd462b3,3090.6
0x2b6561e955965db87f48963e1573f819c31cdaf0,3439
0x3b09b3800151a583a1fbcdf1df9e6020bfba6872,76.5
0x532051ae4e98cd6fb563810120dfada696d9a394,1545.3
0x0f1107048442f098387870939687778a1fcf937b,1545.3
0x3e3fc186a9e52fbd791e024c42524c4a03c54f7f,4945.3
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,2006.85
0x1dc7c58f26150304ab6d385e4950d760d4b1a81a,3863.25
0xe9fd13fcf430c80905934b6ad3d95c8edf23a092,1388.9
0xf9dac553d50d4de093e72c4f69d470fecfd13806,1545.3
0x7362a36a1dcd4754176b37c73fb2fe1d601af3ee,1545.3
0x25350120c181d24f995f007de7d2d15d87262d62,1545.3
0x18c3d0e7826b4d7df8c709e04c8fba8bcae1d092,1545.3
0x6671219099ea6ccc75eb3f4f4200d46a97b09a19,1545.3
0x9fa2b5a424787199d7937e131f48337ca84591c9,1545.3
0xdfe487d564e074bb1a69f2fe7a60a4364ee06787,1927.8
0x401d3b307932a4a96feb2fda9878a9b5eb91a554,2006.85
0xc6a265dfde65d5cab98375e75c5881354cd6566f,4551.75
0x88db7628f124fb389d96421f48d351e06ea30716,1545.3
0xea7c1aadce0fc411562dd219f1d12ee062cb376b,153.85
