address,amount
0xe4d77a020b735abd1df445a5a0dd71f019a6fba0,30
0x1b4ee726eab383cf23695d82259b0c1b93441204,30
0xe87c003bfbf354b990aaead50bd6c1017da0d1aa,30006
0x5547e93858325b7f1635187246761df3fb7c5ca6,30
0x027beaf47b1eb9ead1f6c9ed7b1d08744083fa59,150
0xf70e322bf12a5d66e10e616581f1bc163c6250aa,1050
0xeed010fb5739b84f4d1e66d2410a8448c3095d26,500
0x2b3d820cab9970dcadbbbb667e012b927608d17c,30
0x71123e62201060fc3155af4e4c752ac3659ddeca,1665
0x522a57a9267b6a54dde2f9a89863304cd0391827,150
0xdc61e516d02204e27509fc8cbb135da2439a3967,30
0xa981e5da41492afa1a22151ab19789c310cdae21,93
0x26dbd303f4b3cedf7d979989277d4c87fc112974,30
0x71cb96c33c7ef3a533e0317c02dea45003dc7495,500
0x9da9aa2871e2a2478620c4c9c2b52f1f1e487671,150
0x0b33725a9ab440aece0a4c9cc3113fefbc332b5e,100
0x2d57e90bbaccca4826571d6d4d3afe73c137e798,450
0x9e4b1fc86f71a0cae89878bff9ca66aedba853d0,1000
0x4b38ed7c53129fa2d8d766d1ce371d98cb741692,30
0xfa65e65a6321c37486972d71b3f50400bd43f974,200
0xc0331edfe6f139d3fb36ec25a62c64c5394c77e7,270
0xdeeddcafa310b351ee0ffeaa37aa94fc876919de,780
0x52332ec46bbd2d600dc00825583576b9483eaae9,30
0x3c8fd19ff114e93ae03615fa8060beb142dc9396,1500
0xfa6fd86b42ce2ec5e00c1cd35fb0c78bd88c0417,30
0xf603e3d4c180c33aebd92e3d5414e67184b7bb8c,1806
0x3789ad57826ae24fc20528771435269806113baf,30
0x28b460e553ce81ea5ea5407ece30bba3903af23d,1290
0x21ea2c330f1feec12aa8564793b3ebbbececaa72,1530
0x27e12c5f1d315a75337190e23fc85d1590156d30,700
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,30
0x3052eed81fb77621dd1e7266be8498e67ca0ea33,800
0x35700c4a7bd65048f01d6675f09d15771c0facd5,30
0x71e9310e45dcf526cc62188522eeaf6344c2e928,150
0xbe5f0418fbf5a67a03e9ec7646002832e4f0b2d0,225
0x048054f6e13bb29c6453a12337999faaf8ebd72f,30
0xe4cd718ac8d48f5e87b045d4bb8a38cce0d0dc9a,90
0x8ec9bca6d18713346438ee116587b59e4d2252a7,75
0x64d6e0774917bcc18bba2b3051283aad4e20afea,45
0xd3432977e02d6827b3826ec36c15763a677aa248,30
0x8062e69af89430d0749697cede9614cda80325e0,2766
0x40138f184a62667989f258f425e40f95846c4c66,15
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,30
0x6f1342bff21ac9111bff4ef9fd600a3a31f98aa8,5240
0x2cbc78b7db97576674cc4e442d3f4d792b43a3a9,90
0x56756ba80ca82a7cc15a5fe64a2e2fbe80cb1f33,30
0x1b2f1c73bfb14a786df3d4ded2933919bb9f75c3,30
0x89861bdfc3f7e2b2fb508560618b46e0f307afe8,30
0x9cdb491354086ab189dbb17360c33970b7298d3f,135
0x75220e5695b06e021fd89d20ce5e3f3f2f08f075,45
0x066fb187404feee6ee7f6cde21697cea1a89ec23,6
0x70c644274a52180e75fe9ca623dfd8c44ecd4f5a,30
0xe93616059af66d157b1dfd0241e918149c43381b,120
0xd938b623ba89ddb2e17d8c673ea48939ad7dd7de,150
0x9362fb8241d1e21429fbb77b2e9e20a748c772d0,12
0x34879c732066f322629c6e7399dc3de4afd22edd,300
0x0104a3d8ec570cc376533456f39880a3b44bbfc3,345
0x363c3116d796ed45871f2855111cafa44788ba0b,30
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,5360
0xacebba9b6e0f9bb65a7c5d8833411ee0ca8a7980,500
0x21ad964fdb9de579012ac97964ec069bd11a83f6,208
0xc941b4bd79886898f93d679facf56d5fe2a43a61,100
0xa30ff788ebac2878dc36ec379e55deb02c44049a,30
0x753b6384ef3cd4295eb3e915919aa5f06b5b3fd8,30
0xba54ed1472102912925f74087a659c14e32e7edc,2640
0x9d3afa524b87ba0a3b0907d3df879d4b8f044a73,171
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,30
0xf8dd533366bac13b12e1fcba5f95d8e11462b906,30
0xc92ac7b3fb6fd615a4b062958f4fef2a8b379063,500
0xfca98953be0338c1ff2d12af75e791af2c9f220e,990
0x672dc9d40b4c982b4484b0089b3dbbf108904453,1140
0x3b0127dc229d9ab979b327fa97fdb65bc40551e5,1020
0xdcc5d6dc48ad251b86e8c66dd50c1a7ff6aa5ab7,30
0xf9f2d4643d1dd151fa71a88bb41241b588e7ce5e,30
0xb870f75ecef5dc08da432dde71c4691617f3d7ba,30
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,60
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,30
0x80234d0da2a3b5159c6988ab068c2b99a90f0d2b,1000
0x7a4830c8f9fd7a0e262135801a16b8b137c84113,90
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,330
0xd8519ea62dd53867094b5fd8c3c6dbf559682072,30
0xd78576e1f671d1add3545b7ccf85f808a03a34de,255
0xc14f68e27f6a1453fdb434d9bc3bf03107f5936b,200
0x50ceed8c59f0e29e75dea2894f21e2ddee792508,6
0xed6f0a479462d2bd0c7e18c5bad910c64cd13398,30
0x1f3562fc215f9fca22d4dcd1a7c16a6f1e623f9e,3930
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,12
0xa65ca562fe9ee1467d68e2a7e8641c0e069b909d,30
0xc58d3876a94ddf168a9d5e470de3c34d79b5af09,12
0xe58a1f4067428c28faf881cfaf708e1d48c2f073,30
0x5769cb1ed566d63530c10637db1f2f5c8017c982,30
0x4c94a2c3b47c66207f8da083e70ffdf544191dd0,18
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,106
0x4e2c3ef488a49d973c15e5bc4bbacea896fcd747,90
0xc23cb9b68fcf2017a98a028f2c451c9f45b95db4,500
0x5bef45489a03462d199612c5cd992f114f398ea8,675
0x65c4ea52f2e6c33560b53794e23a824df4dc283c,100
0xeae66818cc2d0e09b1bb557121aed10d635f3013,138
0x598b13dc1d5feeac4dd55d55aa8bbdec23a2816e,30
0x9a849a108764a5ce2ab4cd3208071b304a9ac99a,30
0x0095b77ceb0178aaa38dc14a13c95a902d021bed,30
0xfff23b145120564a6d8160c888781910a98f17e7,30
0x2aaf9bd87b74c19c35d58f454e7f082a1420a0c0,1050
0x0d50e75d0b78bce96cf4ac52f43ee598489f825c,30
0xb046c5db96924ca5ac4222b8acd50b427374a24b,30
0xde32b2932f2eb6c2126d4434352fe14df083b5af,18
0x585269e2597d69f424b3721e4b42c3de82d8a0e7,500
0x31c76977e82652b04a42fb5ddd41e93f60343c5a,190
0x3c7bb8f3a697c09059ec64140eb1e341a015f0a2,1230
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,1652
0xee4d96de813024b64bd1e5c0f5b92b329dbedd0c,30
0xad8eae37db38b716be099fd74556e9c61c9699c9,30
0x5d6970e910255d89c1aaf51737a958595dc2d360,30
0x09c2daf764d124e4154c61d350cc9a5e841584db,30
0xabc41ab3e181856f012900290aa7e3dbab6bec35,500
0x37ef79efaeb515efc1fecca00d998ded73092141,530
0xc84c12e1fe81e9eec0d777899eb2a74b0a884587,30
0xd2383235afcf8e93698ea4cfb7ef55405fe8e249,200
0x612c89b3c9c4fb2a5312912b8a5dac11a1c2cd08,150
0x71871f8d560b0ed56d657211f68d6654db65c2dd,1050
0x32ca22cd51f47a758bbeb7a8c826e29d3a5be41b,2050
0xa7ee0a3a43cbf9b1965830cbf2cf5b7930a6eb05,30
0xe7be09ceaba1bfda83d8092d5303ee69a2456aca,1050
0x5b1215dfed1cdcf32d9c860f591180e236d2aba3,2328
0x3ae83076bef79dd20273779eb05889eb3227d6ee,500
0xef4491e9047c039eba2c82d1389e14a184352b78,30
0x7ef81e540c2989d6842634e1cf8f20d4a94fe2ed,30
0x7eebe2b7966616d52d7777057b16360960d2e220,1575
0xb3397a6feedff2b9fce9ca1086cb1bdd617c16bf,150
0x372c4d929939fe133b98ed9f56533eac7c73014f,6
0x4821b932a244c333c77c29421a909b4537cce5d9,118
0x9cbbc3a2d333ed26d5edacdf737434a412375e85,306
0x2d22e095b05c5c87947f1d8fe258238fc43bc14c,30
0x449f8c1e777c7fedc4f5fd26ed8ac515abd3f855,1050
0x093ad08b5c716a0d34190a6c22704b48227637ee,90
0x8bdd80be8b19071ba5ffb3d90f3e1ce972a0b4f7,30
0x12e2498e0e81d4a3033003ece4cd0c5b1b7d736e,30
0x79cb9e73c30728b56bfc3d5421aebacb7a1b8fd6,72
0x757ad4530ce9807941660d9e9897d42b86334900,1590
0x91f22d5a972d3a71195eb8becb6016b816f561f3,135
0x7d31122e094175378c589171386f30617273e85a,30
0x50db6f29c6a70aa6479e7adfc4248d5da900773e,30
0x460afea78a398f78476593d0be4e95fad3795fbe,110
0x2fba30393d3ce59a499ad9cb07e467541df5b0bd,30
0x8837fb0fce8ce3fd4c5f3562b708a682fdb4fb3e,150
0xafbac54633ce8990f003c17733659c7732e37dd9,30
0x68a4cd0f8e9134951109355dd5481cb9c1012aa9,620
0xc04df29424ee49395e962858eb0babd29b2c14e9,90
0xc5eda879df93e0dbe671b1e4db8f503def7ba06c,30
0xd84cd30cceea61e6d14d97bdaf22e0a8c55fcf1a,30
