address,amount
0x9c8a316bc4d1e18a222bede1edc4899462e14ec6,"1,105.00"
0x7078943ba34c0064f8e7ea40c368520e002a4575,340.00
0x58a05084d364da57e1264642d9088188d9b420da,42.50
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,680.00
0x06001c77a65b861249d4d6a2bfcea6dc8325376c,"1,444.00"
0x2b3d820cab9970dcadbbbb667e012b927608d17c,442.00
0xe044684384431c994f587afb8d552c8a0877a945,25.50
0xa009d96efb69bc8e328d43c4d18dd9b6d7422bc8,34.00
0xb3a3598cf265f1bcec212ff901b22b1841f13fa0,106.25
0xe1694c327d6bc1974491ef2d3f5706afb90670fa,680.00
0x9d83c58297b6307a4c62830efe16da9470990f7a,170.00
0xa8669466e420772f7e00f4d58915292228002c22,68.00
0xa5135394d563e323e83b5c1b097acdd7a053b40c,247.00
0xcd2fbb38f440d851a8a71f1bfdd2c52d18650d4d,136.00
0x28b460e553ce81ea5ea5407ece30bba3903af23d,19.00
0xc9ad7598166d87f1ffe4224ae6db838b132dac73,119.00
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,465.50
0x64d6e0774917bcc18bba2b3051283aad4e20afea,8.50
0xbca6e0f4bbbf7b876514371878509778cc5bce61,51.00
0x9b6cf46879086aa3c40c24071974cb6c948e8c56,25.50
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,306.00
0xf811c7cda02d03012577d45d9cbfad4358d5390d,85.00
0x2211deae839844f79d68b384b01fe03e40c5e655,25.50
0x066fb187404feee6ee7f6cde21697cea1a89ec23,238.00
0x56b4bb41f248f2fecace8c56df3878216b5536d4,578.00
0xcc858d2a4c300aafeeca15308f3a1b066b68e2cb,425.00
0xf5fd7718ed6e009fc4b886aa650915a342c42557,34.00
0x7219738d11ba72c0d3343753e7a7884ae5f45f33,17.00
0xbe14fe7706ff387848d42c9d63ed580f4272f338,17.00
0x968b7793796aae531ac4b3d4a2b582453fe4fd25,85.00
0xc2933176a9be2116721a2681e042111ad22f8266,17.00
0x5e2c20cee241f76d471ff2e1ec014a3bf76b399c,"2,125.00"
0xfc5602a6d2f0f6f326adc06726f4bf705fca0a0c,17.00
0xccada9ccccd6defaaadcce4885a9763f17f2afe4,442.00
0xbaf6f2fe0a5450df724c47e340bb38e9507a9d4e,34.00
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,110.50
0xdc922b6b33ce36b02c44f3b09cf7ea6b613ac939,17.00
0x7f65f8e92535deb207b42574f56d71e8c1bba51d,102.00
0x10716aaffd2097228c78fb8a7d844eabc85497f5,570.00
0xaddd7272d178c1597902a9148b29c29e27d8ba13,25.50
0x000a44a3b9a40c28fa85d4863f1b978df9314501,17.00
0xf872ca0185a5e79152a7a01d5f7edbdcd68bb275,531.25
0xcca0c9077072ec919be9b1bd37e06437fa8ceb2b,616.25
0xc300969006e95eed2a5a610202ef514d6745dd73,119.00
0xebc69508b0ff631852e64c42ec21c1095d9ae1af,42.50
0x1f00368bdeb69e3072776757aacf40de4c4c56a4,85.00
0x989e87b927366bcd2d9ef24ba35888b8f9d14fe3,102.00
0xc23cb9b68fcf2017a98a028f2c451c9f45b95db4,8.50
0xc493bf47f6624aad016c5110f37ffc77d34b30f0,187.00
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,608.00
0xfb40932271fc9db9dbf048e80697e2da4aa57250,34.00
0x6799c066e1933347f9cfaaa5877b843797c30acb,238.00
0x6ef22caa22d08d09082ffaffa3cd051296a78a17,720.00
0xae1a1cdb13ec86506831531d9e52456b2c0eb625,256.50
0x36d10badd98b60119c2c240aca947535ef489c4f,195.50
0x1e58f9f9296b934d1012cd6cb81c08bae83457d0,"1,079.50"
0x3eb4b506a839b33a4e5d8719a4150e478083d550,57.00
0x13bac47f0f4fbfbc418e9bd33cc02ee47e50bcac,705.50
0x3c7bb8f3a697c09059ec64140eb1e341a015f0a2,34.00
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,42.50
0x30358d169df7c6523d571cdc414965af2e1ff7c5,8.50
0xf2f0f4401805f8ad619d20ceb096f61149458abb,306.00
0xeee19a7371e1a6a15ac592fd637354779f27238b,25.50
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,221.00
0x093d3165a091240faf79b26f71a76aab9ed7b893,247.00
0xc7238807f9d1d99aa23540af6935baf6bd95d0bb,34.00
0xb5d2fc20fc4a5615469d5d4a51ff07e217b57207,152.00
0x49956445596030192034483b81892795b77a69d2,102.00
0x3797b3b26688d9c6f19c7c0b97ee26f2d7c9b28c,34.00
0x31ff43d8bde35e98510ab82ce0017f0f5ff2c271,"4,037.50"
0xa5e77f0f89d6f5b3b8d6b65f5b0e9401c6bace21,17.00
0xe9dd8b36c7d843e811601360b836bb73aced82cf,306.00
0xef4491e9047c039eba2c82d1389e14a184352b78,170.00
0x56a1ecc53ffb8f78ec82193013d936b1df000241,17.00
0xf0a987036ae814271ac747362940af9db795e0ff,119.00
0x3c9633b5a81ecc8a07187a63666e1f5fb1189a52,17.00
0x7886dbcc7df67665c4a89807d8794d91dc5d59aa,17.00
