address,amount
0xC9f0AE2BaCCAECC6Feb82796D56Fd0Cff0928F68,1490
0x65b4200ada48309e013cd949e7315320ec0ecfa0,35
0x89e94dcb44fa0b5cf4ff2868db704e573dc6dfa9,35
0xb6b2fb6c72e3f0c383905e048b8c6996b12bdf58,35
0xf90eef1fe323956353385cd6529cdf115172024c,35
0xbe761779a9063be8f9856424cd12d58bb8e25e06,65
0xb6b2fb6c72e3f0c383905e048b8c6996b12bdf58,35
0x2481e181ea673228a694adc7a9fdb8e2242581eb,50
0xfd4fd61cd21992efba47af79984ee73b5ab7d468,35
0x384b9bded7ddecddbc91a6e2d6836aad07d96674,50
0x1350b0d4648fb5b83dbcd24c101165f90693d260,35
0x77102e1874d8b45b9e282db6d3d52523472261a2,35
0x2a5c2bf012a888fb8586320e04b951455908b4b1,35
0x2481e181ea673228a694adc7a9fdb8e2242581eb,35
0x78a344d1ea62a0e18face6b677820f2b2f349de8,35
0xaca32bb56073c450ac15fb56eaac746512bdfde1,140
0x88f63972fc82b5a1b5122f0e534f5422696055d6,7505
0x17df42ce8f06281e76bf1f0dcf009701f737e424,35
0x392dbaf864e257feb188e11f895fffee298d6caf,35
0x57d31122e73a245f8e1b2676fd588564d7e82359,35
0xb6b2fb6c72e3f0c383905e048b8c6996b12bdf58,35
0xd902ccb411e6b576ed567159e8e32e0dd7902488,470
0x0fc7a5aa13b9bf3921ffccf2b5da7fb43a4b15c7,530
0x001835749ab182e8b3fdd172aa92acc058155cce,35
0xa50b7a271f76d6df73984b2c39bbe33f1a2691c7,35
0x1188ba6c8cd20506f2c8b13c185be9ba1fff6c2e,155
0xa1bc54146c3ff498771ad6b30a83ddc26f69d356,35
0xd11240a99c9c9e372bb323490c0c6c8c59d0c341,35
0x17fd528ab8efcc334daea20ab08cb24ee52515ce,35
0xecf93843fd7ebc8cdb038f2a8c4c0b63329a8570,35
0xd843120cbd9b6b3f83056a83cf0461c9f1502732,185
0x7c0faa28e31564390cb31d2bbb45909f05bdbfa9,110
0x972d8062626f26142cfa0021229c50c449669792,65
0x6b70025d015decaa6adc61506c0ff0d7d2c71486,110
0x4e8681c17f3083c6a06aa01c176ac467a323edca,290
0x6cd5b7aba1e610755ea101ae6197f97d4d24bb63,155
0x67323addd963c19045f99d71a9a15aa273024bf0,770
0x7aa257e5ea748a3fd91a9b3c7f8f0afb9f36c1ee,35
0xaac0c8fc794d6052ff30a774b88ef9d43a579932,35
0x55bf74d510f0b23bbad33323782b2f976b594236,290
0x754ebeccb0ca1bbb7788df0dcd0973f0e1deb968,35
0x800d78d230390ce591e8199744cae5da205104d4,50
0x88041bbcf4455c3407b0ea8f5c104c4407de653a,35
0xec4119005fa6790d46ea0d1f8299cd9943cc9156,35
0x89f219d19d1457a34c2b54b3262cd8d3709d3e99,35
0x75996dc2857485504fa780cf54b5d430786e6e54,50
0xafbde21f369a0aea77f7917a567651653d9654b0,380
0x02e0e641199c426c05c722190352a4afc9d4b5a3,35
0x7484e8695af50f3c8d62b42c303b898805bc7ace,35
0xf13121e950a62bb5d5b053d1ff4e712de98a80a9,35
0x4b2dfe3bfa39ab1ac28c2af401e53c6a8ab16ca8,185
0x039a91659034dee314c6e5212b8999cd95b70237,50
0xa723954aa068239208f7a9f46e173ccde492d419,50
0xe0c67e7e4bc2e926136c5c9f2d0bb4d68199dfe2,35
0xb12405eb11a1913473925dab4fc44f64ae672c25,35
0x70c2d6a5f9c2ee4e12f5c8148087e2f355b0c3f5,35
0x5d3ca0e80588389b078883d7f1d2ee39dad6e164,35
0xcc48bd6ec350a5197bafb504ed1223f1b390658e,50
0xa81b344132e6f5c908130f09a7864d4d75b412ae,35
0x815eeeda616f7c1a2d26e2321c34d2669499fb00,35
0x0b21d7787cb6dd0f87f2fa651ce48542e245a3e1,35
