address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,21.25
0x756e68f85226e17c2ad9a36f5f3c81f88a01b20d,148.75
0x9eb9a8e87b2cb9cbeef1231d6117e5dce57619a5,1116.05
0x7e69f8d973fe183ef76d83ad49259c14abef3651,53.55
0x7f7d19f522ac2673a82322725b2fee35ed0f0b82,53.55
0xbf13252f3e7d0c38ae2337c1cb3bc71f1883ed8c,53.55
0x47785c5533f1009c7ae117fe488d5b3d2df6caf0,1700.00
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,318.75
0xb859a2edf382ee65b7e2fbf92a91513f3adf8743,53.55
0x38abfbb94263000355ac94895ac1cbe67a9f018a,42.50
0x6fb2aae794c33b1131a6f12d8c84c4fd84327e58,3187.50
0xc2c3f13246a6e04bd4c1e0cf58bcc31e0bcef12b,53.55
0x96e95a1f40cf5a50178053740ade18046815362d,96.05
0xf2f2428f4367e0c2ebdb2eb8f81b86a2f04dea35,53.55
0x9dd9589cdbd822bffcd1b2cf4410a31eba219f99,1700.00
0xbb4f7d8ccccd48736b7dfb79ef49d7f1c0eb3a7b,53.55
0x13d2a02530e987f68b9df14aacef417525547410,3738.25
0x1e4c331d8dc510622f997b55520d877349741256,53.55
0x01178ba68f17f1f65675a00fb99d8d9a3c079412,53.55
0x2b3d820cab9970dcadbbbb667e012b927608d17c,2284.80
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,2612.50
0xc334cae02cd1cfa088f04fc74387c3c7d6fb6bfd,637.50
0xf4a403cf5867fefbea45e2c308ba45bd84f474a9,850.00
0x57703925eb53638e7860dbf524bf86e99549a971,53.55
0x1c3cc60e6c1e0f59bda0b3090ba0aa2c34d771dc,53.55
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,53.55
0xf8e984f5787966ddaf6837e18cd083b0e58b81a2,53.55
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,3293.75
0x5999f61c2c7d26811b5f019cde0831e98c6a61f2,53.55
0x7e9d8a0be535173a18515bb463963e5c8272eb04,53.55
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,2517.50
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,53.55
0xe9f659172d39c54ecae31c5f2161115c95a557d9,53.55
0x8d85ada666325e3d657d4355df4c7066edbd7ab2,53.55
0xa39f29ea0933c9016994c2a31d10b572b466df0b,637.50
0xfe6c17e467329740a12db926a2bcca732f1cad7f,53.55
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,53.55
0x6967f0b127f51afb3493a37823b9e87e4a05a906,53.55
0xee2bddfcaa07ac51dc9b114dc3ea8767fa11f705,53.55
0x760e001634df9c0f28d607074b7e726378e280e9,53.55
0x62240ed3da5a4eaf22d1ae84472634f247474551,106.25
0xa6311ddf73a94780e2b6bb5dfef516719877588c,74.80
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,53.55
0x522a57a9267b6a54dde2f9a89863304cd0391827,176.70
0x4fcf8116d11ea928ff07f738c0030236ab97a5ca,53.55
0xa885c5ced05658736659a7e525dce52975a8d62b,1942.25
0xd3e14c4a7f47472271251542bd4a42e62fe2cc19,1243.55
0x0555cc1f7f0976ea1e020047f6df51b06778864a,53.55
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,53.55
0xeb56dc6d1fd14172b38a777cba01302018585fc7,53.55
0x3458de0096ffd750eef057347d02cc695dde2673,95.20
0x1744b94fcc98f514dcf242e7b03a719aa162e246,53.55
0x560c1a7dd6dcd97855f9cc4ead8f0c74ddceea7e,5525.00
0x9964a001f3fd643d51244f305f425d2f85e6d06b,1257.80
0xdc61e516d02204e27509fc8cbb135da2439a3967,117.30
0x909c592080a8ee273f5c6648d874e78c7ea94a56,52.70
0xd50ae9846769731c418655ecda7cda6bf0f3ba5b,74.80
0x7a6e64e49b02ff6b57ed63d28917c0e0d43778ab,53.55
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,53.55
0xdd81ba980116b0d69900f206249d6c92efce8603,52.70
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,1062.50
0xe0f977a9328bd6cb23693aac40768f26ac0469b7,1062.50
0x57ce5700f427a8e63c19635dc9df1b52a7c8221c,53.55
0x1607c4dd0ac36bf7759553f07af76bec44976247,53.55
0x0c70a54bcfd25c6e335cab5603fe931121d3cb20,53.55
0xf878f2874ae784b79e8977b3878267d7b5613e96,2231.25
0xf37f7276c80f3a72c87d65a915aebfc8ab9933f7,1062.50
0x44b255d5521fbbe0001ed5ddf569ea4a5165ee25,210.80
0x2adc97f7609e30ad0e2dc0b829cba026549661a6,95.20
0xb364eb3d6c8e02ccbd5966d23ad9437fa8a040da,53.55
0x1117369f20ba3e454920f1b84c4b19bac4b34a2e,53.55
0xdefb49240f0060a47b5063c6b8aa5e71b2211d9f,53.55
0x8e203f2cc647e3da61070b79136b0fee0300f61f,53.55
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,106.25
0x7cab13dff89324aab2ef4ff47d2e51936793f9b5,106.25
0x23d5d2223e741206aa0778585dcddcf29852fdb1,53.55
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,53.55
