address,amount
0x522a57a9267b6a54dde2f9a89863304cd0391827,40122.37
0x32b1dc6a72eb673c539cea9d0c029d92a6344d7a,23076.92
0xa981e5da41492afa1a22151ab19789c310cdae21,17045.45
0xe7adaab00320ac43e035160f7b125f8619fe0e00,25210.08
0x0d8a31bdce93d40978171f762c0247f108903b0d,59300.99
0xfa65e65a6321c37486972d71b3f50400bd43f974,25210.08
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,25210.08
0x2b57c6f5258c0b240ba60a34674111cc38872ea7,23076.92
0x28b460e553ce81ea5ea5407ece30bba3903af23d,23076.92
0x1c829e7a1b5ca44cc381863e10448504e07f78e9,23076.92
0xfc9eeec3dbbc94255e527b48c5f8ba774ce77829,25210.08
0x8957f062f6c9ae4e04ca0304dada0b683db4f0ac,23076.92
0xd0615037bbe05e45b75f26858d9cba76e4d969b2,25210.08
0xf501a4c3b651cabc2266c24440a76dc595b8f554,25210.08
0xa028a3560458840f22428126e20ac088725e1d0c,25210.08
0xe4cd718ac8d48f5e87b045d4bb8a38cce0d0dc9a,42255.53
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,23076.92
0x343bb7c0c42885c5f8b1d5a43649fb1450d6c637,25210.08
0x363c3116d796ed45871f2855111cafa44788ba0b,48287
0xee49e81e591be86a602dd3cf0a8d2c91cfcce7ec,25210.08
0xfc6343fa0e4dbaad2c536bf9cbb9c068add4a9b4,23076.92
0x4bcf75211f31be86aa1a8c5daf41c009feae9303,300000
0x836acd3c0fd5c636e503b7382e87ff7d4c923f94,300000
0xf9f2d4643d1dd151fa71a88bb41241b588e7ce5e,25210.08
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,23076.92
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,25210.08
0x1fbd53696adc9d8f39ccab49ae5ccf297b9e4adb,25210.08
0x5c216d7f402b3f41eab91df35732c8994348536f,25210.08
0x1fe71469db264c5d49574d7d90d1e900a0d9f12e,25210.08
0x4c94a2c3b47c66207f8da083e70ffdf544191dd0,300000
0x8ae7ae32f0b4075265306917d22fbb0eb053ca8a,48287
0xfa7fa70846a5493e790cbb5e1891a7ff8789d3fc,25210.08
0x65c4ea52f2e6c33560b53794e23a824df4dc283c,25210.08
0xa993ad31ef46873c0193448dbb2f04c0d3854731,25210.08
0xeae66818cc2d0e09b1bb557121aed10d635f3013,17045.45
0x84fe07ca774b0d45f3f74f3391bb6fb05dcc0667,25210.08
0xd9f39aac8582f5a3d600fb19d82591bbcda9d4d1,25210.08
0x94efb5bcec28e58d2f7750bc43812d52f5dd0b8f,300000
0xd025f432f3694c54036eed5c7d5b4a22210df4fc,17045.45
0x26e71614a3e31736aacbd69ebf16aca1082cefc4,25210.08
0xad8eae37db38b716be099fd74556e9c61c9699c9,23076.92
0xf9d80009f45fa0e6ae19ef5ee59f8d5cdd88de36,25210.08
0x09c2daf764d124e4154c61d350cc9a5e841584db,48287
0xf68cd0faf47d562a762cd65f6a72cf1da1cc1c1e,23076.92
0xcd3160be7cd2d107896992d23df6b87e3403a543,23076.92
0xbbe18dfd758ffb3a2acbcbb215e351e59176f63e,48287
0xff267b22ac9b9b2c8d6c49c04b6fdaeaffb32acd,25210.08
0xd68561fab1e913e128edcfddac8b45337e0821a8,25210.08
0x15185c77844b64f084814cb32c8cd3f82733e6e2,25210.08
0xc6868bf5a5b943de64bca6c8811f48aaf69a7e25,17045.45
0x278656317556d768918054b5d287fb7a5b6d984d,23076.92
0x460afea78a398f78476593d0be4e95fad3795fbe,25210.08
0x2fba30393d3ce59a499ad9cb07e467541df5b0bd,23076.92
0xe09d2a86dbe03709a641ee111a7e31ee944875e8,25210.08
0x80482da8c209c8687056dd20512844b77cd58e80,23076.92
0x00ada5bf8ef794fdd916bdc06e032ac1613dffa3,42255.53
0x69e708f6d87c1b237df1fbc4b5f06087ef4002ed,25210.08
0x13707522372ce29decb5a10b73a4bc8dfbe758f4,25210.08
0xdd903164a765f5573e37cc039500a9dfcd806ef4,25210.08
0xe7b7f5622c00fe6856b618f693c8eee261e7fa9f,25210.08
0x06dc0cbf44eed256c5975210095be703504a4541,212710.08
0xc1583312ce989a230f8d55446e9c1e163a049e13,23076.92
0x7049d10d42847397b0e52408f8f8c6c23f619b47,23076.92
0xe0b6db19e4f844aa6d88dac7d77c37b213cda550,25210.08
0xe2faa637bc3742f97e98d002044bdb3b35383162,17045.45
0x4ff87b860359d4d35d65ef38477b5e40a9cd0be8,17045.45
0x12c66f5f0636d7e4d51c0c322233eb83dfcea3cc,25210.08
0xd5a058ae0b8966268f739fe2aacd478e04668c64,17045.45
0xce9a4aafea9957c96921c2cd946c2ac48b25768a,25210.08
0x891185a2e42d3e8ff8992eb3420ee7716c68f6c5,25210.08
0x219ec5b1f631eb1695f0b5e735c7a3e4345b2a23,25210.08
0xae135ed58edc7e2ffbe35bace66f51241b092259,48287
0x1e6a2f5998fa726cb783df15d9a3cbbee5a77a8b,23076.92
0x3e7f0d9032d93603f829497b82151841cd8fe60e,17045.45
0x7b765fe0cab5cb6507a44260b419c7764b737437,23076.92
0x9b95b613107176cb344f23ad2b1f9f50e749077e,23076.92
0xc00cee5d4243bc67edc9779bc787b4dfbe70b9e5,300000
0x49936f86152164bf3e97b4f2ce377a8f2c64280a,25210.08
0x9c8b450cef65481b07fcaa47633abf2a0cc1e7e8,48287
0xd8c32e870acf6c848d8b836da889d2f87b5d84ae,25210.08
0xe3e7c6e43f31e55f6c8c3c50e7832d47550f42d5,23076.92
0xb3ca0ba0f0d8f8c48bc831f73e1df2d7339b92f3,48287
0x0bc407b8a67c2d7189363930797658719f9b461a,25210.08
0xe408f784458ea8becf9f12872ea78f10e06cfba8,23076.92
0x6586ddf4a8dc7002ff78a2c78dfd0a68db9c1c4d,48287
0x4d4ac1e771412c2f6bad79bcfc94ddffd8a2963b,25210.08
0x77c779345f3ce2035f096118c005a2b74a834108,23076.92
0x244a965b5c50903f089e2c7c9f7c3f6d37651461,25210.08
0xadd5386854e73f45543136730faa9c27fe529d64,25210.08
0xdb835eadd288d27a3bae307ada0da44506d62783,23076.92
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,25210.08
0x66575fb5ff744c7e34ef44a17fd958926d4c1f37,25210.08
0x3790656f07d0ca0d0d8662f0b3fc2a456882e90c,25210.08
0xc0cda36728b2fbd5cdaaf31c922aecef30d7f855,25210.08
0xcd74abb68500fddad14ead2dd500bfa4323a5a4b,23076.92
0xb0afd03957f209e039eb8293b40fdfafc5be3a84,23076.92
0xbfc3a0d24a5fb4025ec92824cfc1545acaa445a9,48287
0x90788c8ce0772270884bc5de23153143d750f7b1,23076.92
0x76ad498716723830fafbd3e98fc1d641330a2096,25210.08
0xc4b9e1c4bc6016a0e3b10d637b8a5c9714520faf,23076.92
0xab8b55819edbfcf4f60822f6e926cb77514d691c,23076.92
0x4e83d14694cd5a53838be8071b73d9c2fecf784a,300000
0x5fae25dad3830022a1dae3dfdd9c9040da5829a4,25210.08
0x6d4184c8c086729ff3feac476a72a7b73bf1f029,23076.92
0x74dd944832a58be9838f288a9f5e856f2d27744e,25210.08
0xb748d7e2900601abb02552e373b0da243ef2b850,48287
0xc9f44ca1d383bc48dcbe4ea530b636ccff577019,25210.08
0x63876585a9f36b1d30551ae457463cdcb4c05af9,25210.08
0xbd685547c068678b655e7f71217e46ee4e3ee06c,25210.08
0x8e1d411352d79ec10db2f7acb84b95f16bf994c4,25210.08
0xf33ffbe6ee7e88a351ddd24b817c89dad792af40,25210.08
0xab24a055c523bfa2c069ce9d99785dc9e9a87441,25210.08
0x17e071372ba2c7ec0d21030e27db41e9ab74b2eb,25210.08
0x5abd2041d8968734a1e66855163dbb8b8d540884,25210.08
0xd3e86478bf653c77f83737d831d1003ed447958c,23076.92
0xcf7be6fd41f1e6cbd1ecd39c1f2ea442320e4ef3,42255.53
0xf49545d736a8bd0c2856c1d7f523f1c24b849acc,48287
0x86aabcd459587bc1a347ae1e2d15223856354ec9,25210.08
0x2c3315bb6a60c2330c24e46928baabaf42237bfb,23076.92
0x78fd084840707b363c8a03e68b4a132d19bb626a,25210.08
0x788d246033801babd91033eea09152bce117f426,23076.92
0x8e0e3d4a18aa44904ebda87c5b42545d1cec2e5f,23076.92
0x36c72dd9437e09254965da3458470efd2cd750f3,23076.92
0x65119216db990266535e3fc61409e31fc536d865,65332.45
0x6fcee7bc11f7826f88335cd3e1aa396f7c859659,65332.45
0x37ae8cf8d392f65a6517b1003d3596a722c6d94b,25210.08
0x02acf7ec442d3e246326c6f672e34ee2cf7ac1ed,300000
0xb98431e3989850a5588eea7282c1d57cc3bf01ce,25210.08
0xe24dfef27d5decb932fc7f11fe27eccee512ed62,300000
0x6bffea65431a73a4cc9b5f85ac9e5fd28d38abdd,23076.92
0x36e4e8db016b554bef79029907e1caef64087bc1,17045.45
0xe8354ad5032ae924942d56db0b94552841e0ccb4,23076.92
0xd36e728e68d5251e174a962443aef107c3991cf0,25210.08
0xd471dfa7fec96822b86161769dd3eaeb4bb6f7e0,25210.08
0xff9d820c9a4997d225f19feed8b678f8046cc1d0,25210.08
0xa12bcf1159aa01c739269391ae2d0be4037259f3,17045.45
0x9bc528fb3584c1428fe569950b50ed86b0abd6be,25210.08
0x39be8ca10ae4efdc961c1a21f6aca1ac7ae64380,25210.08
0xe37c45ec6eb93ed9e097327447b757467cc0f8cd,25210.08
0x5c06181645941012fc42c3ba662f77c195eef0e5,23076.92
0xb63f6192bb05a7d2936479b534531e34d1e0081d,25210.08
0x0894583873bdf313ea6db73545817320f23ca469,25210.08
0x7254543573af637aaf19cc4abca46153236c5569,42255.53
0x42cea9ccf78e164ebb5ace4b50af98c226659210,23076.92
0xec4916b20c0b7fbc5bf7571a4fb066e10023584d,25210.08
0x349dfbe56efa0eeb51bcd237f86c3f6c177dbe5f,23076.92
0x4fef2a576965aa81a4c4e07139b2f6afced55f05,25210.08
0xe496b9dae68451c57d7be1bdfe740003c278aac0,25210.08
0xade7e113cd57b8a34f9f9fac24e6fe8ead718a7e,48287
0x168a3d20c057633efcd6ef29abfd4795690fbff0,25210.08
0xb2a92b4898be5ecae0d62d3792574d327ed7c873,25210.08
0x469a49b82946a44be4d23eeeb6232c73fb120d62,42255.53
0x3faa9ee9af560682ababafb2d6d6f5de916cffa4,25210.08
0xc59a0bdce577bc968c0d3e830838c8eb4edca02d,23076.92
0xdf862bb9e7703ac9982479b798f23b1d214c1874,25210.08
0xe338bbf4a7c01715f1a1fc8f816dba5a065ca93d,25210.08
0x81b699fd76310bd4cfe89cb5e9ebe750532122c6,25210.08
