address,amount
0x16e70864f9f80a94ee367427f61028deb2b55f81,1108.59
0x02766e3d25bda6badcd34d7bcea5bf054990444a,1108.59
0xa9246678855b64be286a36c37fba1198a97cc82e,1108.59
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,1108.59
0x107c71510152a39fa08cd37a3fe7e7f6eaffe428,1108.59
0x96e95a1f40cf5a50178053740ade18046815362d,1108.59
0x1e4c331d8dc510622f997b55520d877349741256,1108.59
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,1186.84
0xdf506e98fa069a324fe1b80ecb3f29035ca0d3cb,1108.59
0xcadeb66b39ceecc12630f85a0739de723bbdb5ab,1108.59
0x554c3689d9ff54b2fb53a00720e68816932f381b,13843.65
0x88290a269f8ee26ca6182e2ad42c3d40046e4dac,37102.07
0x62240ed3da5a4eaf22d1ae84472634f247474551,1108.59
0xb7892ce888bf14f3259b0d9627abe7ffea158c7e,41530.94
0x3458de0096ffd750eef057347d02cc695dde2673,1108.59
0x1607c4dd0ac36bf7759553f07af76bec44976247,1108.59
0x0c70a54bcfd25c6e335cab5603fe931121d3cb20,1108.59
0x901be73c1197a761fd8394486df4e9da30786a56,1108.59
0x33cb44260a7564d3cac8da5a6d0fffbcacbfcfea,1108.59
0x7eb7cb3df6fdb40462be415fa117626580ba8da4,1108.59
0xb14a8a00da10b45d81c589f591e7fcb4587e5e70,1108.59
0xa5135394d563e323e83b5c1b097acdd7a053b40c,1108.59
0x93bfbb23e80152b48ea913a4f631bd2dcf2338b4,1108.59
0xf075b811bff4364d0925d4fc4f908c9cf86c793a,1108.59
0x4ee0b5dceebf3eb0a97f476f3658f158df63e53a,1108.59
0x629a229309a35b166a5f3557995d957ee7f1a100,46416.94
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,1108.59
0x11129c98a269742177141de456733e9f977f81d4,1108.59
0x60b822f7e074bc3d6f94f30b8ef9999dc8b60158,1108.59
0x83c08f0ebc2ddcc25c2e6e74fa1aa34ba78f8086,1108.59
0x84214a000ba9a1da76cd424d267e67bb861893d6,1108.59
0x29572d7078d01a478fa7104a6d454dac3bfdcecf,1108.59
0x9f22cf7dbb60fd54b1371dc01679986c8078dbd8,1108.59
0x943fba84e1d109c66ab2e2059ef00da3a75b2512,1108.59
0x9e2c3ba5e045e49669b21ed1735bbf7a2e422d82,1108.59
0x80166ef38a42a3c5d565778b5178eb4cc134db21,1108.59
0x7bb048d2ba3432b4e0b79c08175b1007ba299e58,1108.59
0xd894b25119f39aea58d786329619f0f564a99a5a,1108.59
0xc9301a3cf3a4fc279c5a33ae08dd9a876a6dd470,1108.59
0xf53d11ee62054bfaee7e7abd4fb04c71b07a3abb,1108.59
0x38c271c9fc3a0e244a752b25a31d93a63767d567,1108.59
0x15a3313f8efe26a242327ff343619c95b07cd112,1108.59
0x65e72cafafce1e0aac8f1d3f24a0e75bf629552b,1108.59
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,1108.59
0x9ebdc1767b0c33878fcdd20db734b28e9bab9e28,1108.59
0xad8073ae3aeda481468143ca12257b9c6ed3d9d9,1108.59
0xf92735fbf19aee90b89e4df028341f02b2fd71f9,1108.59
0xe8e29c9e4ebc95163ddd484a4eb08c318f2cefdf,1108.59
0xb4ff3f099274d726ea76642267fd217eeba8c0ec,1108.59
0xde59dde7c5428ba29c7461338f4a6f45637c792d,1108.59
0xb44d3b0507e69f7fd3683fb4ec3bdbb7cca0ae25,41530.94
0xcd9fd480bec6fc5fa0af9f0eb984ab8a2eee92f3,1108.59
0x818c39aaeee8e7e719921829508e033ddd01b3aa,1108.59
0xac284ecdcea995fc433378f91561876da2a7208c,1108.59
0x3410b04c2362496d0d06a0be58658e7cd5b50e31,1108.59
0x64a53d7a2c6785ccaac349fb172c0f85c50bc0bd,1108.59
