address,amount
0x5e6616c3411d7674cf5f8e79650c44c4672d0b8c,255
0x367c19613790c1d0174c20cdf5bf7a7adc9820c8,1304.75
0xc0bb18c465dd4ba15ad702fc29831c1a9cb747de,284.75
0xe16628fa223a6c34e5190de9d11c649861436975,284.75
0xe2b4a562dbc8433124f9fdba191a1346f038144a,284.75
0x133ccc0078d467b5f92918f888f50b15b345de0a,284.75
0xc5291f7c8a44ca0198028f9739916d230edf747b,255
0x5547e93858325b7f1635187246761df3fb7c5ca6,284.75
0xe9422af02d562e92a275ac50d188ba7b789a0e84,284.75
0x6df77870086187a1af7bc7c666dcc4e4f57716c4,284.75
0xa0ca6b904f654c9b7c20afb775aa120406b0ccfd,6375
0xf7065f5fde571d296326aca303ebbd9ad3a13436,284.75
0x0472d7a590030584b4ba638398fb546810b39e37,284.75
0x99ee0e905141c1e5335b9e5fe5a984a6e03ab431,284.75
0xa60cd48946b4e1d553ce668827a91499d23749f7,284.75
0x396107d5b59b53fdf8b6383513a7f6796a6db3bb,284.75
0x6308f94ef154b117bd877a32881c35fbce7224fc,284.75
0x13d2a02530e987f68b9df14aacef417525547410,1020
0x2db838aa256edfd0c1d2e23981e112fee582f3ee,284.75
0xe1cb2cbb2e01ce63d3e632d78a270a7336d9daf3,284.75
0xd533628282dc7cdc5a74fa6c5549bab2a6f8b081,284.75
0x94f6a09a0f848d9fb1acec90a4e7002d4b0e6e7d,284.75
0x5863878063b862166b7bfe17dc3eb8a15852fb45,7169.75
0x2b3d820cab9970dcadbbbb667e012b927608d17c,255
0x8331b95e050690240743b53830eb30fc3b2ba647,284.75
0xa932427d89fa64c4a4c8b78a474bb13fed070878,284.75
0x546c55eea77624b1a9fd2cf4079b4bb053f67e9a,284.75
0x692af9853df5d7a8bb65a86dc42d977e51f5227d,284.75
0xaefce28c5bcca20a39dc542bf152ae746ae40a7a,284.75
0x88168f97f0a5c04a4a412ee97dc7b8e5e0d6fa26,284.75
0x0bbce858a43264efc48e155d0de7a35410006e8c,284.75
0x15ba6d9a409115aa07a3de3b97f88a071e7c6671,284.75
0x88f347a32667e6aeb1a19ae05b1a933686648349,284.75
0x8a80defe061f9f0aa4a0e7a3a23c7efdd5764616,284.75
0x14ea0b11e5070cf21a7204351ac9426c042dbf5f,284.75
0x9100ec73f8f469e79f3870335d82ee4f8926f823,284.75
0xc53cbeb1e8a12e669928f4fe51591bb8e7671327,284.75
0x1ca1ed8fbd471802b6332a2f1ea27ba33eb1c84f,284.75
0xa12fec75d2783aa5057731cd485e07e4445f96f0,284.75
0x4dfdc4ddf78f125d58b586264ecb1dfbe26c77b0,284.75
0xce4dbdc7ad2607d988b62ea420aa68f9fc8b2030,284.75
0x917de33385f72bfb72527898eb8dcca8cf9c3474,284.75
0x6f911c1040107a2fe8b74ec09005d6a677d789c9,284.75
0xf2390fa457e7ace70b87b3f2ea8e626bd3cb83a1,284.75
0xa9203de19148f1a8795fd8e420d48a625a20165b,284.75
0x668ddfbc129e5b6b51dc5f0e9dd71ae4d69db38a,284.75
0xb4577a4819f893c0a4020a10f87d134fcd6d8f35,284.75
0x4e97df850dab913f61de199277c1ce49f2370fce,284.75
0xff26b8cac275a6da63c0a4a97cfc0effa855d08f,284.75
0x961725911bdf4b436b0ac9af87c6bdc0434b28d6,284.75
0x7a0adb8d368e44e0efaf479ee9c8d962816490b0,255
0x1421bba806057800d64ca9f271b1eda006590169,284.75
0x8d7204b5f87e7650400da517140db6d43adc6ea1,284.75
0x5bc920e9e7ac4060763e32c92d43e68c667b039e,284.75
0xe07fb4244e605f3fe0e5dee921626458cc312601,284.75
0x0ba3e0bd8788b6466bc39f190db3c676d9f57a47,284.75
0x786668091f5b94335139ff1c869dab00df6d8275,284.75
0xfff0e93340b9d98b3fa9f4f74ae8aec7f29e63c9,284.75
0xdc61e516d02204e27509fc8cbb135da2439a3967,255
0x7b878c0b68f5903eb3802d84adf39684be3f97a5,284.75
0x1bc381c50304881b463bc0d3fdeb50a92910b311,539.75
0x031f5fcebf0ac464ed9d260fd85f12aa0c11fbd3,765
0x432d8b9d8758a2a1b350d38536ea2a44ec8c4e53,284.75
0x70b02d35d731bb8db768053e1f40c3036afdfaba,1020
0x82a3529f832acb41e51f27a0e9e109e42e243aa4,2069.75
0xc4baa22875102821bd01f572d63679f5f1cd8046,255
