address,amount
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,12.75
0xd902ad29e5e50d1f78ae0f1722c0ee5d63c02765,12.75
0x7fe7fe8663794ca6cc3b6bb4680bce03c026aa3a,12.75
0xcc6f0c43fdfd6aee9e301db1a291e725fd0aecb0,12.75
0xc8d51c996db9e5f5c684d40a950ff043282479b4,12.75
0x6aa6a776bffb55adf6e05f205de8923b639da173,12.75
0xad78b4fcce8498108234a4af9d5b348328bf55f2,12.75
0xd4743d70669ca8bd40998e651ade5cb119c1280b,12.75
0x2f6102a60813af809c8da5f46ceb1d022dd718f2,12.75
0x9f5cfdb271da1100df86caa10243f3120ba4c6d9,12.75
0x64471ad82235b8e8063b65d38a6d1db9af19faa8,12.75
0x164ab5c0c28611b97173026bdfbd7eb47de3fdb7,12.75
0x724f852edc247de2e4def8b8ef4581e84e14c141,12.75
0xab901f71988c64541932bba8d243bc23c3849561,12.75
0x11e3ddd9922b0d4b8b2da958125b29b518ee8e1b,12.75
0x3744baa47228b390c79a8a06df241e48308dd680,12.75
0xc05ef673dfbb15b0e02f58971b2dd9088b43fe99,12.75
0x9b85ee94c25294d5e2bf9c9b9b5fa5b58602fad3,12.75
0x68e9496f98652a2fcfca5a81b44a03d177567844,12.75
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,12.75
0x423d0e766f2cc5fb9a070aa4c788b226f6a459fd,12.75
0x2c11464dca0149a64516dc1986d1c4a2058782e5,12.75
0x81a6865c1fe14de669af737e1efc329e44d6c6fa,12.75
0x09f213953d92f865b949b3e39b9dcfae687d4966,14.25
0xf393da239d8bcd9ee132e113ef4753cbfa411c11,14.25
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,25.5
0xcc4364e3c200c14683075f3daba036b7db5bb0ae,25.5
0xab71a525c9a7f0d9c3310654d6b4d59742ea2904,25.5
0x03d279c1b95725562fca79a6562afc5904aef9d3,25.5
0xf33ea5b3f0ab05e39d1656d42f475b5a87ed21c6,25.5
0x89edf22df2672b4ac72276c00ccf54e73516dcf1,25.5
0x999eaa01cb8c0f468bf1288370752900645e538f,25.5
0x35c6a7e6fb58017a6d90e16ac6620ce3e849a08b,25.5
0x5a512fa78d53464ef7119f74175b2ced722e4392,25.5
0x376296316a8cc6d5d62dbeaa39787fe9acd6e891,25.5
0x3bd568cfbd2d4e16017570fac8816da10a31fc79,25.5
0x494f205fd1a250888c714d99b48db56bde9881ab,25.5
0xe49581af71d949200f5a59aa09088f93e535a37b,38.25
0xa5135394d563e323e83b5c1b097acdd7a053b40c,38.25
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,38.25
0xdfd2144eb8cc1212551d50b00b18a2fefcf6762b,38.25
0x7abb5bd20569acd659faa3338b39fed8b6ac7b60,38.25
0x8a15e42672c1161479939ec6c1299ab1e481055f,38.25
0xb3f1f3d5e94897463a7f631e9d084b67243e8288,38.25
0xcefb6d3824ae14bbe7ecf5774222785706b46a40,38.25
0x200ba9a73fb40d4bd4fd7ebcbdf2ca888a385fef,38.25
0x7cea6612d62d82f9558355133e9a648f09234d1c,38.25
0x55cd987a00536fae8e1f3effc2a6ce874393e6e1,38.25
0xaf71fbb0c52ca5687eaab139a70fed3e44b35fd0,38.25
0xa5254e3e5c3dec8ee1e3fc983716b17139b3cf55,38.25
0x1d0ef5158ea4914ebf909b53dceacd3dde8476c1,38.25
0xc5afa6a17fb1650256efb8d75bcd02b8f10aa26c,38.25
0x33823986a5c7892298bd794d4cee5f77e7676b38,38.25
0x900e1a1916eddc2a4985b5515518dfb797a6534a,40.95
0xe07673f8c895348fbde720dbea0a967eb1c72f60,51
0x14c78df591cc60d8a0b5d5f62593523456ad6c18,51
0x8baf1bb6d6e52b6e81a9d780c2f36fe507dbf6a2,51
0x80f4150f4552fa20bee7aed9285f7c02833c8153,51
0x32b757621a286104fa0b045ebf2ebd34b495a5be,51
0x8b190a162e643760d91a02fb35dcec858c4e51dc,51
0x7d334d22f5bcded7ac7219ec537c7d5448bd1e4c,51
0x59e45131e64bf57e71fe8c86421664337f28e9ab,51
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,63.75
0xfb40932271fc9db9dbf048e80697e2da4aa57250,63.75
0xd586faa55f787518b0feeff12788f40ca7d01f74,63.75
0x9c0ff565272cef43253b46ed7d67bb402466a01c,63.75
0x2c068d142adfce1a17f862c7e0de93975b2d76c3,63.75
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,63.75
0xc95dd22eb99f812eafab969d9b4b59ddda3f1994,76.5
0xa0204536df63524882d16c6eb1519687ebebd0c4,76.5
0x2aacd59b6721c6873129976a2b45aa32b161bbdd,76.5
0xa30ff788ebac2878dc36ec379e55deb02c44049a,89.25
0xd010b1a8cafc642cc5e918a2576a84735bc8030b,89.25
0x525b0696d50d26df97fe2a26832ac94e0c2c0a11,89.25
0xcc2c4a7f6b8221c0e7fc5bbec414d5076741b035,89.25
0x7bbeeee5fe4499229ab9ce0648d67d6867616b21,89.25
0x717fdb68633898d4318a74e9243f5fa69e662389,89.25
0xc70fdce789d59d3edba8c3efb5da283ff2f54eaf,89.25
0x532077267dbc910ba60d7a044c4e4d332877ccbf,89.25
0x17bf34a8ec5d087480de409986b95277b3f1ebe7,102
0x86f84f893fe22910c7f22cefa4cbfcab5a00915c,114.75
0x23d344a3fe9450753324523425eac8bb6754eb8e,127.5
0xe20254111032f19fff333fc59faf2b0d4dd79d41,127.5
0x404a94db94feef480d94cb5c646f3ed05e2529e3,140.25
0x5d6ea86334d8cf9ecbc2adf1ca837d4e6fd2f031,153
0xbb9206be2ced850b7bb0632097ec7a82e246bf88,165.75
0x88a02ce96955891fda16642f7d19ae61ac04c3a3,165.75
0x880b880ab9bbe19a80c2bf65155ea51290b5444f,165.75
0x46856891dd8b6331e783559022e3f721bd06afb6,165.75
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,165.75
0xadef07f21f632003bd8362280688e099f56423e1,178.5
0x8f96f00b06f8cb309cde4fb82f6cd562bc473833,178.5
0x509abffc5e8d3149fd9ae3dec849797d6a3bdbe6,178.5
0x2677fc9aa7e3734a6e8619fa238e09356e06c6f6,178.5
0x2f7fa4ac20df0abaf15bbfe427c06af3c4a48e5a,204
0xb2aff004457681a286748e331f13dc57728d7ddf,216.75
0x56db32b4cab162aabd057a852ba616b017a79790,216.75
0x63e73058e65ba0fe3f925d2948988782d2617ab2,242.25
0xbaeeb7333db39a363474f912cf630e65f72f7155,242.25
0x192513387b1bc31597ebf9f858e19bcb410ead6b,242.25
0x2c9ac7d871c4c301cfe1aacb848ccfe70b0b38c8,255
0xc0f98e28e7f479aeb86f29d27621091144e90291,267.75
0x5d03b8fbb6426acdb5836e0b3f4ace6bcb620a26,280.5
0x57800362a0f50d36604a55b360c33635c7a744a1,331.5
0x14b51dbaeb36bab0465fb45cfca569eb41802735,369.75
0xe9d99deea6a4da5c7e32cab1495f58139b70f8c3,369.75
