address,amount
0x13baC47f0f4fbfBC418E9BD33Cc02eE47E50BCAC,512
0x81f5d147663DfCEC32B5449749bBE42429BDB8FB,368
0x9BBcD86922BB7B7422d35DCD951418ba6161B922,363
0xFeb1d3De1b71FCeA55a5cc3b3e82237A881e6033,256
0xe1C6b8e343895916b072d9Fcf6e5116FC137FeaD,291
0xBb3ed2A0eb60eEE8c0DbF6D1b74e8b0A21FAb056,361
0x9AD6a4d4655C393e592D5bB81Ff0BeAB54ef74DD,347
0xF393da239d8bCd9Ee132e113EF4753cBFA411c11,3009
0xd7d68bCA30B206Dd7a5c2ED0367d8FA708d0f2F7,3200
0x7049d10d42847397b0E52408F8F8c6C23f619b47,171
0xA5135394D563e323e83b5c1b097acDD7A053b40C,155
0xDB28eEDf4924dd6099DD4A2E65DA5ECb2Ae6890A,150
0x970b359b647b311e22733a0abca43a4299dc7c8c,246
0x522A57A9267b6A54ddE2f9a89863304CD0391827,315
0x74D6E9da87D413D579Ea61578615E5387f08A572,3600
0xDf65d5d0E5b91D1C56D3ee57C9d2D6DE5601f4Cf,243
0x1430d679B872A94DAb5E4e0f1049675E471CD02e,283
0x25F2eDef138dB6e687880cb8373E2715a738A396,352
0x5646cBE5632055C09b370da57D32598d0506D60F,212
0x187e29f49b0acb073375a89e10fd72c2b5382d83,150
0x86f84f893Fe22910c7f22CEFa4cbFCAb5a00915C,235
0x471f97a4729bBa55393487E8E8Ad71a3B640483e,360
0x66A1c94eE710fCDcF97fddc7b3cD62AC434B7951,180
0x7F5f050d45a8EA62eCFA6bD595ec18a75644d3c9,1005
0x4fef2a576965aa81A4c4e07139B2f6AFCEd55f05,502
0x7c5DccAEE1e2f103585acfBF72dE8E19592c091C,150
0xDc61E516D02204e27509fC8Cbb135DA2439a3967,15
0x561bBbbFc0fb061EE03507334fc178EcDb478d31,3776
0x9A8Bc9c6d9698471e284bFE2FdAeD484D16BeE5b,150
0x9F33F80cDCcE696629164C5e0bDBc978c46ac951,150
0xfB580003538eCaA8117132132116649e1AdfBb32,15
0x76F6dFFE322E1Dd689A924ACFCebE530FF8B5868,150
0x4B17E8Da93352301807C8777Bf6a65bCd0ec47B0,150
0x87Ae9047f7879A229a929ad5Ee026a5AADa15b3D,155
0x7D6b8819851Ef3cef84C1c2945880610ee68c078,15
0xcE99E81912fee351b1058E822b1aA41745aa55F5,15
0x3307b5E2EDcf5d76F631f7764Bc9b89231FC5963,520
0x7886DbCc7Df67665C4A89807d8794D91dC5D59aa,339
0x3c52b157248b5B17b1f3cA4391a9B29EF966aB87,182
0x78B033d78091775a802345B7B301dAD45fc37de7,150
0x87f94E1fda93758a4523f53e76F04117500e4464,379
0x4ED7B18310130eD390F7D436AC66be1509E11e07,150
0x52332eC46bbd2d600dc00825583576b9483EaaE9,15
0xfFB07a20e5E38BF1492651780484620aa868E895,2042
0x8C36c3A94CeF183BE4f0d837E8B0C52CF189879A,155
0xCD42D7d3e644B50c6CD4D2Bf81661C3BA4115a89,635
0x5E2fa9F560a8d7C601122c62F9714B108C1aCEd2,30
0xe857a766811d24843a96ca419ba9491a1ed637ec,143
0xbcb9bff073d95d259096e966d5cb9821d366a5a1,283
0x9c0ff565272CEf43253B46ed7D67BB402466A01C,150
0x1fB309c9e6591bae9340602e200651591a19d5Fb,454
0x8909613ac2E6C78ffBCE763993f09434aE7a0523,150
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,343
0x329f4435E0F22899b733756c71AA12C1004146B1,656
0x63876585a9f36b1D30551aE457463cDcb4c05AF9,1790.26
0x6647dCCCc1cDe997429C07C8D617347153B4B1A9,596.75
