address,amount
0x45291103Ee841992f23031f305d66ADccdFb486D,62.26
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,62.26
0x5e38f5423ea656f781f155eb75e67e84dccba8db,4.25
0x565bc425e04d92fa5074e97a40c488437da1beb7,4.25
0xea8aaadddb821f1a16f83c2d6690e447dd5acc51,4.25
0xc6448f8bac554dfe3b022fd6cad002a52f84b02d,4.25
0x4ef1d0ddb879baf24c381e54044eae2c0c37826c,5.1
0xa5cb425275b088e3e1a967d36107c08335d1fb66,4.25
0x2b3d820cab9970dcadbbbb667e012b927608d17c,5.1
0x9844dcb06e9b49018cbfe8bea31bc6fd97d96d74,4.25
0x57703925eb53638e7860dbf524bf86e99549a971,5.1
0x0525b1152d6a79801fe7c15d0ecd74e7a6699e3d,5.1
0x5e7fe4169593a1d1f0f41d97d4b65393c2dd8a3c,5.1
0xe7a97a841876c9ec8c38fee297680aacefd121a2,5.1
0x1337219eaa91b22739d2abc7ce37af18d6f1382f,5.1
0x6967f0b127f51afb3493a37823b9e87e4a05a906,5.1
0xc71700859bf03879d96002522f11c5e2dd860346,4.25
0x4fcf8116d11ea928ff07f738c0030236ab97a5ca,5.1
0xa885c5ced05658736659a7e525dce52975a8d62b,4.25
0x41abe5f92d0dcdc64b8f1fcdc2ad7de4f46d8eb1,5.1
0x908b45d0c4c7d16f8af48e736e2927f1f8cec76a,4.25
0x1744b94fcc98f514dcf242e7b03a719aa162e246,5.1
0x5f266dd95c22e0d2f0e0f208f17dbe854e52dabd,4.25
0xdc61e516d02204e27509fc8cbb135da2439a3967,5.1
0xb12431bfc7b475359b733cf7f29d542de7ddb048,5.1
0x69ddc9b0c11d6482e048ba0e01952a7e90454c4d,5.1
0x6647136a9b70b274b042e484846580343ebe8421,4.25
0x9ebc8980780430df5aef3384da2ebd76daabd3f2,1.7
0x23d5d2223e741206aa0778585dcddcf29852fdb1,5.1
0x9ece01fd6d7aaa363e142d9ba4580051e576c0ba,5.1
0x8df5dff804faf108aaf4baf97cc3c1d60a5162d6,5.1
0x4d4791e9dd3f58d767c3d4c43510a4ed0bab143c,4.25
0x4e1de0d3bdda4ed98d1d2bcde69b86af5568362e,4.25
0x119a5e7b1ae24c8586865e139ed9a4af6e9e845f,5.1
0x74422cd3691b911e67c81b0857c0ab7ab7242516,4.25
0xacb35943f9cfc5a170017cd7fbe67799eb568c0e,5.1
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,11.9
0xb4406ea153eff4bd04e373994c059ef808dfceef,5.1
0x3e4909ef77f6eb49b2cab7303bf45dd7f264c1e9,5.1
0xdb3f27b3bc27b33296ba15d46b55ad01cfed8f48,5.1
0x396ba2eadfec9101f2990977a7de341eca745738,5.1
0xa5135394d563e323e83b5c1b097acdd7a053b40c,9.35
0x52332ec46bbd2d600dc00825583576b9483eaae9,5.1
0x361ee02c451f4956fcd74a36e1ed26ecd6e70a0d,4.25
0x27e12c5f1d315a75337190e23fc85d1590156d30,4.25
0x14456194ae93e6ee45b7bb69c46c32d7a4358faa,5.1
0xd41baee497423d54204cb0e8f65ee581b513b153,5.1
