address,amount
0x1bc9b2bd6073b65ed19a49eef8f4ec50bd584b87,8.5
0xa9b7f513deca109d2271dff29aedd08934d5a84f,8.5
0xca81b45d9947d3ec2761267526de92321d7560a5,8.5
0x9cb464b62451a16eab1fe3940fc508848749b29a,8.5
0xe8354ad5032ae924942d56db0b94552841e0ccb4,8.5
0xc9dc138aac9d784e52f1d3816e66675b4238a1ef,8.5
0xd86de36cf35f02634fc52da58af36aa77fa16e3c,8.5
0x979d7145f38d6c14c464721e1b05742b4fbe243c,8.5
0xbdc74f90f735ad59117deba18c6f14419d7acc14,8.5
0xa833ca78fea03d05e57e2e1bd449fb1f5c4893c6,17
0x9fe977dd0309cb30920a77c9a6d5f7b8a4b0a293,17
0x4114395d682c9dbfab8402f345b50b7b311f9db5,17
0x2071a3350e7a9b0a1a49d01dfaa563903a262847,17
0xc015d9dab97d039f4290ae7d8be2d070d4ae1fde,17
0xd2374dd3ec4287907df11e293796cfed8c5a066a,17
0x00d965c25ca1a5e3c441ad7ecc60aa85cefe9841,17
0x87310054f3c6cfb61cbfa2e7a09976f236981868,17
0xcce9c1887f125b6009266bae47744c81d4807458,17
0x40351ff8be3f601fb8c3ecf00bf4a69ab5935f12,17
0xefbd9593bde7c674fd8ad589ddbf828ad7e6553e,17
0xe68ac22a49d232e7ce7b777073382d786ef581b4,17
0xca436399292314800002dbc354066551ad93f601,17
0x8a0cced7b998fae90bfa38cfcdea30291c4ead76,17
0xaa282a36e04f75146a042d254e1f6c7ce80e9e5c,17
0x9d7e768c6b72c35682270732420ef45333a564cc,17
0x133fc18a84e10d0bd7c09a211aa566cc8e2a7ab8,17
0x2567c8532fec3af20776685284478b5f97191cfd,17
0x691fc6581461a5a3f8864187c7c87b6bfab7041e,17
0x42802685b2756552d993c4eb4f2e426468391e74,17
0x0d2d0772eacdbb96d6d7c30adb69c518fbe42f86,17
0x683e52347de693c03749cb3e47848152dafe305c,17
0xb84b3850eabf40264c45ff1a5b5ee3bd64f9983b,17
0x975e7974a39eb13a9ab2bf788664ac10d53c955b,17
0xcf9b18f82840436ff7305e8dff0f76b5ee039526,17
0x24c83af43a09f1b6f9c3be07ce60388bef9d303c,17
0x913b1d78f53243d0e2654f17c88868ca2d596ea1,17
0x50e4891cdfa79792bed9206bdfb5142ae8ff3388,17
0x1744b099a2cb24833444cbecc01cdff595215508,17
0x772461ae4847ee00492910a20fa971b09b69844a,17
0x6a3ef97a414363ae724e22f7c58a4b9c7c02ea13,17
0x3e740e540be3a99a3826c2daf38cf90258fc438d,17
0x1bc3510482b1045d5c75d9a53a34edfbd2bef3f1,17
0x7a30850e8cabd67578a3797b7ad9436f2c3a0911,17
0xa480e7011fbb62f46d1976e503025e2916850637,17
0x3f90f93a77a8fa4e30ea599a201afba69ced4d06,17
0x033173ac3df8004d6df2b032708ef391e45602bd,17
0xaea28a27a625c0479b6e0ac9bfdb967327685554,17
0x5ee74ba2e48f6cda22756a71f1c89fbf92783dcb,17
0xca68fdd7b5ab9d9c2bba2f72f6b45e451f15b8e4,17
0xdec2ea8fbf7e05ca2826161962664656cef4e52b,17
0x962170bbc8933d3d7df72194b18992ccae40274a,17
0x4ecd4bdcba4ca4623abca1d6ebe96ec7e639d055,25.5
0x30158c1f73fcbd0c7dd7eaf630676175786ee628,25.5
0xea1420c79a940b2ecfe694ea76ac6a21eefac410,25.5
0xefcfa6f0aaf0085f4035c11cb73d0ece26189e25,34
0x923128bd45ffabc7f1606c48dbb2d7248d1224b1,34
0x8460b752d49de926c8c623b4a836eb7bd402930c,34
0x345f4e88905cfa1605b5f56167af7d0caa59ae74,34
0x1fc75e24b4df1d00f6139977122c973415abe967,42.5
0x10b81689c84823dd3a7fc4e0369f1a24cdbf7fd7,42.5
0x2c2f838f0dac3f4915f4a57f3cb63abcd806ee40,42.5
0xe288e93f5ce0b7c7366e73f56f1219a699f11d33,42.5
0xb86c8c0122c195f1f05921d04808fa704e8e178e,42.5
0x01c045974aa5ce470994a8c5e73c567591b37a78,42.5
0xdb99ac9f7ebf0c96498e94a782dfbe089011ce24,42.5
0x7b37e8060ccf29c7c98748303250d6f73809d39f,42.5
0xa4f0cc5a5ee0cbfe3269da6d4c9001925237f1f0,42.5
0x4429f8362093602ad2c3697e901a9f0eeb1cf036,42.5
0xf8f6a0cd8b06d2a50fbaf553b8363b657489d134,42.5
0x17e071372ba2c7ec0d21030e27db41e9ab74b2eb,42.5
0x5f13a182a0ca5f50e46e8b0343bf72e3ae1e08a9,42.5
0x87f94e1fda93758a4523f53e76f04117500e4464,42.5
0x522161fc2070c425c4253a5cd1f4dcc5da57f0d9,42.5
0x4d017a7cfd1da7888fb2e45cb32ce23769021533,42.5
0x34dccfae06202d1167797870679fc1fb9ef7a523,42.5
0xa942e6909afca03398f9a91c8cd5e42bda9903df,42.5
0xf2b6623fecb00d42a6da8ef2a772a4bcbf99e38d,42.5
0x0becd35b35af267955a881123018cf5a75598f5d,42.5
0xdf1936bfad963d8bbcf9fa787335d6c90ec3a44b,50
0x42cea9ccf78e164ebb5ace4b50af98c226659210,51
0x423d0e766f2cc5fb9a070aa4c788b226f6a459fd,51
0x31d1ac35afbda6b7d28870c10e6af7b6272e0e98,59.5
0xec08eec7b51ef562999565d148b636802fb9217a,59.5
0xc845c6934f1be6617ec77e4f1f19d91358879a12,59.5
0x08a31ff8a4a47a09f7e7d89b0e672517cec922e4,59.5
0xa9f90d4c2131f20050569759c6c9acad90d4cacc,59.5
0xbe7ceb8d08cf5f10dfccaaee46ec831eb41e54e4,59.5
0x5bd5d826e4275a2180e8c5fa3c80a66ca461a375,59.5
0xe204f2fc6f5aa2bb968f1ece326f59be4b514b0f,68
0x9683b4b6edadbf8027bd72cb3489e397b58cb2a2,68
0x879ce555d21e913bc72a2968a6900f7de70a300a,68
0xa309c0889cd47c2880158894aa16d1cac252b4b7,68
0x4390626b4667b440ea632f814ae3b8bca20e1705,76.5
0xdf7d8e7f0556820593aba352fa860fe8711f0c9f,76.5
0x2fba30393d3ce59a499ad9cb07e467541df5b0bd,76.5
0xf08244715adefdf6247364d9cf2251369c9c158c,76.5
0x1fa7690c8d71c7885779c4b3ffc6a6533dd089e4,76.5
0x901487deffc6f56ce38b68bcfaf0029c5529dbe7,76.5
0x705a764a0c64683616d5f9afb1f290a3db5f7127,76.5
0xd67bea641952c1e920c122108bde1d36e1c9d388,85
0xcb525805831f8bbdbe479201eac65021447d9e09,85
0x3da4881e8950e03d0af78207d94334f4f61dbbf3,85
0xc5ae34a23c7ccadc516e03ee74aa104a454ec8f3,93.5
0xba6566814d7864cf6dfbc32c9a51d7869a32d9d8,102
0x9bdbeb5f6e59dd471bc296b97266d3ee634b7c7e,102
0xaebc205c50399a7edf248f17e188e3ecb6a4911a,102
0x404935e6b798f82ef4e4c0c7d435a5e75c4618d6,102
0xdb5b41b04748bf5276f9e753af88b0afdaf6143f,102
0x8a0c04d06ec64f8ab307ad107e3545d035bcc44d,102
0xe2ce8beafd2f6a73929c766038ebdb2b829f6809,102
0xb6c115ac7e0dc2a766c8bf7d6219c228b0d5f592,110.5
