address,amount
0x49f356c16365dbdb9729993a2e9b2e84c379f668,244.80
0xa0ed53f726f9374275287e57144317764eafef54,244.80
0x2b3d820cab9970dcadbbbb667e012b927608d17c,244.80
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,244.80
0xaafe2ca45bba99cd3e0ce9365171f87846d12071,244.80
0x7a0adb8d368e44e0efaf479ee9c8d962816490b0,244.80
0xdc61e516d02204e27509fc8cbb135da2439a3967,244.80
0x70b02d35d731bb8db768053e1f40c3036afdfaba,244.80
0xc4baa22875102821bd01f572d63679f5f1cd8046,244.80
0xa8c00eb355228450102e8f27302a5fbb03ea5f51,244.80
0xecd658868a1ec39ec4d3ef0b0472c5a45802d4b9,244.80
0x34ba228704864d4627b290edf32486d2da367fd1,244.80
0x4ab45a5f496c72a0d69541ec66b23c52f1d4dac1,244.80
0x52b0391ebc1f088d077fb883fa3bbb9bfa4a7a4a,244.80
0xa5135394d563e323e83b5c1b097acdd7a053b40c,244.80
0x52332ec46bbd2d600dc00825583576b9483eaae9,244.80
0x5bac381c666e0e1c429f3afaab1d38bafbd856c1,244.80
0x4b0b415ea01924be143a22e60829195f984e1966,244.80
0xdda4ac0d5a21371f6ca7935a8991cb9010f62118,244.80
0x9b6cf46879086aa3c40c24071974cb6c948e8c56,244.80
0x0d0b7d8396aca528d51a9ad85a5ae0e2903f1c94,244.80
0x38c271c9fc3a0e244a752b25a31d93a63767d567,244.80
0xd9d33197d42634c6b655975dd688681f4213aa4f,244.80
0x9c4bf835330ac9979cd69ebb92a114bb2732d59d,244.80
0xc748ca9d0f39d94686fcd9fc3d8257462ebcc5bd,244.80
0x066fb187404feee6ee7f6cde21697cea1a89ec23,244.80
0x99aa6af7ae317ea81ce9132c1e94e8ca45392795,244.80
0x09f213953d92f865b949b3e39b9dcfae687d4966,244.80
0x145f3dfeb18cb20b8ce4a33fe38a2be532d40ae9,244.80
0x56b4bb41f248f2fecace8c56df3878216b5536d4,244.80
0xc0e31e9712024fa2205e414b94d2846a27116f40,244.80
