address,amount
0xa5254e3e5c3dec8ee1e3fc983716b17139b3cf55,148205.13
0x438803eb5d199c283aadab6d0db8cd3968fbf6ad,17435.90
0x1e0b4ba7cb73c4ce2dcdabf3cf77ff55786f8846,108974.36
0x494f205fd1a250888c714d99b48db56bde9881ab,76282.05
0x59e45131e64bf57e71fe8c86421664337f28e9ab,58846.15
0x2fb8fbdfda724931525f96cace0d435d8cd9c4a0,5128.21
0x2390507ce0ee6d75a063221315cb1a83a6799f70,43589.74
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,6538.46
0xcdc30095bf507e6b3a8b3afbcfe1782e2ce84552,13076.92
0xbaeeb7333db39a363474f912cf630e65f72f7155,187435.90
0xc5afa6a17fb1650256efb8d75bcd02b8f10aa26c,63205.13
0x94adea5e2ccf1b3a034fdb0a10b4bbce343b7a16,6538.46
0x7d33d403fea03505a76f1e06ec9b36e36ca390bf,19615.38
0x192513387b1bc31597ebf9f858e19bcb410ead6b,58846.15
0x73929e4e4531dc4d88389db2ccbf1120bf521464,2179.49
0x0b36256143261f6cc826ab9578e0c510c602987a,19615.38
0x78d3f04daf30ccc2015191e2b4cce5e9c2b0e702,4358.97
0x423d0e766f2cc5fb9a070aa4c788b226f6a459fd,10897.44
0x6a8ba907725743d298ed148e9c5f008e3fae070a,6538.46
0xd907d10c79cfee4caf60602ee75cdd23eabc0df9,285512.82
0x2c11464dca0149a64516dc1986d1c4a2058782e5,146025.64
0x282df1a29588e74183b4b68bb13d3bbd71d35f43,4358.97
0x8d1fb11edfb0910604f9d45b17bf96af1532401a,189615.38
0x2872c53de37f76b8438b0db855f45f9aecc90a6d,6538.46
0xbe4fdd895f74017204f5bf90c469056fb3bd97be,13076.92
0x5c123556dbb48c4f57ece9b1a929760bc3d7d979,91538.46
0x9ad6a4d4655c393e592d5bb81ff0beab54ef74dd,37051.28
0xc6f59a4865b0a9aa0068afe9eda9e04ff19e18d9,4358.97
0x88b8135796bdc2d807f034e0633222da17f6b151,6538.46
0x6bc3e7b5010f588cfe347473c610b9a5d363e140,39230.77
0x57a3e7088651b237cd363d7025554a63d47fc21f,4358.97
0x81a6865c1fe14de669af737e1efc329e44d6c6fa,95897.44
0x92a4491f7dcb43d1eba0db4f9358dcdd903157ee,10897.44
0x4601b4587aa595d92c14a71cd7b1a542fd7f81e0,93717.95
0x33823986a5c7892298bd794d4cee5f77e7676b38,138846.15
0xb219cfe2c438c33c77a99ac9abfe06a1eb4ee3f6,21923.08
0x19bdd4def406ba1cb69da24a6a166fa9cfba126d,12179.49
0xbe996e9cd5886add200861f4b57ae955a6a47636,17051.28
0xfa6d6b63e5e7526f941c945a1de7dbd947f0d116,4871.79
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,307721.91
