address,amount
0xc3dbf714d3d609b6aa125d69e7588b9b00ee2bf2,106794.87
0x5863878063b862166b7bfe17dc3eb8a15852fb45,202692.31
0x5c10c47b2d848e06a5dffa45b3bc10860797cdad,45769.23
0x954ca028b02f2e13f1a75333cb1967ea7eaaeaeb,196153.85
0x522a57a9267b6a54dde2f9a89863304cd0391827,13076.92
0x9964a001f3fd643d51244f305f425d2f85e6d06b,146025.64
0x4d01ff58d94dbdaeaa48311db74a3a22d604036f,43589.74
0xc74f105821a1792bf6f2e5a7c637f3dd5c0c321d,47948.72
0xa5135394d563e323e83b5c1b097acdd7a053b40c,58846.15
0xae32adc07bacba04b356d8063fd0ee0dd2caf94b,137307.69
0x52332ec46bbd2d600dc00825583576b9483eaae9,56666.67
0xed3d95dab05b502a75ed7b7e8485fe81a193ef2c,30512.82
0xd6b7031aeb8d0b0e75ef542871a27f49d4471cc0,6538.46
0x542825ff7372a297dbac8570370bae9a05fcde28,137307.69
0x85a1cd429b59da017cc855aea2f72dbd25b1f0b1,113333.33
0x5051bf215a8a41df06fc5c177ce0f79600fde6cb,17435.90
0x7f9286b054853dad8cf8a40e30139f5ce744fd2b,4358.97
0x834a39ce3a426ccc8479e334fb122a7bc640f97d,52307.69
0xb955db051bf09a645c26730752e28f5e3776088f,2179.49
0xa2dca4ad21fd58e4ecfb4b507cd25c0b3c71dff4,17435.90
0x09f213953d92f865b949b3e39b9dcfae687d4966,2179.49
0xde59dde7c5428ba29c7461338f4a6f45637c792d,4358.97
0xbccefa6245fa4578a4f706b5681206314d2ab7ad,6538.46
0x3410b04c2362496d0d06a0be58658e7cd5b50e31,19615.38
0xa30ff788ebac2878dc36ec379e55deb02c44049a,65384.62
0x8af76bcb6dddafc088c239eb118355feffcce0b2,4358.97
0xc2933176a9be2116721a2681e042111ad22f8266,191794.87
0xe07673f8c895348fbde720dbea0a967eb1c72f60,91538.46
0x250027fefecbaa1d0a77d9a8ec934cbed9012690,56666.67
0xbb6abd89e6c3193c4f85b10b90027106cdb4028b,104615.38
0x5c216d7f402b3f41eab91df35732c8994348536f,4358.97
0x1e3591d186c08fea3e933bc106b4052588e473bd,117692.31
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,47948.72
0xd3ab2eabe167243fb70b8b7241a6cc84dcf9419c,19615.38
0x994cf20f5084427d078dbe368ee9c5b6b9ec0755,61025.64
0x9ed31e52f60e08af2a15ab1100eccab709bf8ddb,37051.28
0xfb40932271fc9db9dbf048e80697e2da4aa57250,50128.21
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,54487.18
0xd586faa55f787518b0feeff12788f40ca7d01f74,61025.64
0x03b371e360515047689ba468b530353dfaf7c9d0,4358.97
0x32cb961fa8337b7e328b508adc539044292ad323,13076.92
0x0f1575594365779b5a6d9875cc16729de0c4a921,4358.97
0x71ec5a6269fc86cd994039c5d5b8080d62fbd95c,54487.18
0xfb5959e3f9401033273ce1009099df6f0f972030,54487.18
0xf871f1a8c4dc66bef60b02b1a848a131001f2134,6538.46
