address,amount
0x2FB8fbdFdA724931525f96cAce0D435D8Cd9c4a0,1273.99
0x45291103Ee841992f23031f305d66ADccdFb486D,636.995
0x00340f73fce91ed3f2c2bc8146d1ebb3f434e127,21.25
0x00a450d8b85b286313cfe660bc4f7712da73a986,34
0x02005ee398e0cee6728f0a2a62fc156bcd33fe6e,21.25
0x024df6f6965293325e6d8be2d07e8187c4a25660,21.25
0x04acc8b46893efeccf95cdd742df976184c28f33,123.25
0x060ca659d90455a5018aafc82e93d30c9c36653b,21.25
0x061382f129ff21790d659c692d396ace843250e1,21.25
0x06bcff371bf9e6e1e143bbe5886bfe2c2baec75b,21.25
0x07b3dc83687e84603f2ee1eecb7db2bca2c2f3d0,34
0x0841e10d57e16ba6cb8ad950b1e3a922d618a0fd,42.5
0x0891ebce647ddffbdfea4bf7316e0a9c09211509,21.25
0x09cb2941c3e2417ea702c13194cfd6d19f72fdba,42.5
0x09f213953d92f865b949b3e39b9dcfae687d4966,23.75
0x0a9aa9394400ddda0060c98b69dcb00001a89469,65.875
0x0b2cce6e6023c04b787a2c1a6034b7a8e490a026,21.25
0x0c8eafa5e8c3a68199604d3fa294826a4040c4b5,34
0x0cea67067768a6d908626322f0e0cf10e43a314d,21.25
0x0d10b24753add1cf87a11a117c0295992908d386,21.25
0x0d40fb7648ec5c04a3ea834ff7a010db062eeb93,123.25
0x0d6d5d3c93d8bbeb7699ff0387d19a205a990e99,21.25
0x0d8eebd761e815b37a61d91ab02f7842be970239,123.25
0x0db9b985778fb83bd96b4cdc3937dd94cb04c4b3,21.25
0x0dcccb2c1db9754d7c39a83f7857d5052540a3d8,21.25
0x0de32954083f33f8c3d8c2ce84f879f37e8960ca,21.25
0x0e6976a6574035a3e2f103abe1a5afaf4c715cd9,21.25
0x0ec74c68447cd4a8985e2d792cbb4f7728094924,21.25
0x0f48f968372c5f081b97c1d7b5e85b4d4b74a33e,21.25
0x0f574a52d1ae1122e3e34c842b41e8f1aba541ee,21.25
0x10c9245ec82ddd9a02afbf59a687dc0208e333b7,144.5
0x112104a81b6ca604023b4b838f36fd2f3096e488,21.25
0x119a5e7b1ae24c8586865e139ed9a4af6e9e845f,21.25
0x1332e67075077c0cb4d72908cbbeba1d81e4be6c,21.25
0x135053f270e87e17022fa4d3d7b5ca2207374c1d,21.25
0x14be1f33ed8742370a282b2e1237e5e31909c0a4,21.25
0x161534160aa26a05a3d7d12b80a37b036d9b48c0,123.25
0x164ab5c0c28611b97173026bdfbd7eb47de3fdb7,102
0x16cc42a4e5ae838a7df12381510e658544f93fdc,68
0x1799a109ecdda6e87d8a3a8558f30af04db01003,68
0x17d99a1f7df73326b24938bbefcc46ffd3c36a9b,21.25
0x17dd2ae71c1abe78b9c9f16756572dc7b6d563ce,21.25
0x17ea3ccc1fa6f59707a37817b499ce6c04d93660,21.25
0x181cce8d4e66276d4f2eb33cffafd98d1e34fd34,21.25
0x18b64094698018f96aedb23489d9b2ae57035253,21.25
0x192513387b1bc31597ebf9f858e19bcb410ead6b,123.25
0x195cf7ea906917fca897f098cd316e1b8863f9f8,1275
0x1a0d37061135fab7483af614f319c0098d465ec0,21.25
0x1a5d8eaaef4515c50e9c98243f9578086b2fd8cd,2125
0x1b543769aa5dcd3f34542482e1b310609498c598,21.25
0x1b5878a1344f5f14ccec7662a82c3e34b20a0d8d,21.25
0x1cd25c1a709ec8116ee9983bc049d0fcb86fe2f2,10.625
0x1d0ef5158ea4914ebf909b53dceacd3dde8476c1,144.5
0x1d16af1de3048d83d1f590b6d4d7b15a57729e3e,21.25
0x1e0b4ba7cb73c4ce2dcdabf3cf77ff55786f8846,21.25
0x1e1c8535f79aaeb030c47427966a3674fccddc17,21.25
0x1e27c17432abff8e314b421be50c63a42d3e95e0,31.875
0x1e621910e1e11fc4eb1f44ffe354bf4f7b670819,34
0x1ebe73268f71b687fd3ca2e9fe862180e7a5feb7,21.25
0x1f88681f803b146b6683b2abd9defe45420b9506,21.25
0x1ffcd7c539dd7ca862e12e6ca1f4e5cdd7f7c944,42.5
0x202bf739004f72670145946f9caec4c77b36a955,21.25
0x20f4f39c4ff844b67d8bf319f81eb738870d81f3,21.25
0x2177c09617f4a8516a8f50174f6d6453c64a3f7f,21.25
0x218765d8e195f455c120b9d572b23c415351b314,42.5
0x21a7df862440ddac01727cc1c514c1670818931f,102
0x22cb66ea271cc3f25f614d98598739f6172e256c,21.25
0x23d5d2223e741206aa0778585dcddcf29852fdb1,21.25
0x2428e5ae455bff97ffd3d04f9f5aeb4eb504c2eb,34
0x244414c97ad964a8d4f6c580cff656170ce6c3ae,21.25
0x24c844b298719e4a04ba964f42a3e96743655e35,21.25
0x27c1a11e8caf23feda8dfee570eee11f47844def,53.125
0x28aff4d374d31f7364bf5eeb68dc9a4d792a5341,31.875
0x296b744e6572746b5b9d0e582db36a1d01164b43,21.25
0x29c71213f70dbafd76f0c256439c68becac14a66,21.25
0x2a199101a5f72dc910fd05078dd0b1d2938561cf,21.25
0x2aacd59b6721c6873129976a2b45aa32b161bbdd,1419.5
0x2b4a83ac1c5d523b4cd9b91a083f6e7252f1fbdb,133.875
0x2c11464dca0149a64516dc1986d1c4a2058782e5,110.5
0x2d2cbb2617c68fce18b0cac19ba58b41261cd3c4,21.25
0x2d911f3d63d04fe2fbe5ea6f0ee199700a05efd8,21.25
0x2de242182e99ae4f26064165452c29df026e4c6c,31.875
0x2e08b882bfd183fe1dbcde709c8b7812a9a18fe0,21.25
0x2e51581acd479686d0baf43bedfefa201fe64f08,21.25
0x2e7ac11e48100cccd4d32c279a93b505a205985e,21.25
0x2f0d5918af0d12631df3fd45270ac3153c48f38b,552.5
0x2f4488a1d1e82eb52e1352a1855b9d5ebdab41e6,21.25
0x3090b15078ae316befedd304bd38413e26cb6d88,144.5
0x313cd53dc42788cbd1c6dd73c8bce7697b2cb1d7,34
0x3148ac3a3477a60b5dc0b5ee9c270c04244f78b4,21.25
0x323beccd5e8505388875db02f3ea2c18030ce47e,21.25
0x32b757621a286104fa0b045ebf2ebd34b495a5be,68
